0\.230703012912482,259,110,115
0\.30042093704246,244,91,106
0\.163660782808903,206,84,87
0\.225244556642474,382,152,160
0\.312645790626988,357,115,177
0\.247520459595686,490,161,218
0\.192260621248324,237,131,86
0\.251051541214138,357,129,161
0\.144792443450162,354,161,118
0\.23731843575419,72,31,30
0\.276388485024717,115,46,54
0\.308011669658887,159,67,66
0\.256355803652691,365,145,163
0\.220150862068966,446,175,178
0\.242188565970801,298,111,124
0\.212664928190558,521,209,209
0\.23447680069112,668,302,262
0\.147423136474231,172,75,70
0\.219186219186219,175,78,73
0\.17889742973817,352,152,146
0\.299510146955913,157,62,64
0\.262751013481663,198,81,87
0\.185717652604289,66,28,25
0\.177894971403105,268,112,99
0\.233503065572067,171,76,65
0\.261694058154235,186,68,88
0\.272067828544513,192,80,70
0\.194535634861802,168,83,68
0\.263193453944899,314,102,155
0\.205199888174448,284,95,114
0\.2027287557467,116,53,51
0\.221169686985173,117,47,44
0\.246103024672241,229,80,104
0\.289112087605496,311,111,148
0\.227960661916259,358,151,142
0\.354002003784927,137,48,56
0\.197551169590643,291,111,116
0\.200684150513113,144,69,59
0\.163501301883903,316,132,137
0\.234814143245694,879,307,372
0\.282846521508232,156,72,69
0\.269104354971241,167,62,68
0\.218645284825275,146,65,52
0\.241481417904043,573,222,232
0\.250231181801369,215,96,93
0\.233373205741627,481,191,210
0\.237804084818525,124,46,52
0\.242471547990734,364,145,161
0\.197340197340197,193,76,77
0\.261027629665536,135,56,56
0\.234753065959562,238,92,100
0\.156287101996762,177,85,61
0\.416185209640145,551,228,210
0\.139070680628272,317,162,108
0\.207010895310279,301,114,131
0\.204638257774055,443,160,188
0\.22732704820077,329,129,125
0\.361081247120258,68,30,26
0\.208879639264655,349,134,142
0\.270324420127919,247,111,101
0\.277995642701525,130,61,56
0\.219407638347623,216,84,94
0\.186628383921247,73,35,28
0\.241637686874843,693,282,288
0\.173466174239171,886,364,316
0\.205330794859591,243,84,113
0\.250559597090095,134,56,55
0\.298415657036347,374,118,186
0\.234254701501956,335,127,131
0\.172395696667541,161,61,57
0\.216048373917307,428,156,191
0\.22070534698521,86,32,33
0\.212968355659095,84,38,26
0\.224335485371954,376,161,155
0\.173212160553933,154,79,59
0\.233010658061993,198,79,79
0\.203383004430125,221,105,87
0\.244395924308588,116,42,50
0\.176339667865092,300,119,123
0\.233971742543171,351,132,144
0\.196647387511028,200,87,79
0\.273220093964583,147,58,67
0\.194759546253395,576,233,250
0\.31064435742257,335,106,168
0\.215661679061016,194,77,80
0\.202572502167839,483,192,209
0\.210826092379329,633,275,259
0\.178998073217726,265,84,102
0\.286605657237937,119,44,50
0\.349252546633153,106,45,51
0\.262625045197059,384,158,168
0\.284181636726547,216,78,97
0\.192269362186788,704,321,299
0\.0821901323706378,147,57,42
0\.191944247578549,158,61,68
0\.256173331209176,104,43,40
0\.26634228897821,376,142,159
0\.309619850873976,136,54,59
0\.327884254039835,70,30,27
0\.272003352891869,61,17,28
0\.300934579439252,660,256,294
0\.301881098481038,199,66,87
0\.233182589033352,237,87,92
0\.232636928289102,274,92,124
0\.137244201909959,64,28,17
0\.236599058312206,270,100,117
0\.208651399491094,108,53,45
0\.244803370786517,131,56,55
0\.303314711359404,273,86,134
0\.209352909189777,977,426,378
0\.198010640758732,145,67,57
0\.201072865444792,200,87,79
0\.219092193571176,270,92,121
0\.257037332800958,206,86,88
0\.318586407181112,497,209,195
0\.253383518859614,223,101,86
0\.307138904261206,111,41,52
0\.187584589010196,255,105,98
0\.264467952706907,149,55,68
0\.186071670047329,138,57,57
0\.253272251308901,207,78,104
0\.262717667775386,441,190,188
0\.163369579457618,158,53,67
0\.193380324854428,120,42,43
0\.409084072792901,69,32,28
0\.256142301278488,162,69,66
0\.186014535454724,192,82,77
0\.258974905807919,284,108,127
0\.227179519045548,387,153,170
0\.172772988505747,229,88,87
0\.185180222430658,148,61,61
0\.302256751757307,132,63,60
0\.201998814262726,220,81,86
0\.263126151784218,755,300,320
0\.255696435134142,214,77,102
0\.27820198818614,109,50,42
0\.227163605809627,402,159,186
0\.343529184009292,190,60,96
0\.301013824884793,225,74,102
0\.225190164514417,97,45,38
0\.276141970396308,231,78,99
0\.186565635879582,194,86,84
0\.257864238410596,70,31,30
0\.194235760142057,119,48,52
0\.27409744128987,249,96,106
0\.210443275732532,312,120,144
0\.185021770682148,459,193,176
0\.235630088710657,392,154,165
0\.23247453565009,111,39,49
0\.275584883023395,131,53,56
0\.203897386979184,703,275,298
0\.229691427349056,401,150,174
0\.266919631749191,330,108,144
0\.194087926128114,437,173,187
0\.292217327459618,95,40,38
0\.179288501781573,381,155,151
0\.204250768613822,146,58,52
0\.223029129347212,232,77,93
0\.251633233417877,250,98,103
0\.324164198053322,207,59,86
0\.204078364383708,393,165,166
0\.23629112662014,189,69,88
0\.198998019340557,180,70,77
0\.192508978963571,198,83,83
0\.213146468337561,651,233,233
0\.222766544936314,216,85,93
0\.256668767065742,320,126,143
0\.284891518737673,278,96,132
0\.254922279792746,467,175,209
0\.249860693190683,162,58,70
0\.182290953879841,148,60,60
0\.170074074074074,305,127,124
