NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
VILLANUEVA_LIVER_CANCER_KRT19_UP	VILLANUEVA_LIVER_CANCER_KRT19_UP	Details ...	92	-0.45721233	-2.4487445	0.0	0.0	0.0	4345	tags=63%, list=32%, signal=92%	
REACTOME_SIGNALING_BY_KIT_IN_DISEASE	REACTOME_SIGNALING_BY_KIT_IN_DISEASE	Details ...	16	-0.722807	-2.4422915	0.0	0.0	0.0	3809	tags=100%, list=28%, signal=138%	
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	Details ...	54	-0.46959278	-2.2301333	0.0	0.0	0.0	5780	tags=80%, list=42%, signal=137%	
JISON_SICKLE_CELL_DISEASE_DN	JISON_SICKLE_CELL_DISEASE_DN	Details ...	117	-0.38270834	-2.1315935	0.0	0.0020275337	0.007	4298	tags=55%, list=31%, signal=79%	
BIOCARTA_NFAT_PATHWAY	BIOCARTA_NFAT_PATHWAY	Details ...	35	-0.50545526	-2.122094	0.0	0.002111054	0.009	5686	tags=80%, list=42%, signal=136%	
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN	BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN	Details ...	122	-0.36663255	-2.0768564	0.0	0.0033322035	0.017	3783	tags=50%, list=28%, signal=68%	
BILD_MYC_ONCOGENIC_SIGNATURE	BILD_MYC_ONCOGENIC_SIGNATURE	Details ...	135	-0.3507023	-2.0169659	0.0	0.0063843336	0.038	5376	tags=64%, list=39%, signal=104%	
WP_ATM_SIGNALING_NETWORK_IN_DEVELOPMENT_AND_DISEASE	WP_ATM_SIGNALING_NETWORK_IN_DEVELOPMENT_AND_DISEASE	Details ...	22	-0.52673745	-1.9806553	0.0	0.008818856	0.06	5209	tags=82%, list=38%, signal=132%	
BIOCARTA_GLEEVEC_PATHWAY	BIOCARTA_GLEEVEC_PATHWAY	Details ...	15	-0.6027076	-1.9697187	0.0	0.008355758	0.063	4360	tags=87%, list=32%, signal=127%	
ZHAN_MULTIPLE_MYELOMA_SUBGROUPS	ZHAN_MULTIPLE_MYELOMA_SUBGROUPS	Details ...	24	-0.505738	-1.9618791	0.0	0.008688663	0.073	4594	tags=71%, list=34%, signal=106%	
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_UP	GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_UP	Details ...	140	-0.33989564	-1.9589165	0.0	0.0082082525	0.076	7514	tags=76%, list=55%, signal=168%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_UP	Details ...	148	-0.33322296	-1.9467719	0.0	0.009349842	0.091	4298	tags=49%, list=31%, signal=71%	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN	GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN	Details ...	305	-0.30006397	-1.9279461	0.0	0.010635296	0.109	5199	tags=52%, list=38%, signal=82%	
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	Details ...	87	-0.3680162	-1.9192837	0.0	0.010370715	0.114	4345	tags=54%, list=32%, signal=79%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_UP	Details ...	154	-0.32736275	-1.9187793	0.0	0.009831885	0.116	6382	tags=65%, list=47%, signal=120%	
CHANDRAN_METASTASIS_TOP50_UP	CHANDRAN_METASTASIS_TOP50_UP	Details ...	24	-0.4944878	-1.9100716	0.0028571428	0.009956512	0.126	4002	tags=67%, list=29%, signal=94%	
GSE32901_TH17_EMRICHED_VS_TH17_NEG_CD4_TCELL_DN	GSE32901_TH17_EMRICHED_VS_TH17_NEG_CD4_TCELL_DN	Details ...	120	-0.33886784	-1.9089314	0.0	0.009575138	0.129	6160	tags=64%, list=45%, signal=116%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_UP	Details ...	135	-0.32541752	-1.8900908	0.0	0.0109339105	0.154	6367	tags=65%, list=46%, signal=121%	
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN	ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN	Details ...	48	-0.40179604	-1.854702	0.0013531799	0.014196624	0.206	6319	tags=75%, list=46%, signal=139%	
FAELT_B_CLL_WITH_VH3_21_UP	FAELT_B_CLL_WITH_VH3_21_UP	Details ...	27	-0.46553826	-1.853798	0.0028571428	0.013719455	0.209	5062	tags=70%, list=37%, signal=111%	
GSE15659_CD45RA_NEG_CD4_TCELL_VS_RESTING_TREG_DN	GSE15659_CD45RA_NEG_CD4_TCELL_VS_RESTING_TREG_DN		130	-0.32304358	-1.84071	0.0	0.015264564	0.24	5757	tags=64%, list=42%, signal=109%	
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS		36	-0.42482078	-1.8376911	0.0014124294	0.014991809	0.247	3878	tags=56%, list=28%, signal=77%	
WP_PRION_DISEASE_PATHWAY	WP_PRION_DISEASE_PATHWAY		20	-0.5023745	-1.8227379	0.0014492754	0.016841907	0.283	6042	tags=80%, list=44%, signal=143%	
SU_TESTIS	SU_TESTIS		47	-0.39015552	-1.818827	0.00269179	0.016829755	0.292	7421	tags=83%, list=54%, signal=180%	
CHANDRAN_METASTASIS_UP	CHANDRAN_METASTASIS_UP		117	-0.32200813	-1.8034294	0.0	0.01872492	0.327	7369	tags=78%, list=54%, signal=167%	
HP_SPORADIC	HP_SPORADIC		59	-0.3746761	-1.7983382	0.0013227513	0.019078888	0.344	5430	tags=61%, list=40%, signal=101%	
BIOCARTA_MCALPAIN_PATHWAY	BIOCARTA_MCALPAIN_PATHWAY		16	-0.5268167	-1.7972772	0.00739645	0.018724645	0.35	5160	tags=88%, list=38%, signal=140%	
ANDERSEN_LIVER_CANCER_KRT19_UP	ANDERSEN_LIVER_CANCER_KRT19_UP		33	-0.4257546	-1.7840726	0.0041551245	0.020810068	0.39	7424	tags=91%, list=54%, signal=198%	
BILD_SRC_ONCOGENIC_SIGNATURE	BILD_SRC_ONCOGENIC_SIGNATURE		23	-0.46865267	-1.782963	0.0028328612	0.020374097	0.393	4465	tags=61%, list=33%, signal=90%	
VANTVEER_BREAST_CANCER_POOR_PROGNOSIS	VANTVEER_BREAST_CANCER_POOR_PROGNOSIS		34	-0.41408932	-1.7817851	0.0040650405	0.019893475	0.395	4587	tags=59%, list=33%, signal=88%	
WONG_PROTEASOME_GENE_MODULE	WONG_PROTEASOME_GENE_MODULE		41	-0.39741117	-1.7803924	0.0	0.01951617	0.399	6373	tags=73%, list=47%, signal=136%	
REACTOME_INFECTIOUS_DISEASE	REACTOME_INFECTIOUS_DISEASE		647	-0.25637937	-1.7777587	0.0	0.019418122	0.407	3927	tags=36%, list=29%, signal=48%	
OSMAN_BLADDER_CANCER_UP	OSMAN_BLADDER_CANCER_UP		264	-0.2784835	-1.7628564	0.0	0.022284754	0.468	6086	tags=59%, list=44%, signal=104%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_UP		149	-0.29985172	-1.7513635	0.001242236	0.023966063	0.509	5810	tags=57%, list=42%, signal=98%	
CHEN_NEUROBLASTOMA_COPY_NUMBER_GAINS	CHEN_NEUROBLASTOMA_COPY_NUMBER_GAINS		33	-0.4149769	-1.7452573	0.002770083	0.024453826	0.522	6315	tags=73%, list=46%, signal=135%	
ZHAN_MULTIPLE_MYELOMA_UP	ZHAN_MULTIPLE_MYELOMA_UP		38	-0.39806262	-1.7444652	0.001396648	0.02380719	0.522	2938	tags=45%, list=21%, signal=57%	
OISHI_CHOLANGIOMA_STEM_CELL_LIKE_UP	OISHI_CHOLANGIOMA_STEM_CELL_LIKE_UP		249	-0.2760527	-1.7343585	0.0	0.025804019	0.562	4872	tags=49%, list=36%, signal=75%	
