NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ZHAN_MULTIPLE_MYELOMA_MS_UP	ZHAN_MULTIPLE_MYELOMA_MS_UP	Details ...	25	0.5018435	2.082645	0.0	0.020593798	0.01	1501	tags=32%, list=11%, signal=36%	
WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	Details ...	31	0.4449216	1.92336	0.0	0.042235937	0.039	1012	tags=32%, list=7%, signal=35%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	Details ...	28	0.47366956	1.9066411	0.0	0.032713998	0.045	3163	tags=57%, list=23%, signal=74%	
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	Details ...	116	0.27949455	1.5729762	0.0	0.2695956	0.398	1266	tags=23%, list=9%, signal=25%	
GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_UP	GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_UP	Details ...	111	0.2650149	1.4816035	0.0	0.3854312	0.596	1077	tags=15%, list=8%, signal=16%	
HP_CLINICAL_COURSE	HP_CLINICAL_COURSE	Details ...	884	0.18596055	1.470367	0.0	0.34580874	0.628	1311	tags=15%, list=10%, signal=15%	
GSE32901_NAIVE_VS_TH17_NEG_CD4_TCELL_DN	GSE32901_NAIVE_VS_TH17_NEG_CD4_TCELL_DN	Details ...	78	0.25786203	1.3964379	0.011111111	0.46642464	0.782	1331	tags=19%, list=10%, signal=21%	
VILLANUEVA_LIVER_CANCER_KRT19_UP	VILLANUEVA_LIVER_CANCER_KRT19_UP	Details ...	92	0.2518116	1.3912452	0.012987013	0.42561153	0.797	1771	tags=24%, list=13%, signal=27%	
GSE32901_NAIVE_VS_TH1_CD4_TCELL_UP	GSE32901_NAIVE_VS_TH1_CD4_TCELL_UP	Details ...	83	0.24655071	1.3350412	0.057471264	0.5336194	0.889	1160	tags=18%, list=8%, signal=20%	
HP_ABNORMAL_INTESTINE_MORPHOLOGY	HP_ABNORMAL_INTESTINE_MORPHOLOGY	Details ...	382	0.20557173	1.334234	0.0	0.48282048	0.889	1229	tags=15%, list=9%, signal=16%	
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	Details ...	218	0.21747063	1.3113347	0.0	0.49905157	0.915	1788	tags=22%, list=13%, signal=25%	
HP_CONSTITUTIONAL_SYMPTOM	HP_CONSTITUTIONAL_SYMPTOM	Details ...	577	0.19107285	1.2818614	0.0	0.5451847	0.953	1552	tags=17%, list=11%, signal=19%	
HP_PEDIATRIC_ONSET	HP_PEDIATRIC_ONSET	Details ...	369	0.18613847	1.2774882	0.0	0.51551485	0.956	1352	tags=16%, list=10%, signal=17%	
