NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC38A1	solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]	169	2.857642889022827	0.07461166	No	
row_1	SLC25A15	solute carrier family 25 member 15 [Source:HGNC Symbol;Acc:HGNC:10985]	1518	2.3171958923339844	0.046130084	No	
row_2	EBP	EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]	1689	2.2560670375823975	0.10234718	No	
row_3	PAQR4	progestin and adipoQ receptor family member 4 [Source:HGNC Symbol;Acc:HGNC:26386]	1740	2.120556116104126	0.16325496	No	
row_4	NETO2	neuropilin and tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:14644]	3293	0.35970398783683777	0.060167626	No	
row_5	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	3519	0.3242790102958679	0.053510413	No	
row_6	SHCBP1	SHC binding and spindle associated 1 [Source:HGNC Symbol;Acc:HGNC:29547]	3611	0.3242790102958679	0.056699622	No	
row_7	TPX2	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	3624	0.3242790102958679	0.06569381	No	
row_8	SPDL1	spindle apparatus coiled-coil protein 1 [Source:HGNC Symbol;Acc:HGNC:26010]	3709	0.27150100469589233	0.06779003	No	
row_9	PRELID3B	PRELI domain containing 3B [Source:HGNC Symbol;Acc:HGNC:15892]	3938	0.2695389986038208	0.05924526	No	
row_10	OIP5	Opa interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:20300]	4062	0.2255460023880005	0.057076156	No	
row_11	ASF1B	anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996]	4089	0.2255460023880005	0.06203469	No	
row_12	MCUB	mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]	4307	0.1298699975013733	0.050044566	No	
row_13	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B [Source:HGNC Symbol;Acc:HGNC:17352]	4487	0.1298699975013733	0.040846717	No	
row_14	GGH	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	4968	0.034876998513936996	0.0066381237	No	
row_15	TK1	thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]	5357	0.034876998513936996	-0.020810237	No	
row_16	GINS1	GINS complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28980]	5557	0.034876998513936996	-0.034370728	No	
row_17	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	5837	-5.489999894052744E-4	-0.05485515	No	
row_18	CDCA8	cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]	5901	-5.489999894052744E-4	-0.059467718	No	
row_19	CCNB1	cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]	6167	-5.489999894052744E-4	-0.078923404	No	
row_20	TRIP13	thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]	6328	-5.489999894052744E-4	-0.09066361	No	
row_21	ZWINT	ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13195]	6582	-0.05332599952816963	-0.1076302	No	
row_22	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	6665	-0.06378699839115143	-0.11171298	No	
row_23	UBE2C	ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]	6668	-0.06378699839115143	-0.1099173	No	
row_24	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	6682	-0.06378699839115143	-0.10892991	No	
row_25	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	6715	-0.0923909991979599	-0.10846751	No	
row_26	MRPS15	mitochondrial ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:14504]	6824	-0.09603200107812881	-0.11347877	No	
row_27	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	6951	-0.12291800230741501	-0.11899386	No	
row_28	CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	6969	-0.14475500583648682	-0.115834504	No	
row_29	RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	7002	-0.14475500583648682	-0.113777354	No	
row_30	CENPM	centromere protein M [Source:HGNC Symbol;Acc:HGNC:18352]	7019	-0.14936600625514984	-0.11040408	No	
