NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMB6	proteasome 20S subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:9543]	3454	0.3487350046634674	-0.21867983	No	
row_1	PSMB3	proteasome 20S subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540]	3849	0.2695389986038208	-0.22104798	No	
row_2	PSMB4	proteasome 20S subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:9541]	4087	0.2255460023880005	-0.2162414	No	
row_3	PSME3	proteasome activator subunit 3 [Source:HGNC Symbol;Acc:HGNC:9570]	5241	0.034876998513936996	-0.2972522	No	
row_4	PSMB2	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	5260	0.034876998513936996	-0.2951433	No	
row_5	PSMB10	proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]	5347	0.034876998513936996	-0.29801422	No	
row_6	PSMD14	proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]	5493	0.034876998513936996	-0.3052059	No	
row_7	FBXO21	F-box protein 21 [Source:HGNC Symbol;Acc:HGNC:13592]	5726	0.0331679992377758	-0.31893685	No	
row_8	PSMA5	proteasome 20S subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:9534]	6078	-5.489999894052744E-4	-0.34458777	No	
row_9	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	6080	-5.489999894052744E-4	-0.34460706	No	
row_10	UBE2C	ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]	6668	-0.06378699839115143	-0.38132706	No	
row_11	CDC34	cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]	6757	-0.09603200107812881	-0.37833518	No	
row_12	SIAH2	siah E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:10858]	6838	-0.09603200107812881	-0.37475744	No	
row_13	UBE2R2	ubiquitin conjugating enzyme E2 R2 [Source:HGNC Symbol;Acc:HGNC:19907]	7460	-0.22912000119686127	-0.39772123	No	
row_14	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	7607	-0.22912000119686127	-0.38589925	No	
row_15	UBR7	ubiquitin protein ligase E3 component n-recognin 7 [Source:HGNC Symbol;Acc:HGNC:20344]	8038	-0.22912000119686127	-0.39487547	No	
row_16	PSMD8	proteasome 26S subunit, non-ATPase 8 [Source:HGNC Symbol;Acc:HGNC:9566]	8460	-0.22912000119686127	-0.4031926	Yes	
row_17	PSME1	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]	8466	-0.22912000119686127	-0.38104475	Yes	
row_18	PSMA4	proteasome 20S subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:9533]	8484	-0.22912000119686127	-0.35977563	Yes	
row_19	PSMA1	proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]	8486	-0.22912000119686127	-0.33733484	Yes	
row_20	PSMC5	proteasome 26S subunit, ATPase 5 [Source:HGNC Symbol;Acc:HGNC:9552]	8492	-0.22912000119686127	-0.31518695	Yes	
row_21	PSMC3	proteasome 26S subunit, ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9549]	8494	-0.22912000119686127	-0.29274613	Yes	
row_22	USP10	ubiquitin specific peptidase 10 [Source:HGNC Symbol;Acc:HGNC:12608]	8620	-0.22912000119686127	-0.27938622	Yes	
