NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_UP	GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_UP	Details ...	140	-0.14111967	---	---	1.0	0.0	1409	tags=19%, list=10%, signal=20%	
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	Details ...	87	-0.23503086	---	---	1.0	0.0	2524	tags=37%, list=18%, signal=45%	
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN	WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN	Details ...	65	-0.17791465	---	---	1.0	0.0	2983	tags=40%, list=22%, signal=51%	
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN	ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN	Details ...	48	-0.43139207	-2.8322742	0.0	0.0	0.0	5209	tags=67%, list=38%, signal=107%	
REACTOME_SIGNALING_BY_KIT_IN_DISEASE	REACTOME_SIGNALING_BY_KIT_IN_DISEASE	Details ...	16	-0.7454752	-2.4472892	0.0	0.0	0.0	3012	tags=94%, list=22%, signal=120%	
ZHAN_MULTIPLE_MYELOMA_SUBGROUPS	ZHAN_MULTIPLE_MYELOMA_SUBGROUPS	Details ...	24	-0.5531023	-2.1362717	0.0	0.004490022	0.003	4510	tags=75%, list=33%, signal=112%	
BIOCARTA_NFAT_PATHWAY	BIOCARTA_NFAT_PATHWAY	Details ...	35	-0.40925398	-2.117428	0.0	0.008124802	0.004	6308	tags=80%, list=46%, signal=148%	
BIOCARTA_GLEEVEC_PATHWAY	BIOCARTA_GLEEVEC_PATHWAY	Details ...	15	-0.5861738	-1.7926753	0.0	0.04165742	0.023	5485	tags=93%, list=40%, signal=156%	
WONG_PROTEASOME_GENE_MODULE	WONG_PROTEASOME_GENE_MODULE	Details ...	41	-0.42570668	-1.754067	0.0	0.049223945	0.034	5237	tags=61%, list=38%, signal=98%	
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	Details ...	54	-0.39998582	-1.642216	0.0	0.100854464	0.078	6185	tags=81%, list=45%, signal=148%	
BILD_SRC_ONCOGENIC_SIGNATURE	BILD_SRC_ONCOGENIC_SIGNATURE	Details ...	23	-0.41039225	-1.6225415	0.0	0.11250327	0.095	2543	tags=43%, list=19%, signal=53%	
LI_LUNG_CANCER	LI_LUNG_CANCER	Details ...	34	-0.3861027	-1.5813775	0.16666667	0.12314898	0.115	2848	tags=44%, list=21%, signal=56%	
KYNG_RESPONSE_TO_H2O2_VIA_ERCC6	KYNG_RESPONSE_TO_H2O2_VIA_ERCC6	Details ...	15	-0.5071549	-1.5655268	0.08695652	0.12655394	0.126	5183	tags=73%, list=38%, signal=118%	
SU_TESTIS	SU_TESTIS	Details ...	47	-0.27170655	-1.3852198	0.1	0.23580424	0.247	3410	tags=43%, list=25%, signal=56%	
WP_PRION_DISEASE_PATHWAY	WP_PRION_DISEASE_PATHWAY	Details ...	20	-0.3761168	-1.3701581	0.25	0.22713494	0.255	4975	tags=75%, list=36%, signal=118%	
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES	Details ...	27	-0.31607383	-1.3249313	0.15789473	0.24721411	0.287	5068	tags=52%, list=37%, signal=82%	
ANDERSEN_LIVER_CANCER_KRT19_UP	ANDERSEN_LIVER_CANCER_KRT19_UP	Details ...	33	-0.39144707	-1.2811409	0.0	0.26586306	0.322	3776	tags=67%, list=28%, signal=92%	
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	Details ...	42	-0.26030383	-1.2646779	0.125	0.2650895	0.339	3264	tags=43%, list=24%, signal=56%	
SUH_COEXPRESSED_WITH_ID1_AND_ID2_UP	SUH_COEXPRESSED_WITH_ID1_AND_ID2_UP	Details ...	15	-0.32238725	-1.1109207	0.3108108	0.42250153	0.494	6854	tags=87%, list=50%, signal=173%	
DUTTA_APOPTOSIS_VIA_NFKB	DUTTA_APOPTOSIS_VIA_NFKB	Details ...	22	-0.2953555	-1.1066356	0.2857143	0.40671456	0.497	4308	tags=45%, list=31%, signal=66%	
WP_ATM_SIGNALING_NETWORK_IN_DEVELOPMENT_AND_DISEASE	WP_ATM_SIGNALING_NETWORK_IN_DEVELOPMENT_AND_DISEASE		22	-0.29793715	-1.1006612	0.23809524	0.39297763	0.501	6138	tags=82%, list=45%, signal=148%	
REACTOME_SIGNALING_BY_FGFR2_IN_DISEASE	REACTOME_SIGNALING_BY_FGFR2_IN_DISEASE		34	-0.30414027	-1.0932225	0.16666667	0.38128316	0.507	1242	tags=29%, list=9%, signal=32%	
CHANDRAN_METASTASIS_TOP50_UP	CHANDRAN_METASTASIS_TOP50_UP		24	-0.2617835	-1.048007	0.33333334	0.42425802	0.556	2113	tags=38%, list=15%, signal=44%	
WP_PARKINSONS_DISEASE_PATHWAY	WP_PARKINSONS_DISEASE_PATHWAY		31	-0.25095913	-1.0290205	0.25	0.4306328	0.581	3154	tags=48%, list=23%, signal=63%	
KUUSELO_PANCREATIC_CANCER_19Q13_AMPLIFICATION	KUUSELO_PANCREATIC_CANCER_19Q13_AMPLIFICATION		21	-0.27230603	-0.96181214	0.42857143	0.51117975	0.657	4265	tags=43%, list=31%, signal=62%	
