NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CAMPS_COLON_CANCER_COPY_NUMBER_DN	CAMPS_COLON_CANCER_COPY_NUMBER_DN	Details ...	52	0.68427056	1.3728646	0.002002002	1.0	0.744	1771	tags=31%, list=13%, signal=35%	
HP_MITOCHONDRIAL_MYOPATHY	HP_MITOCHONDRIAL_MYOPATHY	Details ...	52	0.6736842	1.3568525	0.003003003	0.8389039	0.847	2182	tags=31%, list=16%, signal=36%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	121	0.6598275	1.3343923	0.0	0.86753595	0.954	2811	tags=45%, list=21%, signal=56%	
WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	Details ...	31	0.65568763	1.2943354	0.044265594	1.0	0.999	2544	tags=29%, list=19%, signal=36%	
HP_DILATED_CARDIOMYOPATHY	HP_DILATED_CARDIOMYOPATHY	Details ...	96	0.63072556	1.2754903	0.003	1.0	0.999	2096	tags=25%, list=15%, signal=29%	
NEWMAN_ERCC6_TARGETS_UP	NEWMAN_ERCC6_TARGETS_UP	Details ...	19	0.6571031	1.2620268	0.10144927	1.0	1.0	2454	tags=42%, list=18%, signal=51%	
ZHAN_MULTIPLE_MYELOMA_CD1_DN	ZHAN_MULTIPLE_MYELOMA_CD1_DN	Details ...	33	0.6304283	1.2564683	0.08072654	1.0	1.0	2288	tags=27%, list=17%, signal=33%	
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	Details ...	46	0.63018036	1.2556425	0.038038038	1.0	1.0	4446	tags=72%, list=32%, signal=106%	
ZHAN_MULTIPLE_MYELOMA_SPIKED	ZHAN_MULTIPLE_MYELOMA_SPIKED	Details ...	17	0.65648085	1.24743	0.12063492	1.0	1.0	2409	tags=35%, list=18%, signal=43%	
HP_NEONATAL_ONSET	HP_NEONATAL_ONSET	Details ...	24	0.639652	1.2403684	0.12205128	1.0	1.0	2502	tags=29%, list=18%, signal=36%	
