NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
STRIT1	1	STRIT1	
KRTAP20-1	1	KRTAP20-1	
SPTSSA	1	SPTSSA	
TMEM218	1	TMEM218	
CNIH1	1	CNIH1	
MT-ND4L	1	MT-ND4L	
KRTAP19-8	1	KRTAP19-8	
TMEM258	1	TMEM258	
SLN	1	SLN	
MT-ND6	1	MT-ND6	
KRTAP20-2	1	KRTAP20-2	
SMIM3	1	SMIM3	
ATP6V0E1	1	ATP6V0E1	
TMEM244	1	TMEM244	
TMEM216	1	TMEM216	
MT-ND3	1	MT-ND3	
CNIH4	1	CNIH4	
KRTAP19-3	1	KRTAP19-3	
CNIH2	1	CNIH2	
MALL	1	MALL	
ATP6V0E2	1	ATP6V0E2	
DEXI	1	DEXI	
GOLT1A	1	GOLT1A	
SPTSSB	1	SPTSSB	
TMEM147	1	TMEM147	
KRTAP20-3	1	KRTAP20-3	
TMEM167B	1	TMEM167B	
LEPROTL1	1	LEPROTL1	
CNIH3	1	CNIH3	
EMP1	1	EMP1	
MAL	1	MAL	
LEPROT	1	LEPROT	
KRTAP8-1	1	KRTAP8-1	
SLC48A1	1	SLC48A1	
LITAFD	1	LITAFD	
DPM2	1	DPM2	
HACD4	1	HACD4	
SMIM30	1	SMIM30	
TAS2R1	1	TAS2R1	
BLCAP	1	BLCAP	
TMEM167A	1	TMEM167A	
PIGU	1	PIGU	
TMEM86A	1	TMEM86A	
SLC66A3	1	SLC66A3	
PIGY	1	PIGY	
IFI27	1	IFI27	
GOLT1B	1	GOLT1B	
MT-CO1	1	MT-CO1	
TMEM262	1	TMEM262	
KDELR2	1	KDELR2	
LTC4S	1	LTC4S	
KRTAP6-1	1	KRTAP6-1	
TMEM14B	1	TMEM14B	
ATP6V0B	1	ATP6V0B	
PMP22	1	PMP22	
TEX261	1	TEX261	
TMEM203	1	TMEM203	
EMC6	1	EMC6	
TAS2R41	1	TAS2R41	
OST4	1	OST4	
TMEM138	1	TMEM138	
KRTAP19-5	1	KRTAP19-5	
KRTAP19-7	1	KRTAP19-7	
SMIM10L2B	1	SMIM10L2B	
SMIM10L2A	1	SMIM10L2A	
MTRNR2L11	1	MTRNR2L11	
CMTM7	1	CMTM7	
ATP6V0C	1	ATP6V0C	
KRTAP6-2	1	KRTAP6-2	
OR4C3	1	OR4C3	
OR14A2	1	OR14A2	
CYB561A3	1	CYB561A3	
APH1B	1	APH1B	
OR8B8	1	OR8B8	
KDELR1	1	KDELR1	
TAS2R8	1	TAS2R8	
LIM2	1	LIM2	
OR4X2	1	OR4X2	
TMEM14A	1	TMEM14A	
GYPE	1	GYPE	
TMEM60	1	TMEM60	
TMEM182	1	TMEM182	
VKORC1L1	1	VKORC1L1	
PLN	1	PLN	
DRAM1	1	DRAM1	
OR9A4	1	OR9A4	
OR4K13	1	OR4K13	
OR13F1	1	OR13F1	
TAS2R16	1	TAS2R16	
SLC35E3	1	SLC35E3	
OR5D14	1	OR5D14	
PLLP	1	PLLP	
OR4Q3	1	OR4Q3	
OR6B1	1	OR6B1	
OR13C3	1	OR13C3	
OR6Q1	1	OR6Q1	
OR9Q1	1	OR9Q1	
MRLN	1	MRLN	
SMIM10L1	1	SMIM10L1	
SLC31A2	1	SLC31A2	
TAS2R50	1	TAS2R50	
OR2M2	1	OR2M2	
OR8K3	1	OR8K3	
IER3IP1	1	IER3IP1	
TMEM250	1	TMEM250	
OR52H1	1	OR52H1	
TMEM150B	1	TMEM150B	
KRTAP19-1	1	KRTAP19-1	
OR4K2	1	OR4K2	
TAS2R13	1	TAS2R13	
OR1E2	1	OR1E2	
OR10R2	1	OR10R2	
CDIPT	1	CDIPT	
OR52A1	1	OR52A1	
MRGPRG	1	MRGPRG	
TMEM47	1	TMEM47	
OR11H4	1	OR11H4	
TAS2R42	1	TAS2R42	
TMEM107	1	TMEM107	
OR4P4	1	OR4P4	
MT-ND1	1	MT-ND1	
OR6N2	1	OR6N2	
OR14I1	1	OR14I1	
OR52E6	1	OR52E6	
SFT2D1	1	SFT2D1	
OR4F6	1	OR4F6	
GJE1	1	GJE1	
OR2L5	1	OR2L5	
TMEM212	1	TMEM212	
MT-CYB	1	MT-CYB	
OR10AG1	1	OR10AG1	
OR4A5	1	OR4A5	
PIGF	1	PIGF	
OR52K2	1	OR52K2	
OR52A5	1	OR52A5	
EBPL	1	EBPL	
OR4X1	1	OR4X1	
CYB561D1	1	CYB561D1	
OR4C5	1	OR4C5	
OR2AT4	1	OR2AT4	
OR5T1	1	OR5T1	
TMEM170B	1	TMEM170B	
OR4F15	1	OR4F15	
CYB561D2	1	CYB561D2	
CLDN11	1	CLDN11	
APH1A	1	APH1A	
SRD5A3	1	SRD5A3	
OR51B2	1	OR51B2	
OR1B1	1	OR1B1	
OR8I2	1	OR8I2	
TMBIM4	1	TMBIM4	
OR13C4	1	OR13C4	
NKAIN3	1	NKAIN3	
OR10H3	1	OR10H3	
OR8D1	1	OR8D1	
NKAIN4	1	NKAIN4	
OR5J2	1	OR5J2	
OR52J3	1	OR52J3	
OR52B6	1	OR52B6	
LHFPL3	1	LHFPL3	
OR4K5	1	OR4K5	
OR5M3	1	OR5M3	
OR1E1	1	OR1E1	
TAS2R19	1	TAS2R19	
OR8B4	1	OR8B4	
OR51B4	1	OR51B4	
SYS1	1	SYS1	
OR8K5	1	OR8K5	
OR4A16	1	OR4A16	
GPR160	1	GPR160	
OR4C15	1	OR4C15	
OR1Q1	1	OR1Q1	
OR4L1	1	OR4L1	
CLDN4	1	CLDN4	
SURF4	1	SURF4	
ACER2	1	ACER2	
OR2J1	1	OR2J1	
TLCD4	1	TLCD4	
OR10H1	1	OR10H1	
OR52M1	1	OR52M1	
OR1L4	1	OR1L4	
ALG10B	1	ALG10B	
OR5W2	1	OR5W2	
PERP	1	PERP	
EMP2	1	EMP2	
OR14K1	1	OR14K1	
OR12D3	1	OR12D3	
OR5AS1	1	OR5AS1	
TMEM86B	1	TMEM86B	
OR2L2	1	OR2L2	
KDELR3	1	KDELR3	
OR1F1	1	OR1F1	
OR8K1	1	OR8K1	
XKR9	1	XKR9	
OR51I1	1	OR51I1	
ALG10	1	ALG10	
OR2A12	1	OR2A12	
TAS2R10	1	TAS2R10	
DAD1	1	DAD1	
OR4K14	1	OR4K14	
MMD	1	MMD	
OR13G1	1	OR13G1	
NKAIN1	1	NKAIN1	
OR4C16	1	OR4C16	
OR14C36	1	OR14C36	
OR13D1	1	OR13D1	
ACER3	1	ACER3	
OR5B2	1	OR5B2	
OR6C3	1	OR6C3	
OR14A16	1	OR14A16	
SFT2D2	1	SFT2D2	
OR52B2	1	OR52B2	
MGST2	1	MGST2	
TMEM144	1	TMEM144	
MRGPRX2	1	MRGPRX2	
OSTC	1	OSTC	
TM4SF19	1	TM4SF19	
OR10H2	1	OR10H2	
SUCNR1	1	SUCNR1	
OR10K2	1	OR10K2	
OR5H14	1	OR5H14	
OR6K6	1	OR6K6	
OR10A4	1	OR10A4	
ADORA3	1	ADORA3	
OR8B12	1	OR8B12	
OR4N4	1	OR4N4	
OR2T29	1	OR2T29	
SLC49A4	1	SLC49A4	
OR2T5	1	OR2T5	
KRTCAP2	1	KRTCAP2	
OR2A7	1	OR2A7	
OR6B2	1	OR6B2	
OR4K1	1	OR4K1	
OR52K1	1	OR52K1	
OR10H5	1	OR10H5	
DPAGT1	1	DPAGT1	
TMEM35B	1	TMEM35B	
OR5AP2	1	OR5AP2	
OR8U1	1	OR8U1	
OR10A3	1	OR10A3	
OR10G3	1	OR10G3	
