NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	29	2.797600030899048	0.016078906	No	
row_1	OR2A4	olfactory receptor family 2 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:14729]	317	2.0031991004943848	0.007959693	No	
row_2	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	563	1.808158040046692	0.0016675289	No	
row_3	UBIAD1	UbiA prenyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30791]	952	1.4662220478057861	-0.017396197	No	
row_4	SLC29A2	solute carrier family 29 member 2 [Source:HGNC Symbol;Acc:HGNC:11004]	995	1.4235140085220337	-0.011223685	No	
row_5	ALG3	ALG3 alpha-1,3- mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:23056]	1038	1.3854809999465942	-0.005298836	No	
row_6	TMEM97	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]	1167	1.2802740335464478	-0.006400789	No	
row_7	GPRC5A	G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]	1461	1.0461169481277466	-0.02119477	No	
row_8	SLC12A8	solute carrier family 12 member 8 [Source:HGNC Symbol;Acc:HGNC:15595]	1559	0.9789400100708008	-0.021972978	No	
row_9	SLC6A15	solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621]	1687	0.8831409811973572	-0.02558724	No	
row_10	SLC19A1	solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	1836	0.7649850249290466	-0.031519465	No	
row_11	VAMP1	vesicle associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:12642]	2031	0.6321250200271606	-0.041708928	No	
row_12	SFXN4	sideroflexin 4 [Source:HGNC Symbol;Acc:HGNC:16088]	2265	0.48222100734710693	-0.05575043	No	
row_13	VMP1	vacuole membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29559]	2351	0.4248560070991516	-0.05925183	No	
row_14	MCOLN2	mucolipin 2 [Source:HGNC Symbol;Acc:HGNC:13357]	2488	0.3337880074977875	-0.06710703	No	
row_15	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:20886]	2596	0.2673240005970001	-0.073256545	No	
row_16	FAM168A	family with sequence similarity 168 member A [Source:HGNC Symbol;Acc:HGNC:28999]	2850	0.1406169980764389	-0.090997316	No	
row_17	PTRH2	peptidyl-tRNA hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:24265]	3044	0.05727899819612503	-0.10485632	No	
row_18	NTF4	neurotrophin 4 [Source:HGNC Symbol;Acc:HGNC:8024]	3197	-0.008337999694049358	-0.116010636	No	
row_19	PHB	prohibitin [Source:HGNC Symbol;Acc:HGNC:8912]	3220	-0.021921999752521515	-0.11749019	No	
row_20	ERVMER34-1	endogenous retrovirus group MER34 member 1, envelope [Source:HGNC Symbol;Acc:HGNC:42970]	3462	-0.12058000266551971	-0.13447654	No	
row_21	DHRS1	dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445]	3933	-0.2729499936103821	-0.16735736	No	
row_22	PCYOX1L	prenylcysteine oxidase 1 like [Source:HGNC Symbol;Acc:HGNC:28477]	3942	-0.2754560112953186	-0.16615358	No	
row_23	KRTAP2-3	keratin associated protein 2-3 [Source:HGNC Symbol;Acc:HGNC:18906]	4083	-0.3124159872531891	-0.17444292	No	
row_24	NCR3LG1	natural killer cell cytotoxicity receptor 3 ligand 1 [Source:HGNC Symbol;Acc:HGNC:42400]	4287	-0.37914299964904785	-0.18694341	No	
row_25	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	4718	-0.48857399821281433	-0.2154705	No	
row_26	PLD6	phospholipase D family member 6 [Source:HGNC Symbol;Acc:HGNC:30447]	4962	-0.5468760132789612	-0.22982839	No	
row_27	EEF1AKMT4	EEF1A lysine methyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:53611]	5608	-0.6697419881820679	-0.27303004	No	
row_28	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]	5748	-0.692579984664917	-0.27877006	No	
row_29	YPEL3	yippee like 3 [Source:HGNC Symbol;Acc:HGNC:18327]	5990	-0.7300019860267639	-0.291788	No	
row_30	FGF11	fibroblast growth factor 11 [Source:HGNC Symbol;Acc:HGNC:3667]	6123	-0.7507200241088867	-0.29663327	No	
row_31	C20orf27	chromosome 20 open reading frame 27 [Source:HGNC Symbol;Acc:HGNC:15873]	6348	-0.7834190130233765	-0.30804977	No	
row_32	STMN3	stathmin 3 [Source:HGNC Symbol;Acc:HGNC:15926]	6666	-0.8254950046539307	-0.32605016	No	
row_33	CDCA8	cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]	6748	-0.8364999890327454	-0.32657605	No	
row_34	ANGEL1	angel homolog 1 [Source:HGNC Symbol;Acc:HGNC:19961]	6933	-0.8589800000190735	-0.3345509	No	
row_35	ARNTL2	aryl hydrocarbon receptor nuclear translocator like 2 [Source:HGNC Symbol;Acc:HGNC:18984]	7006	-0.8671039938926697	-0.33421382	No	
row_36	NIT1	nitrilase 1 [Source:HGNC Symbol;Acc:HGNC:7828]	7106	-0.8813470005989075	-0.33577502	No	
row_37	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	7122	-0.8851820230484009	-0.331117	No	
row_38	WSB1	WD repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:19221]	7133	-0.886555016040802	-0.32608137	No	
row_39	PCOLCE2	procollagen C-endopeptidase enhancer 2 [Source:HGNC Symbol;Acc:HGNC:8739]	7149	-0.8883090019226074	-0.321403	No	
row_40	HS6ST2	heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]	7160	-0.8909720182418823	-0.31633857	No	
row_41	ZBED2	zinc finger BED-type containing 2 [Source:HGNC Symbol;Acc:HGNC:20710]	7432	-0.924822986125946	-0.3303001	No	
row_42	DPH1	diphthamide biosynthesis 1 [Source:HGNC Symbol;Acc:HGNC:3003]	7579	-0.9432100057601929	-0.33492428	No	
row_43	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	7606	-0.9472669959068298	-0.33067313	No	
row_44	BOP1	BOP1 ribosomal biogenesis factor [Source:HGNC Symbol;Acc:HGNC:15519]	7836	-0.9744099974632263	-0.34121463	No	
row_45	FGFBP1	fibroblast growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19695]	7847	-0.9755470156669617	-0.33559948	No	
row_46	RUNX1	RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]	7917	-0.9848020076751709	-0.33427477	No	
row_47	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	8129	-1.0088540315628052	-0.34326464	No	
row_48	EXOSC5	exosome component 5 [Source:HGNC Symbol;Acc:HGNC:24662]	8136	-1.0094200372695923	-0.33713397	No	
row_49	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	8321	-1.0310519933700562	-0.3439883	Yes	
row_50	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	8406	-1.040526032447815	-0.34340683	Yes	
row_51	NOP16	NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]	8469	-1.0477099418640137	-0.3411563	Yes	
row_52	GPD1L	glycerol-3-phosphate dehydrogenase 1 like [Source:HGNC Symbol;Acc:HGNC:28956]	8515	-1.0518289804458618	-0.33762535	Yes	
row_53	METTL1	methyltransferase like 1 [Source:HGNC Symbol;Acc:HGNC:7030]	8578	-1.0591750144958496	-0.33530015	Yes	
row_54	UBE2D4	ubiquitin conjugating enzyme E2 D4 (putative) [Source:HGNC Symbol;Acc:HGNC:21647]	8611	-1.0622669458389282	-0.3307426	Yes	
row_55	DHODH	dihydroorotate dehydrogenase (quinone) [Source:HGNC Symbol;Acc:HGNC:2867]	8633	-1.064371943473816	-0.32536018	Yes	
row_56	TINF2	TERF1 interacting nuclear factor 2 [Source:HGNC Symbol;Acc:HGNC:11824]	8680	-1.0681099891662598	-0.32179695	Yes	
row_57	MTMR11	myotubularin related protein 11 [Source:HGNC Symbol;Acc:HGNC:24307]	8741	-1.0744160413742065	-0.31922504	Yes	
row_58	PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:9279]	8765	-1.0765269994735718	-0.31391096	Yes	
row_59	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	8775	-1.0776259899139404	-0.30755734	Yes	
row_60	FCHSD1	FCH and double SH3 domains 1 [Source:HGNC Symbol;Acc:HGNC:25463]	8807	-1.0808919668197632	-0.30280477	Yes	
row_61	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	8820	-1.0821349620819092	-0.29664302	Yes	
row_62	CCDC78	coiled-coil domain containing 78 [Source:HGNC Symbol;Acc:HGNC:14153]	8955	-1.0965750217437744	-0.2993836	Yes	
row_63	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	9004	-1.1019220352172852	-0.2957477	Yes	
row_64	ALDH1B1	aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407]	9025	-1.1042790412902832	-0.29003167	Yes	
row_65	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]	9092	-1.1121740341186523	-0.28765634	Yes	
row_66	PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase [Source:HGNC Symbol;Acc:HGNC:8587]	9192	-1.123276948928833	-0.28764212	Yes	
