NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	9	3.0505549907684326	0.025256505	Yes	
row_1	MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	15	2.9524118900299072	0.04997356	Yes	
row_2	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	120	2.27553391456604	0.061652627	Yes	
row_3	SRD5A3	steroid 5 alpha-reductase 3 [Source:HGNC Symbol;Acc:HGNC:25812]	146	2.2050669193267822	0.07854778	Yes	
row_4	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	285	2.0264439582824707	0.08560789	Yes	
row_5	MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	290	2.0234739780426025	0.102505855	Yes	
row_6	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	481	1.8801020383834839	0.1044951	Yes	
row_7	CLRN1	clarin 1 [Source:HGNC Symbol;Acc:HGNC:12605]	492	1.8741250038146973	0.1196825	Yes	
row_8	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	826	1.5866420269012451	0.10865283	Yes	
row_9	RHO	rhodopsin [Source:HGNC Symbol;Acc:HGNC:10012]	899	1.512444019317627	0.116203696	Yes	
row_10	CLDN19	claudin 19 [Source:HGNC Symbol;Acc:HGNC:2040]	1005	1.4142509698867798	0.12049129	Yes	
row_11	SLC35A2	solute carrier family 35 member A2 [Source:HGNC Symbol;Acc:HGNC:11022]	1043	1.3826090097427368	0.1295152	Yes	
row_12	FLVCR1	FLVCR heme transporter 1 [Source:HGNC Symbol;Acc:HGNC:24682]	1176	1.276123046875	0.13064185	Yes	
row_13	RGR	retinal G protein coupled receptor [Source:HGNC Symbol;Acc:HGNC:9990]	1191	1.2624529600143433	0.14033778	Yes	
row_14	CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:HGNC Symbol;Acc:HGNC:2074]	1229	1.2299319505691528	0.14806446	Yes	
row_15	COQ2	coenzyme Q2, polyprenyltransferase [Source:HGNC Symbol;Acc:HGNC:25223]	1234	1.225993037223816	0.15818666	Yes	
row_16	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:26527]	1313	1.162384033203125	0.16232161	Yes	
row_17	SLC7A14	solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]	1379	1.1080509424209595	0.1669518	Yes	
row_18	REEP6	receptor accessory protein 6 [Source:HGNC Symbol;Acc:HGNC:30078]	1546	0.9880560040473938	0.16312833	No	
row_19	ROM1	retinal outer segment membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10254]	1740	0.8451150059700012	0.15610303	No	
