NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MALL	mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]	19	2.8893260955810547	0.063924976	Yes	
row_1	CLDN4	claudin 4 [Source:HGNC Symbol;Acc:HGNC:2046]	173	2.162748098373413	0.101604156	Yes	
row_2	CLDN7	claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]	425	1.9192559719085693	0.12659672	Yes	
row_3	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	471	1.8857589960098267	0.16592914	Yes	
row_4	GPRC5A	G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]	1461	1.0461169481277466	0.117097385	No	
row_5	UGCG	UDP-glucose ceramide glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:12524]	1645	0.9166539907455444	0.12440818	No	
row_6	BIK	BCL2 interacting killer [Source:HGNC Symbol;Acc:HGNC:1051]	1791	0.7968559861183167	0.13179567	No	
row_7	GABRP	gamma-aminobutyric acid type A receptor subunit pi [Source:HGNC Symbol;Acc:HGNC:4089]	2061	0.6116350293159485	0.12590839	No	
row_8	MIA	MIA SH3 domain containing [Source:HGNC Symbol;Acc:HGNC:7076]	2172	0.5421329736709595	0.13010253	No	
row_9	WFDC2	WAP four-disulfide core domain 2 [Source:HGNC Symbol;Acc:HGNC:15939]	2290	0.46399998664855957	0.13201736	No	
row_10	CST6	cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478]	2477	0.3434099853038788	0.12614928	No	
row_11	PSMB9	proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]	3061	0.050985999405384064	0.08457562	No	
row_12	PLAAT3	phospholipase A and acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17825]	3207	-0.014879000373184681	0.07428538	No	
row_13	BACE2	beta-secretase 2 [Source:HGNC Symbol;Acc:HGNC:934]	3651	-0.19167299568653107	0.046152327	No	
row_14	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	3666	-0.19773100316524506	0.049596306	No	
row_15	METRN	meteorin, glial cell differentiation regulator [Source:HGNC Symbol;Acc:HGNC:14151]	3835	-0.24811600148677826	0.04289313	No	
