NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0E2	ATPase H+ transporting V0 subunit e2 [Source:HGNC Symbol;Acc:HGNC:21723]	20	2.8853631019592285	0.02027964	No	
row_1	TOMM7	translocase of outer mitochondrial membrane 7 [Source:HGNC Symbol;Acc:HGNC:21648]	911	1.498540997505188	-0.03396537	No	
row_2	CCR7	C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]	1002	1.4156839847564697	-0.029920533	No	
row_3	LPAR2	lysophosphatidic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:3168]	1172	1.2782009840011597	-0.032729972	No	
row_4	COX6C	cytochrome c oxidase subunit 6C [Source:HGNC Symbol;Acc:HGNC:2285]	1305	1.1691559553146362	-0.0336367	No	
row_5	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	1459	1.0475729703903198	-0.03700654	No	
row_6	SLC25A6	solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]	1710	0.8626300096511841	-0.048914026	No	
row_7	GPR183	G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]	1852	0.7584800124168396	-0.05357959	No	
row_8	KLRK1	killer cell lectin like receptor K1 [Source:HGNC Symbol;Acc:HGNC:18788]	2055	0.616146981716156	-0.06381042	No	
row_9	TSC22D3	TSC22 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:3051]	2369	0.41584300994873047	-0.08372572	No	
row_10	TMED10	transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]	2425	0.3827179968357086	-0.08489081	No	
row_11	SARAF	store-operated calcium entry associated regulatory factor [Source:HGNC Symbol;Acc:HGNC:28789]	2507	0.32389500737190247	-0.08841409	No	
row_12	RPLP1	ribosomal protein lateral stalk subunit P1 [Source:HGNC Symbol;Acc:HGNC:10372]	2511	0.31903699040412903	-0.08622982	No	
row_13	MSMB	microseminoprotein beta [Source:HGNC Symbol;Acc:HGNC:7372]	2968	0.08657199889421463	-0.11915843	No	
row_14	BBIP1	BBSome interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:28093]	3034	0.0631060004234314	-0.12346949	No	
row_15	FAM168B	family with sequence similarity 168 member B [Source:HGNC Symbol;Acc:HGNC:27016]	3122	0.024390000849962234	-0.12969255	No	
row_16	EIF3F	eukaryotic translation initiation factor 3 subunit F [Source:HGNC Symbol;Acc:HGNC:3275]	3596	-0.16937600076198578	-0.16324885	No	
row_17	COX11	cytochrome c oxidase copper chaperone COX11 [Source:HGNC Symbol;Acc:HGNC:2261]	3951	-0.2772729992866516	-0.18722817	No	
row_18	B4GAT1	beta-1,4-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15685]	4149	-0.33389100432395935	-0.19921869	No	
row_19	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	4172	-0.3406299948692322	-0.19827087	No	
row_20	POLR2H	RNA polymerase II subunit H [Source:HGNC Symbol;Acc:HGNC:9195]	4278	-0.37592899799346924	-0.2031693	No	
row_21	PFN2	profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882]	4303	-0.3831300139427185	-0.20204835	No	
row_22	MICA	MHC class I polypeptide-related sequence A [Source:HGNC Symbol;Acc:HGNC:7090]	4378	-0.4046019911766052	-0.20444769	No	
row_23	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	4421	-0.4166939854621887	-0.20439927	No	
row_24	RPL30	ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333]	4626	-0.465844988822937	-0.21591051	No	
row_25	RPLP0	ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]	4794	-0.5068079829216003	-0.22438812	No	
row_26	TLE5	TLE family member 5, transcriptional modulator [Source:HGNC Symbol;Acc:HGNC:307]	4924	-0.5375660061836243	-0.22983542	No	
row_27	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	4944	-0.5408939719200134	-0.22715689	No	
row_28	RPL7	ribosomal protein L7 [Source:HGNC Symbol;Acc:HGNC:10363]	5745	-0.6922879815101624	-0.2808523	No	
row_29	TRIM32	tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380]	6063	-0.7413589954376221	-0.29860812	No	
row_30	FGF9	fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]	6252	-0.7711470127105713	-0.30663943	No	
row_31	EEF1B2	eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]	6343	-0.78301602602005	-0.3073642	No	
row_32	RPL13A	ribosomal protein L13a [Source:HGNC Symbol;Acc:HGNC:10304]	6505	-0.8061590194702148	-0.3131432	No	
row_33	IMPDH2	inosine monophosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6053]	6612	-0.8195340037345886	-0.31477097	No	
row_34	RNF44	ring finger protein 44 [Source:HGNC Symbol;Acc:HGNC:19180]	6651	-0.8233749866485596	-0.31136206	No	
row_35	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	6704	-0.830282986164093	-0.30893207	No	
row_36	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	6727	-0.8327329754829407	-0.30427432	No	
row_37	SAP25	Sin3A associated protein 25 [Source:HGNC Symbol;Acc:HGNC:41908]	6795	-0.8429690003395081	-0.30285332	No	
row_38	PNMT	phenylethanolamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:9160]	6916	-0.8574439883232117	-0.3052263	No	
row_39	VPS52	VPS52 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:10518]	6974	-0.8633189797401428	-0.30291548	No	
row_40	EIF3K	eukaryotic translation initiation factor 3 subunit K [Source:HGNC Symbol;Acc:HGNC:24656]	7183	-0.8945450186729431	-0.31148934	No	
row_41	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 [Source:HGNC Symbol;Acc:HGNC:5041]	7185	-0.894631028175354	-0.30481845	No	
row_42	RPL24	ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:10325]	7193	-0.8955219984054565	-0.2985827	No	
