NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
VILLANUEVA_LIVER_CANCER_KRT19_UP	VILLANUEVA_LIVER_CANCER_KRT19_UP	Details ...	92	-0.45721233	-2.466648	0.0	0.0	0.0	4345	tags=63%, list=32%, signal=92%	
REACTOME_SIGNALING_BY_KIT_IN_DISEASE	REACTOME_SIGNALING_BY_KIT_IN_DISEASE	Details ...	16	-0.722807	-2.436533	0.0	0.0	0.0	3809	tags=100%, list=28%, signal=138%	
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	Details ...	54	-0.46959278	-2.2641308	0.0	3.8643065E-4	0.001	5780	tags=80%, list=42%, signal=137%	
JISON_SICKLE_CELL_DISEASE_DN	JISON_SICKLE_CELL_DISEASE_DN	Details ...	117	-0.38270834	-2.1514175	0.0	0.0014372891	0.005	4298	tags=55%, list=31%, signal=79%	
BIOCARTA_NFAT_PATHWAY	BIOCARTA_NFAT_PATHWAY	Details ...	35	-0.50545526	-2.1193707	0.0	0.0016107599	0.007	5686	tags=80%, list=42%, signal=136%	
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN	BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN	Details ...	122	-0.36663255	-2.0774848	0.0	0.0019194443	0.01	3783	tags=50%, list=28%, signal=68%	
BILD_MYC_ONCOGENIC_SIGNATURE	BILD_MYC_ONCOGENIC_SIGNATURE	Details ...	135	-0.3507023	-2.0223281	0.0	0.0031581684	0.019	5376	tags=64%, list=39%, signal=104%	
BIOCARTA_GLEEVEC_PATHWAY	BIOCARTA_GLEEVEC_PATHWAY	Details ...	15	-0.6027076	-2.009623	0.0	0.0033504337	0.023	4360	tags=87%, list=32%, signal=127%	
WP_ATM_SIGNALING_NETWORK_IN_DEVELOPMENT_AND_DISEASE	WP_ATM_SIGNALING_NETWORK_IN_DEVELOPMENT_AND_DISEASE	Details ...	22	-0.52673745	-1.9735701	0.0014367816	0.0055771973	0.043	5209	tags=82%, list=38%, signal=132%	
ZHAN_MULTIPLE_MYELOMA_SUBGROUPS	ZHAN_MULTIPLE_MYELOMA_SUBGROUPS	Details ...	24	-0.505738	-1.9661746	0.0014285714	0.0060585984	0.052	4594	tags=71%, list=34%, signal=106%	
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_UP	GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_UP	Details ...	140	-0.33989564	-1.9474852	0.0	0.007878947	0.072	7514	tags=76%, list=55%, signal=168%	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN	GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN	Details ...	305	-0.30006397	-1.9458779	0.0	0.0073172953	0.073	5199	tags=52%, list=38%, signal=82%	
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	Details ...	87	-0.3680162	-1.9443882	0.0	0.006849492	0.074	4345	tags=54%, list=32%, signal=79%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_UP	Details ...	154	-0.32736275	-1.9285167	0.0	0.008014832	0.094	6382	tags=65%, list=47%, signal=120%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_UP	Details ...	148	-0.33322296	-1.9228698	0.0	0.00849834	0.105	4298	tags=49%, list=31%, signal=71%	
GSE32901_TH17_EMRICHED_VS_TH17_NEG_CD4_TCELL_DN	GSE32901_TH17_EMRICHED_VS_TH17_NEG_CD4_TCELL_DN	Details ...	120	-0.33886784	-1.9134191	0.0	0.008626896	0.113	6160	tags=64%, list=45%, signal=116%	
CHANDRAN_METASTASIS_TOP50_UP	CHANDRAN_METASTASIS_TOP50_UP	Details ...	24	-0.4944878	-1.8844527	0.0028530671	0.011562701	0.158	4002	tags=67%, list=29%, signal=94%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_UP	Details ...	135	-0.32541752	-1.879289	0.0	0.01124173	0.161	6367	tags=65%, list=46%, signal=121%	
WP_PRION_DISEASE_PATHWAY	WP_PRION_DISEASE_PATHWAY	Details ...	20	-0.5023745	-1.8739225	0.0056899004	0.011211604	0.168	6042	tags=80%, list=44%, signal=143%	
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN	ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN	Details ...	48	-0.40179604	-1.8549967	0.0013280213	0.0134604825	0.208	6319	tags=75%, list=46%, signal=139%	
