NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC6A5	solute carrier family 6 member 5 [Source:HGNC Symbol;Acc:HGNC:11051]	9	3.5899579524993896	0.011633991	Yes	
row_1	SLC6A17	solute carrier family 6 member 17 [Source:HGNC Symbol;Acc:HGNC:31399]	54	2.86741304397583	0.018176435	Yes	
row_2	LRFN2	leucine rich repeat and fibronectin type III domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21226]	78	2.6278820037841797	0.025466572	Yes	
row_3	SLC44A1	solute carrier family 44 member 1 [Source:HGNC Symbol;Acc:HGNC:18798]	81	2.597249984741211	0.034220506	Yes	
row_4	CDH10	cadherin 10 [Source:HGNC Symbol;Acc:HGNC:1749]	88	2.5801219940185547	0.042616904	Yes	
row_5	CDH7	cadherin 7 [Source:HGNC Symbol;Acc:HGNC:1766]	105	2.495008945465088	0.04997449	Yes	
row_6	SLC5A7	solute carrier family 5 member 7 [Source:HGNC Symbol;Acc:HGNC:14025]	143	2.3652939796447754	0.05531861	Yes	
row_7	PDZD4	PDZ domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21167]	153	2.3406569957733154	0.06267001	Yes	
row_8	SLC26A5	solute carrier family 26 member 5 [Source:HGNC Symbol;Acc:HGNC:9359]	159	2.3174378871917725	0.07024063	Yes	
row_9	SLC6A3	solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049]	167	2.2974131107330322	0.07759321	Yes	
row_10	CDH9	cadherin 9 [Source:HGNC Symbol;Acc:HGNC:1768]	191	2.1894569396972656	0.08338043	Yes	
row_11	TMEM266	transmembrane protein 266 [Source:HGNC Symbol;Acc:HGNC:26763]	208	2.13071608543396	0.08948922	Yes	
row_12	SLC24A2	solute carrier family 24 member 2 [Source:HGNC Symbol;Acc:HGNC:10976]	215	2.1133689880371094	0.0962856	Yes	
row_13	SLC6A7	solute carrier family 6 member 7 [Source:HGNC Symbol;Acc:HGNC:11054]	249	2.0193729400634766	0.10074272	Yes	
row_14	CDH18	cadherin 18 [Source:HGNC Symbol;Acc:HGNC:1757]	252	2.0090229511260986	0.10748022	Yes	
row_15	SV2C	synaptic vesicle glycoprotein 2C [Source:HGNC Symbol;Acc:HGNC:30670]	257	1.9915720224380493	0.114008486	Yes	
row_16	KCND2	potassium voltage-gated channel subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:6238]	295	1.9283909797668457	0.11785491	Yes	
row_17	SVOP	SV2 related protein [Source:HGNC Symbol;Acc:HGNC:25417]	305	1.9082399606704712	0.123723984	Yes	
row_18	GABRA4	gamma-aminobutyric acid type A receptor subunit alpha4 [Source:HGNC Symbol;Acc:HGNC:4078]	327	1.8445719480514526	0.12847835	Yes	
row_19	KCNC2	potassium voltage-gated channel subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:6234]	339	1.831009030342102	0.13393328	Yes	
row_20	GPR101	G protein-coupled receptor 101 [Source:HGNC Symbol;Acc:HGNC:14963]	380	1.7532479763031006	0.1369552	Yes	
row_21	TRIM67	tripartite motif containing 67 [Source:HGNC Symbol;Acc:HGNC:31859]	381	1.7505069971084595	0.14295591	Yes	
row_22	TTYH2	tweety family member 2 [Source:HGNC Symbol;Acc:HGNC:13877]	383	1.7488559484481812	0.14887626	Yes	
row_23	GPR37	G protein-coupled receptor 37 [Source:HGNC Symbol;Acc:HGNC:4494]	389	1.736184000968933	0.15445437	Yes	
row_24	TMEM151B	transmembrane protein 151B [Source:HGNC Symbol;Acc:HGNC:21315]	405	1.7034200429916382	0.1591731	Yes	
row_25	SLC32A1	solute carrier family 32 member 1 [Source:HGNC Symbol;Acc:HGNC:11018]	426	1.6742910146713257	0.16341844	Yes	
row_26	SLC17A6	solute carrier family 17 member 6 [Source:HGNC Symbol;Acc:HGNC:16703]	449	1.649006962776184	0.16742772	Yes	
row_27	SV2B	synaptic vesicle glycoprotein 2B [Source:HGNC Symbol;Acc:HGNC:16874]	461	1.6315850019454956	0.17219901	Yes	
row_28	GPR37L1	G protein-coupled receptor 37 like 1 [Source:HGNC Symbol;Acc:HGNC:14923]	501	1.579192042350769	0.17469898	Yes	
row_29	ARHGAP22	Rho GTPase activating protein 22 [Source:HGNC Symbol;Acc:HGNC:30320]	543	1.5334769487380981	0.17689282	Yes	
row_30	TMEM145	transmembrane protein 145 [Source:HGNC Symbol;Acc:HGNC:26912]	561	1.5107640027999878	0.18080172	Yes	
row_31	GABRB2	gamma-aminobutyric acid type A receptor subunit beta2 [Source:HGNC Symbol;Acc:HGNC:4082]	574	1.4913690090179443	0.18501766	Yes	
row_32	APBA2	amyloid beta precursor protein binding family A member 2 [Source:HGNC Symbol;Acc:HGNC:579]	599	1.465541958808899	0.18824859	Yes	
row_33	INA	internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057]	612	1.445984959602356	0.19230896	Yes	
row_34	CHRM5	cholinergic receptor muscarinic 5 [Source:HGNC Symbol;Acc:HGNC:1954]	619	1.4412540197372437	0.19680133	Yes	
row_35	KCNN1	potassium calcium-activated channel subfamily N member 1 [Source:HGNC Symbol;Acc:HGNC:6290]	634	1.421280026435852	0.2006276	Yes	
row_36	SLC1A2	solute carrier family 1 member 2 [Source:HGNC Symbol;Acc:HGNC:10940]	636	1.4186079502105713	0.20541586	Yes	
row_37	SLC1A3	solute carrier family 1 member 3 [Source:HGNC Symbol;Acc:HGNC:10941]	642	1.4123179912567139	0.20988375	Yes	
row_38	SLC17A7	solute carrier family 17 member 7 [Source:HGNC Symbol;Acc:HGNC:16704]	687	1.3613859415054321	0.21126355	Yes	
row_39	GJC2	gap junction protein gamma 2 [Source:HGNC Symbol;Acc:HGNC:17494]	700	1.3500560522079468	0.21499507	Yes	
row_40	MAG	myelin associated glycoprotein [Source:HGNC Symbol;Acc:HGNC:6783]	729	1.322113037109375	0.21743551	Yes	
row_41	CHRNB2	cholinergic receptor nicotinic beta 2 subunit [Source:HGNC Symbol;Acc:HGNC:1962]	773	1.2848559617996216	0.21862768	Yes	
row_42	LRRC4C	leucine rich repeat containing 4C [Source:HGNC Symbol;Acc:HGNC:29317]	775	1.2820760011672974	0.22294791	Yes	
row_43	KIF3C	kinesin family member 3C [Source:HGNC Symbol;Acc:HGNC:6321]	792	1.2728500366210938	0.22611596	Yes	
row_44	KCNV1	potassium voltage-gated channel modifier subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:18861]	810	1.2578469514846802	0.22915785	Yes	
row_45	NEFL	neurofilament light [Source:HGNC Symbol;Acc:HGNC:7739]	853	1.221987009048462	0.2302092	Yes	
row_46	HCRTR2	hypocretin receptor 2 [Source:HGNC Symbol;Acc:HGNC:4849]	892	1.187999963760376	0.23144287	Yes	
row_47	GLRA1	glycine receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4326]	912	1.1718510389328003	0.23404056	Yes	
row_48	SLITRK1	SLIT and NTRK like family member 1 [Source:HGNC Symbol;Acc:HGNC:20297]	915	1.1700350046157837	0.23790202	Yes	
