NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APLP2	amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]	41	2.96228289604187	0.013877506	No	
row_1	SLC38A9	solute carrier family 38 member 9 [Source:HGNC Symbol;Acc:HGNC:26907]	430	1.6726130247116089	-0.0052507487	No	
row_2	SLC30A6	solute carrier family 30 member 6 [Source:HGNC Symbol;Acc:HGNC:19305]	548	1.5280059576034546	-0.0051762825	No	
row_3	FZD1	frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]	613	1.445315957069397	-0.0016568477	No	
row_4	EDNRB	endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180]	639	1.4146549701690674	0.0045698564	No	
row_5	SERINC1	serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]	1038	1.087556004524231	-0.018636726	No	
row_6	NCOA4	nuclear receptor coactivator 4 [Source:HGNC Symbol;Acc:HGNC:7671]	1047	1.0799349546432495	-0.013064102	No	
row_7	IL1RL1	interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	1385	0.8580750226974487	-0.033072308	No	
row_8	FAM114A1	family with sequence similarity 114 member A1 [Source:HGNC Symbol;Acc:HGNC:25087]	1404	0.8488039970397949	-0.029557936	No	
row_9	HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	1423	0.8402100205421448	-0.026092615	No	
row_10	XRCC5	X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]	1676	0.7180730104446411	-0.04061803	No	
row_11	CDYL	chromodomain Y like [Source:HGNC Symbol;Acc:HGNC:1811]	1770	0.6832659840583801	-0.043591313	No	
row_12	KLF10	Kruppel like factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]	1902	0.6349200010299683	-0.049648903	No	
row_13	CX3CR1	C-X3-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:2558]	2051	0.575406014919281	-0.05730255	No	
row_14	GHITM	growth hormone inducible transmembrane protein [Source:HGNC Symbol;Acc:HGNC:17281]	2071	0.5675179958343506	-0.055467553	No	
row_15	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	2120	0.5536050200462341	-0.0558552	No	
row_16	TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	2415	0.4632450044155121	-0.07493906	No	
row_17	ASH2L	ASH2 like, histone lysine methyltransferase complex subunit [Source:HGNC Symbol;Acc:HGNC:744]	3421	0.2137790024280548	-0.14799277	No	
row_18	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	3593	0.17065900564193726	-0.15965636	No	
row_19	CA9	carbonic anhydrase 9 [Source:HGNC Symbol;Acc:HGNC:1383]	3798	0.11899299919605255	-0.17405368	No	
row_20	LAPTM4A	lysosomal protein transmembrane 4 alpha [Source:HGNC Symbol;Acc:HGNC:6924]	3941	0.07943599671125412	-0.18409473	No	
row_21	SHB	SH2 domain containing adaptor protein B [Source:HGNC Symbol;Acc:HGNC:10838]	4108	0.03528499975800514	-0.19616145	No	
row_22	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	4136	0.029776999726891518	-0.19798692	No	
row_23	TMEM248	transmembrane protein 248 [Source:HGNC Symbol;Acc:HGNC:25476]	4147	0.027139000594615936	-0.19857106	No	
row_24	TMBIM4	transmembrane BAX inhibitor motif containing 4 [Source:HGNC Symbol;Acc:HGNC:24257]	4160	0.025459999218583107	-0.1993126	No	
row_25	TMEM9B	TMEM9 domain family member B [Source:HGNC Symbol;Acc:HGNC:1168]	4318	-0.014593999832868576	-0.21083228	No	
row_26	PFKM	phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]	4592	-0.08841799944639206	-0.23050351	No	
row_27	SLC25A17	solute carrier family 25 member 17 [Source:HGNC Symbol;Acc:HGNC:10987]	4601	-0.08972100168466568	-0.23058265	No	
row_28	KIFBP	kinesin family binding protein [Source:HGNC Symbol;Acc:HGNC:23419]	4631	-0.09634999930858612	-0.23217596	No	
row_29	SLC25A33	solute carrier family 25 member 33 [Source:HGNC Symbol;Acc:HGNC:29681]	4675	-0.10628700256347656	-0.2347472	No	
row_30	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma [Source:HGNC Symbol;Acc:HGNC:9311]	4696	-0.11309000104665756	-0.23557982	No	
row_31	ATL3	atlastin GTPase 3 [Source:HGNC Symbol;Acc:HGNC:24526]	4798	-0.13369899988174438	-0.24228105	No	
row_32	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	4969	-0.17270900309085846	-0.25385904	No	
row_33	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	5159	-0.21962900459766388	-0.2665734	No	
row_34	EEF1AKNMT	eEF1A lysine and N-terminal methyltransferase [Source:HGNC Symbol;Acc:HGNC:24248]	5228	-0.23632299900054932	-0.27025005	No	
row_35	MAGEA6	MAGE family member A6 [Source:HGNC Symbol;Acc:HGNC:6804]	5319	-0.25398099422454834	-0.27545184	No	
row_36	TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	5433	-0.2751930058002472	-0.2822323	No	
row_37	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	5601	-0.31464099884033203	-0.2927785	No	
row_38	ENC1	ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345]	5632	-0.323498010635376	-0.29314923	No	
row_39	LHFPL2	LHFPL tetraspan subfamily member 2 [Source:HGNC Symbol;Acc:HGNC:6588]	5636	-0.32459500432014465	-0.29151827	No	
