NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	258	1.9880750179290771	0.06668123	Yes	
row_1	ZNF710	zinc finger protein 710 [Source:HGNC Symbol;Acc:HGNC:25352]	263	1.9845410585403442	0.15178986	Yes	
row_2	NTRK1	neurotrophic receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:8031]	596	1.4710220098495483	0.19080772	Yes	
row_3	APBA2	amyloid beta precursor protein binding family A member 2 [Source:HGNC Symbol;Acc:HGNC:579]	599	1.465541958808899	0.25372845	Yes	
row_4	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]	662	1.3925260305404663	0.30911818	Yes	
row_5	CNR1	cannabinoid receptor 1 [Source:HGNC Symbol;Acc:HGNC:2159]	1292	0.9172539710998535	0.30258077	No	
row_6	CILK1	ciliogenesis associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:21219]	1941	0.6187779903411865	0.2818092	No	
row_7	GPR85	G protein-coupled receptor 85 [Source:HGNC Symbol;Acc:HGNC:4536]	2111	0.555770993232727	0.2933639	No	
row_8	DDHD2	DDHD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29106]	3576	0.17442399263381958	0.19378193	No	
row_9	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:HGNC:11109]	4436	-0.04334200173616409	0.13281333	No	
row_10	FAXC	failed axon connections homolog, metaxin like GST domain containing [Source:HGNC Symbol;Acc:HGNC:20742]	4746	-0.12200599908828735	0.11546106	No	
row_11	FUBP1	far upstream element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4004]	4747	-0.12239699810743332	0.120728195	No	
row_12	GFRA3	GDNF family receptor alpha 3 [Source:HGNC Symbol;Acc:HGNC:4245]	5494	-0.2901419997215271	0.078645885	No	
row_13	ST8SIA2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10870]	6093	-0.4141939878463745	0.052727763	No	
row_14	TADA2A	transcriptional adaptor 2A [Source:HGNC Symbol;Acc:HGNC:11531]	6658	-0.5246620178222656	0.034050453	No	
row_15	BTBD3	BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15854]	6666	-0.5260609984397888	0.056176525	No	
row_16	SCN3B	sodium voltage-gated channel beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:20665]	6921	-0.578199028968811	0.062478825	No	
row_17	HOXC6	homeobox C6 [Source:HGNC Symbol;Acc:HGNC:5128]	7949	-0.7657909989356995	0.020310767	No	
row_18	PGM2L1	phosphoglucomutase 2 like 1 [Source:HGNC Symbol;Acc:HGNC:20898]	8382	-0.8555489778518677	0.025528071	No	
row_19	THAP2	THAP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20854]	9667	-1.0899759531021118	-0.021488177	No	
row_20	TMOD2	tropomodulin 2 [Source:HGNC Symbol;Acc:HGNC:11872]	10704	-1.2967259883880615	-0.041466713	No	
row_21	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	10884	-1.3331329822540283	0.0028089	No	
row_22	CENPBD1	CENPB DNA-binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28272]	11670	-1.4935330152511597	0.009659638	No	
row_23	H2AZ2	H2A.Z variant histone 2 [Source:HGNC Symbol;Acc:HGNC:20664]	12017	-1.5679750442504883	0.051825624	No	
row_24	HRK	harakiri, BCL2 interacting protein [Source:HGNC Symbol;Acc:HGNC:5185]	12398	-1.6462340354919434	0.09487233	No	
