NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PHTF1	putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]	7	3.6523849964141846	0.0033112841	No	
row_1	APLP2	amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]	41	2.96228289604187	0.0038568184	No	
row_2	AMFR	autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]	42	2.9615590572357178	0.006986377	No	
row_3	SLC9A6	solute carrier family 9 member A6 [Source:HGNC Symbol;Acc:HGNC:11079]	62	2.809109926223755	0.0084666265	No	
row_4	CASD1	CAS1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16014]	66	2.7794189453125	0.011168731	No	
row_5	GGCX	gamma-glutamyl carboxylase [Source:HGNC Symbol;Acc:HGNC:4247]	79	2.6183269023895264	0.012995664	No	
row_6	CDH10	cadherin 10 [Source:HGNC Symbol;Acc:HGNC:1749]	88	2.5801219940185547	0.015095532	No	
row_7	SLCO1C1	solute carrier organic anion transporter family member 1C1 [Source:HGNC Symbol;Acc:HGNC:13819]	116	2.448554039001465	0.015568157	No	
row_8	CDH8	cadherin 8 [Source:HGNC Symbol;Acc:HGNC:1767]	131	2.3902409076690674	0.016997412	No	
row_9	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	139	2.371638059616089	0.018955296	No	
row_10	SLC6A1	solute carrier family 6 member 1 [Source:HGNC Symbol;Acc:HGNC:11042]	151	2.3464760780334473	0.020573283	No	
row_11	TRPC1	transient receptor potential cation channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:12333]	154	2.337409019470215	0.022886632	No	
row_12	SV2A	synaptic vesicle glycoprotein 2A [Source:HGNC Symbol;Acc:HGNC:20566]	195	2.176060914993286	0.022053055	No	
row_13	KCNN2	potassium calcium-activated channel subfamily N member 2 [Source:HGNC Symbol;Acc:HGNC:6291]	201	2.1549110412597656	0.023938572	No	
row_14	TLK1	tousled like kinase 1 [Source:HGNC Symbol;Acc:HGNC:11841]	204	2.144922971725464	0.026048517	No	
