NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC6A5	solute carrier family 6 member 5 [Source:HGNC Symbol;Acc:HGNC:11051]	9	3.5899579524993896	0.010499761	Yes	
row_1	POMT2	protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]	43	2.959157943725586	0.017235067	Yes	
row_2	POMT1	protein O-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:9202]	45	2.920680046081543	0.026251737	Yes	
row_3	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	73	2.693211078643799	0.032609396	Yes	
row_4	CHRNA4	cholinergic receptor nicotinic alpha 4 subunit [Source:HGNC Symbol;Acc:HGNC:1958]	77	2.635922908782959	0.040589582	Yes	
row_5	FLVCR1	FLVCR heme transporter 1 [Source:HGNC Symbol;Acc:HGNC:24682]	122	2.4327709674835205	0.04486092	Yes	
row_6	SLC6A3	solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049]	167	2.2974131107330322	0.04871091	Yes	
row_7	LMBRD1	LMBR1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23038]	206	2.1332008838653564	0.052499935	Yes	
row_8	TLK2	tousled like kinase 2 [Source:HGNC Symbol;Acc:HGNC:11842]	233	2.062113046646118	0.056968104	Yes	
row_9	ABCB7	ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]	262	1.9865959882736206	0.061051127	Yes	
row_10	SLC7A7	solute carrier family 7 member 7 [Source:HGNC Symbol;Acc:HGNC:11065]	316	1.8835660219192505	0.06293754	Yes	
row_11	MCOLN1	mucolipin 1 [Source:HGNC Symbol;Acc:HGNC:13356]	334	1.8374119997024536	0.06738156	Yes	
row_12	SCNN1G	sodium channel epithelial 1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:10602]	352	1.8127800226211548	0.07174891	Yes	
row_13	SLC33A1	solute carrier family 33 member 1 [Source:HGNC Symbol;Acc:HGNC:95]	353	1.8116960525512695	0.07738849	Yes	
row_14	TSHR	thyroid stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:12373]	356	1.8019839525222778	0.08284777	Yes	
row_15	SCNN1B	sodium channel epithelial 1 subunit beta [Source:HGNC Symbol;Acc:HGNC:10600]	360	1.7897779941558838	0.088194005	Yes	
row_16	JPH1	junctophilin 1 [Source:HGNC Symbol;Acc:HGNC:14201]	366	1.7828830480575562	0.09336872	Yes	
row_17	SCNN1A	sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]	373	1.767482042312622	0.09842045	Yes	
row_18	RFT1	RFT1 homolog [Source:HGNC Symbol;Acc:HGNC:30220]	403	1.7043850421905518	0.10154995	Yes	
row_19	ABCD3	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	411	1.6941490173339844	0.10629837	Yes	
row_20	BRF1	BRF1 RNA polymerase III transcription initiation factor subunit [Source:HGNC Symbol;Acc:HGNC:11551]	448	1.6490850448608398	0.10873048	Yes	
row_21	SLC34A3	solute carrier family 34 member 3 [Source:HGNC Symbol;Acc:HGNC:20305]	474	1.6050130128860474	0.11185079	Yes	
row_22	SLC19A3	solute carrier family 19 member 3 [Source:HGNC Symbol;Acc:HGNC:16266]	478	1.598479986190796	0.11660155	Yes	
row_23	ADD3	adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]	514	1.5684759616851807	0.11885777	Yes	
row_24	SLC18A2	solute carrier family 18 member A2 [Source:HGNC Symbol;Acc:HGNC:10935]	515	1.5655970573425293	0.12373127	Yes	
row_25	SLC39A4	solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129]	565	1.504796028137207	0.12473877	Yes	
row_26	NTRK1	neurotrophic receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:8031]	596	1.4710220098495483	0.1270668	Yes	
row_27	MFSD8	major facilitator superfamily domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28486]	602	1.4592870473861694	0.1312342	Yes	
row_28	TCTN2	tectonic family member 2 [Source:HGNC Symbol;Acc:HGNC:25774]	620	1.4400659799575806	0.13444133	Yes	
row_29	MEFV	MEFV innate immuity regulator, pyrin [Source:HGNC Symbol;Acc:HGNC:6998]	627	1.432284951210022	0.13844964	Yes	
row_30	GPAA1	glycosylphosphatidylinositol anchor attachment 1 [Source:HGNC Symbol;Acc:HGNC:4446]	667	1.384300947189331	0.1398324	Yes	
row_31	GABRB3	gamma-aminobutyric acid type A receptor subunit beta3 [Source:HGNC Symbol;Acc:HGNC:4083]	671	1.378980040550232	0.14389989	Yes	
row_32	GJC2	gap junction protein gamma 2 [Source:HGNC Symbol;Acc:HGNC:17494]	700	1.3500560522079468	0.14600144	Yes	
row_33	DEAF1	DEAF1 transcription factor [Source:HGNC Symbol;Acc:HGNC:14677]	813	1.254101037979126	0.14150131	Yes	
row_34	GLRB	glycine receptor beta [Source:HGNC Symbol;Acc:HGNC:4329]	835	1.2334680557250977	0.14376518	Yes	
row_35	SLC52A3	solute carrier family 52 member 3 [Source:HGNC Symbol;Acc:HGNC:16187]	844	1.2270790338516235	0.14698464	Yes	
row_36	NEFL	neurofilament light [Source:HGNC Symbol;Acc:HGNC:7739]	853	1.221987009048462	0.15018824	Yes	
row_37	GABRB1	gamma-aminobutyric acid type A receptor subunit beta1 [Source:HGNC Symbol;Acc:HGNC:4081]	867	1.2099449634552002	0.15297918	Yes	
row_38	AFG3L2	AFG3 like matrix AAA peptidase subunit 2 [Source:HGNC Symbol;Acc:HGNC:315]	868	1.2094509601593018	0.15674405	Yes	
row_39	MFN2	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	889	1.1901609897613525	0.15894815	Yes	
row_40	UVSSA	UV stimulated scaffold protein A [Source:HGNC Symbol;Acc:HGNC:29304]	900	1.1800700426101685	0.16187121	Yes	
row_41	GLRA1	glycine receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4326]	912	1.1718510389328003	0.16469364	Yes	
row_42	LMNB2	lamin B2 [Source:HGNC Symbol;Acc:HGNC:6638]	928	1.1629530191421509	0.16718823	Yes	
row_43	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]	936	1.1585949659347534	0.17026953	Yes	
row_44	KCNA2	potassium voltage-gated channel subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:6220]	984	1.1230030059814453	0.17023863	Yes	
row_45	FZD4	frizzled class receptor 4 [Source:HGNC Symbol;Acc:HGNC:4042]	1012	1.1048829555511475	0.17165203	Yes	
row_46	CYBB	cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]	1020	1.0961439609527588	0.17453894	Yes	
row_47	ATAD3A	ATPase family AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]	1085	1.0509660243988037	0.17300817	Yes	
row_48	SLC46A1	solute carrier family 46 member 1 [Source:HGNC Symbol;Acc:HGNC:30521]	1109	1.0322200059890747	0.17449553	Yes	
row_49	KCNA1	potassium voltage-gated channel subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:6218]	1159	1.0015820264816284	0.17393658	Yes	
row_50	MLC1	modulator of VRAC current 1 [Source:HGNC Symbol;Acc:HGNC:17082]	1175	0.9883000254631042	0.1758875	Yes	
row_51	SLC35A2	solute carrier family 35 member A2 [Source:HGNC Symbol;Acc:HGNC:11022]	1230	0.9519060254096985	0.17479873	Yes	
row_52	SLC25A12	solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]	1232	0.9495090246200562	0.1776794	Yes	
row_53	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]	1248	0.9420340061187744	0.17948629	Yes	
row_54	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	1264	0.9332829713821411	0.18126595	Yes	
row_55	GJA1	gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]	1283	0.9222880005836487	0.18278627	Yes	
row_56	FGD4	FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]	1305	0.9112899899482727	0.18404725	Yes	
row_57	GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2 [Source:HGNC Symbol;Acc:HGNC:4087]	1351	0.8786810040473938	0.18340588	Yes	
row_58	UMOD	uromodulin [Source:HGNC Symbol;Acc:HGNC:12559]	1352	0.8778370022773743	0.18613847	Yes	
row_59	CTNS	cystinosin, lysosomal cystine transporter [Source:HGNC Symbol;Acc:HGNC:2518]	1502	0.8053269982337952	0.17746504	No	
row_60	KRT81	keratin 81 [Source:HGNC Symbol;Acc:HGNC:6458]	1505	0.8035309910774231	0.17981626	No	
row_61	HNF1A	HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	1552	0.7824599742889404	0.17880031	No	
row_62	AIRE	autoimmune regulator [Source:HGNC Symbol;Acc:HGNC:360]	1576	0.7657600045204163	0.17945822	No	
row_63	CHRND	cholinergic receptor nicotinic delta subunit [Source:HGNC Symbol;Acc:HGNC:1965]	1604	0.7542250156402588	0.17978005	No	
row_64	CHRNA1	cholinergic receptor nicotinic alpha 1 subunit [Source:HGNC Symbol;Acc:HGNC:1955]	1622	0.742950975894928	0.18081716	No	
row_65	SRD5A3	steroid 5 alpha-reductase 3 [Source:HGNC Symbol;Acc:HGNC:25812]	1663	0.7236400246620178	0.18006833	No	
row_66	CHRNE	cholinergic receptor nicotinic epsilon subunit [Source:HGNC Symbol;Acc:HGNC:1966]	1697	0.709617018699646	0.1798011	No	
row_67	KRT86	keratin 86 [Source:HGNC Symbol;Acc:HGNC:6463]	1841	0.6522380113601685	0.17110135	No	
row_68	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	1859	0.647392988204956	0.171841	No	
row_69	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	1870	0.6439070105552673	0.17309503	No	
row_70	FRMD7	FERM domain containing 7 [Source:HGNC Symbol;Acc:HGNC:8079]	1876	0.6421160101890564	0.17471868	No	
row_71	KRT83	keratin 83 [Source:HGNC Symbol;Acc:HGNC:6460]	1888	0.6392109990119934	0.17588307	No	
row_72	PIGT	phosphatidylinositol glycan anchor biosynthesis class T [Source:HGNC Symbol;Acc:HGNC:14938]	2054	0.5728530287742615	0.16528541	No	
row_73	PNPLA8	patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]	2098	0.5597079992294312	0.16380118	No	
row_74	S1PR2	sphingosine-1-phosphate receptor 2 [Source:HGNC Symbol;Acc:HGNC:3169]	2147	0.5448439717292786	0.1618955	No	
row_75	EXT1	exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]	2180	0.5326089859008789	0.1611523	No	
row_76	SLC35A1	solute carrier family 35 member A1 [Source:HGNC Symbol;Acc:HGNC:11021]	2198	0.5249320268630981	0.16151074	No	
row_77	EXT2	exostosin glycosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:3513]	2202	0.5232729911804199	0.16291451	No	
row_78	TBR1	T-box brain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11590]	2232	0.5152879953384399	0.1623425	No	
row_79	EBF3	EBF transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:19087]	2257	0.5092229843139648	0.1621268	No	
row_80	YME1L1	YME1 like 1 ATPase [Source:HGNC Symbol;Acc:HGNC:12843]	2308	0.49332401156425476	0.15991068	No	
row_81	GPHN	gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]	2336	0.4856509864330292	0.15939648	No	
row_82	SLC10A2	solute carrier family 10 member 2 [Source:HGNC Symbol;Acc:HGNC:10906]	2387	0.47037601470947266	0.15710892	No	
row_83	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:4125]	2393	0.46835801005363464	0.15819168	No	
row_84	KATNB1	katanin regulatory subunit B1 [Source:HGNC Symbol;Acc:HGNC:6217]	2516	0.4330640137195587	0.15038541	No	
row_85	COX15	cytochrome c oxidase assembly homolog COX15 [Source:HGNC Symbol;Acc:HGNC:2263]	2564	0.4204080104827881	0.1481674	No	
row_86	PDE10A	phosphodiesterase 10A [Source:HGNC Symbol;Acc:HGNC:8772]	2592	0.41106900572776794	0.14742105	No	
row_87	DLAT	dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2896]	2638	0.3973889946937561	0.14528146	No	
row_88	NPHS2	NPHS2 stomatin family member, podocin [Source:HGNC Symbol;Acc:HGNC:13394]	2650	0.39592498540878296	0.14568853	No	
row_89	MFF	mitochondrial fission factor [Source:HGNC Symbol;Acc:HGNC:24858]	2663	0.3932519853115082	0.14601225	No	
row_90	FERMT3	fermitin family member 3 [Source:HGNC Symbol;Acc:HGNC:23151]	2674	0.3907549977302551	0.14647827	No	
row_91	ALG11	ALG11 alpha-1,2-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:32456]	2758	0.3704499900341034	0.14140347	No	
row_92	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	2879	0.34546899795532227	0.1334746	No	
row_93	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit X [Source:HGNC Symbol;Acc:HGNC:2088]	2955	0.3279469907283783	0.12886778	No	
row_94	EIF2B5	eukaryotic translation initiation factor 2B subunit epsilon [Source:HGNC Symbol;Acc:HGNC:3261]	3137	0.2813799977302551	0.11616223	No	
row_95	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:1404]	3163	0.2775479853153229	0.11515031	No	
row_96	SPART	spartin [Source:HGNC Symbol;Acc:HGNC:18514]	3168	0.27683699131011963	0.11571193	No	
row_97	CFI	complement factor I [Source:HGNC Symbol;Acc:HGNC:5394]	3184	0.27441200613975525	0.1154406	No	
row_98	TMPRSS3	transmembrane serine protease 3 [Source:HGNC Symbol;Acc:HGNC:11877]	3260	0.2545509934425354	0.110605314	No	
row_99	AIFM1	apoptosis inducing factor mitochondria associated 1 [Source:HGNC Symbol;Acc:HGNC:8768]	3304	0.24266700446605682	0.10813417	No	
row_100	P4HTM	prolyl 4-hydroxylase, transmembrane [Source:HGNC Symbol;Acc:HGNC:28858]	3351	0.23382699489593506	0.105410405	No	
row_101	GFAP	glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]	3411	0.21662600338459015	0.10165763	No	
row_102	PINK1	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]	3422	0.21307599544525146	0.101570554	No	
row_103	PGAP3	post-GPI attachment to proteins phospholipase 3 [Source:HGNC Symbol;Acc:HGNC:23719]	3447	0.2068910002708435	0.100413725	No	
row_104	CAVIN1	caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]	3466	0.20443899929523468	0.099699475	No	
row_105	DYNC1I2	dynein cytoplasmic 1 intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2964]	3561	0.17784500122070312	0.09319974	No	
row_106	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	3599	0.1696310043334961	0.09095146	No	
row_107	PAK1	p21 (RAC1) activated kinase 1 [Source:HGNC Symbol;Acc:HGNC:8590]	3607	0.16785599291324615	0.090948716	No	
row_108	SYT1	synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509]	3626	0.16285200417041779	0.09010501	No	
row_109	DDX3X	DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745]	3669	0.1510699987411499	0.08742378	No	
row_110	MIPEP	mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:HGNC:7104]	3680	0.1489810049533844	0.087137185	No	
