NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SATB1	SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]	567	1.4998730421066284	-0.029030098	No	
row_1	RAP1GAP2	RAP1 GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:29176]	726	1.323544979095459	-0.029436199	No	
row_2	PKP3	plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]	1105	1.0346299409866333	-0.048495065	No	
row_3	VPS52	VPS52 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:10518]	1122	1.0233570337295532	-0.040990766	No	
row_4	PRICKLE3	prickle planar cell polarity protein 3 [Source:HGNC Symbol;Acc:HGNC:6645]	1233	0.949068009853363	-0.041039217	No	
row_5	TRAF3IP3	TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:30766]	1373	0.8625929951667786	-0.04395701	No	
row_6	MZF1	myeloid zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13108]	1406	0.848173975944519	-0.039117325	No	
row_7	ZNF384	zinc finger protein 384 [Source:HGNC Symbol;Acc:HGNC:11955]	1481	0.8175539970397949	-0.037630443	No	
row_8	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3435]	1613	0.7487559914588928	-0.040924933	No	
row_9	CCR7	C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]	1782	0.6796240210533142	-0.047530763	No	
row_10	NONO	non-POU domain containing octamer binding [Source:HGNC Symbol;Acc:HGNC:7871]	2002	0.5960069894790649	-0.058601834	No	
row_11	TRIM32	tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380]	2135	0.5491560101509094	-0.06366345	No	
row_12	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	2203	0.5231279730796814	-0.06415911	No	
row_13	PABPC4	poly(A) binding protein cytoplasmic 4 [Source:HGNC Symbol;Acc:HGNC:8557]	2210	0.520550012588501	-0.0601844	No	
row_14	LPAR2	lysophosphatidic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:3168]	2427	0.46076899766921997	-0.072181955	No	
row_15	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:3093]	2784	0.36586299538612366	-0.09529477	No	
row_16	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	2879	0.34546899795532227	-0.099286124	No	
row_17	TRAF5	TNF receptor associated factor 5 [Source:HGNC Symbol;Acc:HGNC:12035]	2916	0.33678001165390015	-0.09907989	No	
row_18	DGKA	diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]	3219	0.2649860084056854	-0.11907186	No	
row_19	GPR183	G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]	3263	0.2539669871330261	-0.12008376	No	
row_20	ZNF354A	zinc finger protein 354A [Source:HGNC Symbol;Acc:HGNC:11628]	3539	0.18504899740219116	-0.13876559	No	
row_21	AP1G2	adaptor related protein complex 1 subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:556]	3777	0.12346900254487991	-0.15517144	No	
row_22	RNF44	ring finger protein 44 [Source:HGNC Symbol;Acc:HGNC:19180]	3810	0.11648300290107727	-0.15653972	No	
row_23	RPL4	ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353]	3829	0.11064399778842926	-0.15692656	No	
row_24	DDX5	DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]	4037	0.05549599975347519	-0.17169984	No	
row_25	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	4206	0.01474700029939413	-0.18394676	No	
row_26	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	4209	0.014454999938607216	-0.1839714	No	
row_27	ZNF211	zinc finger protein 211 [Source:HGNC Symbol;Acc:HGNC:13003]	4360	-0.02616100013256073	-0.1947959	No	
row_28	SARAF	store-operated calcium entry associated regulatory factor [Source:HGNC Symbol;Acc:HGNC:28789]	4515	-0.07042299956083298	-0.20553945	No	
row_29	MICA	MHC class I polypeptide-related sequence A [Source:HGNC Symbol;Acc:HGNC:7090]	4614	-0.09236499667167664	-0.21197282	No	
row_30	HLCS	holocarboxylase synthetase [Source:HGNC Symbol;Acc:HGNC:4976]	4749	-0.1231589987874031	-0.22079606	No	
row_31	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	4824	-0.13999399542808533	-0.22505789	No	
row_32	EIF3F	eukaryotic translation initiation factor 3 subunit F [Source:HGNC Symbol;Acc:HGNC:3275]	5036	-0.18826299905776978	-0.23899928	No	
row_33	FAM102A	family with sequence similarity 102 member A [Source:HGNC Symbol;Acc:HGNC:31419]	5422	-0.2733060121536255	-0.26503304	No	
row_34	KLRK1	killer cell lectin like receptor K1 [Source:HGNC Symbol;Acc:HGNC:18788]	5660	-0.328359991312027	-0.27970052	No	
row_35	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 [Source:HGNC Symbol;Acc:HGNC:5041]	5767	-0.34909600019454956	-0.2845448	No	
row_36	IMPDH2	inosine monophosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6053]	6002	-0.39785099029541016	-0.29840177	No	
row_37	SLC25A6	solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]	6018	-0.4001910090446472	-0.29611102	No	
row_38	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	6311	-0.4600839912891388	-0.31371126	No	
row_39	B4GAT1	beta-1,4-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15685]	6351	-0.4683459997177124	-0.3126097	No	
row_40	CSNK1E	casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453]	7036	-0.5993890166282654	-0.35789615	No	
row_41	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	7127	-0.6181640028953552	-0.35927925	No	
row_42	OTUD3	OTU deubiquitinase 3 [Source:HGNC Symbol;Acc:HGNC:29038]	7181	-0.6254249811172485	-0.35787597	No	
row_43	COX11	cytochrome c oxidase copper chaperone COX11 [Source:HGNC Symbol;Acc:HGNC:2261]	7193	-0.6267079710960388	-0.3533688	No	
row_44	TMED10	transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]	7194	-0.6267319917678833	-0.34805134	No	
row_45	RUNX3	RUNX family transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]	7204	-0.627439022064209	-0.34339067	No	
row_46	EIF3D	eukaryotic translation initiation factor 3 subunit D [Source:HGNC Symbol;Acc:HGNC:3278]	7237	-0.6323699951171875	-0.34038195	No	
row_47	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	7491	-0.6818270087242126	-0.35322875	No	
row_48	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	7758	-0.7327200174331665	-0.36660114	No	
row_49	EEF1G	eukaryotic translation elongation factor 1 gamma [Source:HGNC Symbol;Acc:HGNC:3213]	7804	-0.7397909760475159	-0.36363837	No	
row_50	EIF3H	eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]	7817	-0.7422099709510803	-0.35822487	No	
row_51	RPL6	ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]	7821	-0.7434179782867432	-0.3521383	No	
row_52	RPLP0	ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]	7844	-0.7481250166893005	-0.34741107	No	
row_53	RNF126	ring finger protein 126 [Source:HGNC Symbol;Acc:HGNC:21151]	8126	-0.8040680289268494	-0.36128274	No	
