NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABLIM3	actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]	218	2.0931930541992188	-0.0031393957	No	
row_1	IQCE	IQ motif containing E [Source:HGNC Symbol;Acc:HGNC:29171]	477	1.5984989404678345	-0.012296146	No	
row_2	SLC22A4	solute carrier family 22 member 4 [Source:HGNC Symbol;Acc:HGNC:10968]	487	1.5932719707489014	-0.003095307	No	
row_3	ZMPSTE24	zinc metallopeptidase STE24 [Source:HGNC Symbol;Acc:HGNC:12877]	507	1.5766589641571045	0.0052641123	No	
row_4	CDS2	CDP-diacylglycerol synthase 2 [Source:HGNC Symbol;Acc:HGNC:1801]	558	1.5122380256652832	0.010935125	No	
row_5	SLC36A1	solute carrier family 36 member 1 [Source:HGNC Symbol;Acc:HGNC:18761]	595	1.4715150594711304	0.017387955	No	
row_6	XK	X-linked Kx blood group [Source:HGNC Symbol;Acc:HGNC:12811]	656	1.3957090377807617	0.021598866	No	
row_7	ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	762	1.294708013534546	0.021860896	No	
row_8	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	1014	1.1013489961624146	0.010142781	No	
row_9	RGL1	ral guanine nucleotide dissociation stimulator like 1 [Source:HGNC Symbol;Acc:HGNC:30281]	1179	0.9836379885673523	0.0041212053	No	
row_10	LMNB1	lamin B1 [Source:HGNC Symbol;Acc:HGNC:6637]	1311	0.9064890146255493	5.9147198E-5	No	
row_11	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	1339	0.8879330158233643	0.003563135	No	
row_12	SQLE	squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]	1834	0.6572369933128357	-0.028851744	No	
row_13	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	1854	0.6487630009651184	-0.026237855	No	
row_14	ZNF267	zinc finger protein 267 [Source:HGNC Symbol;Acc:HGNC:13060]	1892	0.6384490132331848	-0.025017224	No	
row_15	CCR2	C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603]	2013	0.5903469920158386	-0.030224426	No	
row_16	P2RX4	purinergic receptor P2X 4 [Source:HGNC Symbol;Acc:HGNC:8535]	2399	0.4675289988517761	-0.055763755	No	
