NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	258	1.9880750179290771	-0.0065780617	No	
row_1	MT-CO1	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	288	1.9450910091400146	0.003473577	No	
row_2	CREB3L1	cAMP responsive element binding protein 3 like 1 [Source:HGNC Symbol;Acc:HGNC:18856]	834	1.2343260049819946	-0.029008184	No	
row_3	MT-CYB	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]	909	1.173138976097107	-0.027115878	No	
row_4	RCOR1	REST corepressor 1 [Source:HGNC Symbol;Acc:HGNC:17441]	1716	0.7033640146255493	-0.082186244	No	
row_5	DNAI1	dynein axonemal intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2954]	2400	0.4673349857330322	-0.1296592	No	
row_6	SP1	Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]	2648	0.3963020145893097	-0.14540266	No	
row_7	CREB3L4	cAMP responsive element binding protein 3 like 4 [Source:HGNC Symbol;Acc:HGNC:18854]	2883	0.3446910083293915	-0.16051024	No	
row_8	CREB3	cAMP responsive element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2347]	2934	0.33348000049591064	-0.16210978	No	
row_9	CREB1	cAMP responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2345]	3493	0.19607800245285034	-0.20205855	No	
row_10	MT-CO3	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	4089	0.04091599956154823	-0.2457103	No	
row_11	ATP5F1B	ATP synthase F1 subunit beta [Source:HGNC Symbol;Acc:HGNC:830]	4532	-0.07465600222349167	-0.27785987	No	
row_12	DCTN4	dynactin subunit 4 [Source:HGNC Symbol;Acc:HGNC:15518]	4537	-0.07508400082588196	-0.27768442	No	
row_13	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	4594	-0.08869100362062454	-0.28126106	No	
row_14	IFT57	intraflagellar transport 57 [Source:HGNC Symbol;Acc:HGNC:17367]	4604	-0.09061700105667114	-0.28135723	No	
row_15	DCTN2	dynactin subunit 2 [Source:HGNC Symbol;Acc:HGNC:2712]	4611	-0.09221000224351883	-0.28122205	No	
row_16	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	4618	-0.09280700236558914	-0.2810831	No	
row_17	TBPL2	TATA-box binding protein like 2 [Source:HGNC Symbol;Acc:HGNC:19841]	4759	-0.12499000132083893	-0.29063103	No	
row_18	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	4863	-0.1487939953804016	-0.2972993	No	
row_19	ATP5F1C	ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833]	4937	-0.1662990003824234	-0.301644	No	
row_20	DNAI2	dynein axonemal intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:18744]	4966	-0.17116299271583557	-0.30263743	No	
row_21	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	4969	-0.17270900309085846	-0.3017025	No	
row_22	ATP5PB	ATP synthase peripheral stalk-membrane subunit b [Source:HGNC Symbol;Acc:HGNC:840]	5246	-0.23996900022029877	-0.32056588	No	
row_23	NRF1	nuclear respiratory factor 1 [Source:HGNC Symbol;Acc:HGNC:7996]	5304	-0.25072601437568665	-0.32320067	No	
row_24	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	5417	-0.2730090022087097	-0.32975456	No	
row_25	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	5476	-0.28617000579833984	-0.332241	No	
row_26	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	5498	-0.2909870147705078	-0.33196682	No	
row_27	SLC25A31	solute carrier family 25 member 31 [Source:HGNC Symbol;Acc:HGNC:25319]	5513	-0.2951729893684387	-0.33114982	No	
row_28	ATP5F1A	ATP synthase F1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:823]	5542	-0.300464004278183	-0.3313328	No	
row_29	UCP1	uncoupling protein 1 [Source:HGNC Symbol;Acc:HGNC:12517]	5788	-0.3518249988555908	-0.34720743	No	
row_30	SLC25A5	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]	5877	-0.37167298793792725	-0.3513718	No	
row_31	SLC25A6	solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]	6018	-0.4001910090446472	-0.35919476	No	
row_32	MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	6032	-0.4026859998703003	-0.35763007	No	
