NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ZHAN_MULTIPLE_MYELOMA_MS_UP	ZHAN_MULTIPLE_MYELOMA_MS_UP	Details ...	25	0.5018435	2.0394776	0.0	0.04399853	0.018	1501	tags=32%, list=11%, signal=36%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	Details ...	28	0.47366956	1.973094	0.005376344	0.03404974	0.03	3163	tags=57%, list=23%, signal=74%	
WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	Details ...	31	0.4449216	1.8769587	0.005952381	0.052591313	0.073	1012	tags=32%, list=7%, signal=35%	
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	Details ...	116	0.27949455	1.567699	0.0	0.2780605	0.43	1266	tags=23%, list=9%, signal=25%	
GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_UP	GSE32901_NAIVE_VS_TH17_ENRICHED_CD4_TCELL_UP	Details ...	111	0.2650149	1.4773048	0.03125	0.39074662	0.623	1077	tags=15%, list=8%, signal=16%	
HP_ABNORMAL_INTESTINE_MORPHOLOGY	HP_ABNORMAL_INTESTINE_MORPHOLOGY	Details ...	382	0.20557173	1.3852558	0.0	0.5739493	0.804	1229	tags=15%, list=9%, signal=16%	
VILLANUEVA_LIVER_CANCER_KRT19_UP	VILLANUEVA_LIVER_CANCER_KRT19_UP	Details ...	92	0.2518116	1.3793544	0.028985508	0.5069048	0.811	1771	tags=24%, list=13%, signal=27%	
GSE32901_NAIVE_VS_TH17_NEG_CD4_TCELL_DN	GSE32901_NAIVE_VS_TH17_NEG_CD4_TCELL_DN	Details ...	78	0.25786203	1.3364469	0.04587156	0.5771179	0.879	1331	tags=19%, list=10%, signal=21%	
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	Details ...	218	0.21747063	1.3037847	0.0	0.6143906	0.927	1788	tags=22%, list=13%, signal=25%	
GSE32901_NAIVE_VS_TH1_CD4_TCELL_UP	GSE32901_NAIVE_VS_TH1_CD4_TCELL_UP	Details ...	83	0.24655071	1.2947788	0.029411765	0.5844484	0.937	1160	tags=18%, list=8%, signal=20%	
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	Details ...	25	0.30911818	1.2761565	0.15	0.5928866	0.951	662	tags=20%, list=5%, signal=21%	
GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_UP	GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_UP	Details ...	106	0.22361837	1.2549118	0.083333336	0.6186668	0.965	1116	tags=15%, list=8%, signal=16%	
HP_PEDIATRIC_ONSET	HP_PEDIATRIC_ONSET	Details ...	369	0.18613847	1.2265881	0.0	0.6728226	0.984	1352	tags=16%, list=10%, signal=17%	
HP_FASCICULATIONS	HP_FASCICULATIONS	Details ...	43	0.25072747	1.2125392	0.10489511	0.6744141	0.986	1135	tags=19%, list=8%, signal=20%	
HP_INFANTILE_ONSET	HP_INFANTILE_ONSET	Details ...	291	0.18371205	1.1997472	0.0	0.67566437	0.99	1351	tags=16%, list=10%, signal=18%	
HP_SPORADIC	HP_SPORADIC	Details ...	59	0.23365648	1.1694189	0.14166667	0.7550128	0.997	1693	tags=25%, list=12%, signal=29%	
CAMPS_COLON_CANCER_COPY_NUMBER_DN	CAMPS_COLON_CANCER_COPY_NUMBER_DN	Details ...	52	0.25062996	1.1672063	0.2248062	0.7174229	0.997	1215	tags=19%, list=9%, signal=21%	
SU_PANCREAS	SU_PANCREAS	Details ...	30	0.27489612	1.1657282	0.21965317	0.68372977	0.997	369	tags=17%, list=3%, signal=17%	
MCLACHLAN_DENTAL_CARIES_DN	MCLACHLAN_DENTAL_CARIES_DN	Details ...	40	0.24442065	1.1454284	0.18309858	0.7245226	0.999	1731	tags=25%, list=13%, signal=29%	
