NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC5A2	solute carrier family 5 member 2 [Source:HGNC Symbol;Acc:HGNC:11037]	71	2.703989028930664	0.052634913	Yes	
row_1	SLCO4C1	solute carrier organic anion transporter family member 4C1 [Source:HGNC Symbol;Acc:HGNC:23612]	85	2.5895020961761475	0.10706864	Yes	
row_2	PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	166	2.297837018966675	0.15035744	Yes	
row_3	SLC5A10	solute carrier family 5 member 10 [Source:HGNC Symbol;Acc:HGNC:23155]	200	2.163045883178711	0.19420521	Yes	
row_4	SLC34A1	solute carrier family 34 member 1 [Source:HGNC Symbol;Acc:HGNC:11019]	212	2.1172990798950195	0.23868565	Yes	
row_5	SLC47A2	solute carrier family 47 member 2 [Source:HGNC Symbol;Acc:HGNC:26439]	245	2.0382819175720215	0.27993813	Yes	
row_6	TRPV5	transient receptor potential cation channel subfamily V member 5 [Source:HGNC Symbol;Acc:HGNC:3145]	269	1.971832036972046	0.32042846	Yes	
row_7	SLC6A18	solute carrier family 6 member 18 [Source:HGNC Symbol;Acc:HGNC:26441]	275	1.960811972618103	0.36200127	Yes	
row_8	SLC13A1	solute carrier family 13 member 1 [Source:HGNC Symbol;Acc:HGNC:10916]	346	1.818748950958252	0.39577538	Yes	
row_9	SLC13A3	solute carrier family 13 member 3 [Source:HGNC Symbol;Acc:HGNC:14430]	359	1.7905750274658203	0.43319443	Yes	
row_10	SLC22A2	solute carrier family 22 member 2 [Source:HGNC Symbol;Acc:HGNC:10966]	604	1.457980990409851	0.44650966	Yes	
row_11	KLHDC7A	kelch domain containing 7A [Source:HGNC Symbol;Acc:HGNC:26791]	625	1.43367600440979	0.4757093	Yes	
row_12	SLC22A13	solute carrier family 22 member 13 [Source:HGNC Symbol;Acc:HGNC:8494]	655	1.3958569765090942	0.5034409	Yes	
row_13	SLC22A12	solute carrier family 22 member 12 [Source:HGNC Symbol;Acc:HGNC:17989]	666	1.3880219459533691	0.5323964	Yes	
row_14	SLC7A13	solute carrier family 7 member 13 [Source:HGNC Symbol;Acc:HGNC:23092]	721	1.3307390213012695	0.5569044	Yes	
row_15	SLC22A6	solute carrier family 22 member 6 [Source:HGNC Symbol;Acc:HGNC:10970]	874	1.2040469646453857	0.5715258	Yes	
row_16	SLC22A24	solute carrier family 22 member 24 [Source:HGNC Symbol;Acc:HGNC:28542]	944	1.1511050462722778	0.5910932	Yes	
row_17	NOX4	NADPH oxidase 4 [Source:HGNC Symbol;Acc:HGNC:7891]	1018	1.0972110033035278	0.60921496	Yes	
