NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_UP	GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_UP	Details ...	140	-0.14111967	---	---	1.0	0.0	1409	tags=19%, list=10%, signal=20%	
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	Details ...	87	-0.23503086	---	---	1.0	0.0	2524	tags=37%, list=18%, signal=45%	
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN	WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN	Details ...	65	-0.17791465	---	---	1.0	0.0	2983	tags=40%, list=22%, signal=51%	
REACTOME_SIGNALING_BY_KIT_IN_DISEASE	REACTOME_SIGNALING_BY_KIT_IN_DISEASE	Details ...	16	-0.7454752	-2.4642804	0.0	0.0	0.0	3012	tags=94%, list=22%, signal=120%	
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN	ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN	Details ...	48	-0.43139207	-2.322083	0.0	0.0	0.0	5209	tags=67%, list=38%, signal=107%	
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	Details ...	54	-0.39998582	-2.1085885	0.0	0.0072972975	0.003	6185	tags=81%, list=45%, signal=148%	
ZHAN_MULTIPLE_MYELOMA_SUBGROUPS	ZHAN_MULTIPLE_MYELOMA_SUBGROUPS	Details ...	24	-0.5531023	-2.1042213	0.0	0.0072972975	0.004	4510	tags=75%, list=33%, signal=112%	
BIOCARTA_GLEEVEC_PATHWAY	BIOCARTA_GLEEVEC_PATHWAY	Details ...	15	-0.5861738	-1.9290777	0.0	0.017973937	0.014	5485	tags=93%, list=40%, signal=156%	
WONG_PROTEASOME_GENE_MODULE	WONG_PROTEASOME_GENE_MODULE	Details ...	41	-0.42570668	-1.9126441	0.0	0.016517373	0.015	5237	tags=61%, list=38%, signal=98%	
LI_LUNG_CANCER	LI_LUNG_CANCER	Details ...	34	-0.3861027	-1.8030431	0.0	0.043325093	0.035	2848	tags=44%, list=21%, signal=56%	
BIOCARTA_NFAT_PATHWAY	BIOCARTA_NFAT_PATHWAY	Details ...	35	-0.40925398	-1.7448238	0.11111111	0.04624149	0.041	6308	tags=80%, list=46%, signal=148%	
ANDERSEN_LIVER_CANCER_KRT19_UP	ANDERSEN_LIVER_CANCER_KRT19_UP	Details ...	33	-0.39144707	-1.7028513	0.083333336	0.06063128	0.059	3776	tags=67%, list=28%, signal=92%	
KYNG_RESPONSE_TO_H2O2_VIA_ERCC6	KYNG_RESPONSE_TO_H2O2_VIA_ERCC6	Details ...	15	-0.5071549	-1.5936259	0.0	0.09788535	0.101	5183	tags=73%, list=38%, signal=118%	
BILD_SRC_ONCOGENIC_SIGNATURE	BILD_SRC_ONCOGENIC_SIGNATURE	Details ...	23	-0.41039225	-1.575031	0.033333335	0.10069276	0.111	2543	tags=43%, list=19%, signal=53%	
REACTOME_SIGNALING_BY_FGFR2_IN_DISEASE	REACTOME_SIGNALING_BY_FGFR2_IN_DISEASE	Details ...	34	-0.30414027	-1.55482	0.0	0.1002718	0.12	1242	tags=29%, list=9%, signal=32%	
WP_PRION_DISEASE_PATHWAY	WP_PRION_DISEASE_PATHWAY	Details ...	20	-0.3761168	-1.3711551	0.1891892	0.21938592	0.274	4975	tags=75%, list=36%, signal=118%	
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	Details ...	42	-0.26030383	-1.2800069	0.0	0.2744682	0.35	3264	tags=43%, list=24%, signal=56%	
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES	Details ...	27	-0.31607383	-1.2576106	0.18181819	0.28192455	0.371	5068	tags=52%, list=37%, signal=82%	
DUTTA_APOPTOSIS_VIA_NFKB	DUTTA_APOPTOSIS_VIA_NFKB	Details ...	22	-0.2953555	-1.2005706	0.20689656	0.32606825	0.427	4308	tags=45%, list=31%, signal=66%	
WP_PARKINSONS_DISEASE_PATHWAY	WP_PARKINSONS_DISEASE_PATHWAY	Details ...	31	-0.25095913	-1.1037086	0.33333334	0.41204694	0.526	3154	tags=48%, list=23%, signal=63%	
CHANDRAN_METASTASIS_TOP50_UP	CHANDRAN_METASTASIS_TOP50_UP		24	-0.2617835	-1.101113	0.33333334	0.39427894	0.528	2113	tags=38%, list=15%, signal=44%	
WP_ATM_SIGNALING_NETWORK_IN_DEVELOPMENT_AND_DISEASE	WP_ATM_SIGNALING_NETWORK_IN_DEVELOPMENT_AND_DISEASE		22	-0.29793715	-1.0721177	0.26666668	0.4117399	0.558	6138	tags=82%, list=45%, signal=148%	
SUH_COEXPRESSED_WITH_ID1_AND_ID2_UP	SUH_COEXPRESSED_WITH_ID1_AND_ID2_UP		15	-0.32238725	-1.0497719	0.3939394	0.41887102	0.582	6854	tags=87%, list=50%, signal=173%	
BILD_CTNNB1_ONCOGENIC_SIGNATURE	BILD_CTNNB1_ONCOGENIC_SIGNATURE		29	-0.2293036	-1.0422924	0.41666666	0.41338912	0.594	4668	tags=59%, list=34%, signal=89%	
