NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CAMPS_COLON_CANCER_COPY_NUMBER_DN	CAMPS_COLON_CANCER_COPY_NUMBER_DN	Details ...	52	0.68427056	1.3804992	0.0	1.0	0.709	1771	tags=31%, list=13%, signal=35%	
HP_MITOCHONDRIAL_MYOPATHY	HP_MITOCHONDRIAL_MYOPATHY	Details ...	52	0.6736842	1.3572739	0.003003003	0.8978138	0.865	2182	tags=31%, list=16%, signal=36%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	121	0.6598275	1.3435956	0.0	0.780675	0.927	2811	tags=45%, list=21%, signal=56%	
WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	Details ...	31	0.65568763	1.2808361	0.057401814	1.0	1.0	2544	tags=29%, list=19%, signal=36%	
HP_DILATED_CARDIOMYOPATHY	HP_DILATED_CARDIOMYOPATHY	Details ...	96	0.63072556	1.2749631	0.002	1.0	1.0	2096	tags=25%, list=15%, signal=29%	
ZHAN_MULTIPLE_MYELOMA_CD1_DN	ZHAN_MULTIPLE_MYELOMA_CD1_DN	Details ...	33	0.6304283	1.2674093	0.06350806	1.0	1.0	2288	tags=27%, list=17%, signal=33%	
NEWMAN_ERCC6_TARGETS_UP	NEWMAN_ERCC6_TARGETS_UP	Details ...	19	0.6571031	1.2653824	0.09915612	1.0	1.0	2454	tags=42%, list=18%, signal=51%	
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	Details ...	46	0.63018036	1.2595072	0.03707415	1.0	1.0	4446	tags=72%, list=32%, signal=106%	
HP_NEONATAL_ONSET	HP_NEONATAL_ONSET	Details ...	24	0.639652	1.2565124	0.10997964	1.0	1.0	2502	tags=29%, list=18%, signal=36%	
HP_NEPHROPATHY	HP_NEPHROPATHY	Details ...	72	0.61291844	1.2370847	0.031	1.0	1.0	2488	tags=33%, list=18%, signal=41%	
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	Details ...	40	0.61500865	1.2339715	0.09628887	1.0	1.0	4402	tags=58%, list=32%, signal=84%	
ZHAN_MULTIPLE_MYELOMA_SPIKED	ZHAN_MULTIPLE_MYELOMA_SPIKED	Details ...	17	0.65648085	1.2299789	0.1223176	1.0	1.0	2409	tags=35%, list=18%, signal=43%	
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_2H_UP	GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_2H_UP	Details ...	111	0.6019011	1.21727	0.009	1.0	1.0	3089	tags=32%, list=23%, signal=40%	
HP_FASCICULATIONS	HP_FASCICULATIONS	Details ...	43	0.6025015	1.2168493	0.111445785	1.0	1.0	2157	tags=23%, list=16%, signal=28%	
HP_RESTRICTIVE_VENTILATORY_DEFECT	HP_RESTRICTIVE_VENTILATORY_DEFECT	Details ...	30	0.61175066	1.2066765	0.13709678	1.0	1.0	2246	tags=30%, list=16%, signal=36%	
ANDERSEN_CHOLANGIOCARCINOMA_CLASS1	ANDERSEN_CHOLANGIOCARCINOMA_CLASS1	Details ...	38	0.6118042	1.2056847	0.11907165	1.0	1.0	2427	tags=32%, list=18%, signal=38%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	Details ...	28	0.6078149	1.1911615	0.1755102	1.0	1.0	2948	tags=39%, list=22%, signal=50%	
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS	Details ...	40	0.5948492	1.180536	0.15747242	1.0	1.0	2891	tags=30%, list=21%, signal=38%	
ZHAN_MULTIPLE_MYELOMA_MF_DN	ZHAN_MULTIPLE_MYELOMA_MF_DN	Details ...	24	0.59831655	1.1678625	0.246138	1.0	1.0	1950	tags=25%, list=14%, signal=29%	
KIM_LIVER_CANCER_POOR_SURVIVAL_UP	KIM_LIVER_CANCER_POOR_SURVIVAL_UP	Details ...	19	0.6044978	1.1646198	0.2725367	1.0	1.0	1878	tags=21%, list=14%, signal=24%	
MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN	MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN		16	0.59945524	1.1495422	0.30769232	1.0	1.0	188	tags=13%, list=1%, signal=13%	
HUPER_BREAST_BASAL_VS_LUMINAL_DN	HUPER_BREAST_BASAL_VS_LUMINAL_DN		51	0.56649786	1.1475551	0.19859579	1.0	1.0	3760	tags=45%, list=27%, signal=62%	
GSE32901_TH1_VS_TH17_NEG_CD4_TCELL_UP	GSE32901_TH1_VS_TH17_NEG_CD4_TCELL_UP		74	0.5635726	1.1369327	0.157	1.0	1.0	2786	tags=28%, list=20%, signal=35%	
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_UP	GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_UP		111	0.56208575	1.135345	0.093	1.0	1.0	2586	tags=24%, list=19%, signal=30%	
GSE12963_ENV_NEF_VS_ENV_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_DN	GSE12963_ENV_NEF_VS_ENV_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_DN		105	0.55350053	1.1240462	0.144	1.0	1.0	2344	tags=24%, list=17%, signal=29%	
ANDERSEN_CHOLANGIOCARCINOMA_CLASS2	ANDERSEN_CHOLANGIOCARCINOMA_CLASS2		124	0.5518343	1.1203301	0.125	1.0	1.0	2897	tags=27%, list=21%, signal=33%	
FINAK_BREAST_CANCER_SDPP_SIGNATURE	FINAK_BREAST_CANCER_SDPP_SIGNATURE		21	0.5742852	1.1173558	0.35367113	1.0	1.0	2395	tags=24%, list=17%, signal=29%	
GSE32901_TH17_EMRICHED_VS_TH17_NEG_CD4_TCELL_UP	GSE32901_TH17_EMRICHED_VS_TH17_NEG_CD4_TCELL_UP		94	0.55228764	1.1137924	0.187	1.0	1.0	2472	tags=22%, list=18%, signal=27%	
CHANDRAN_METASTASIS_TOP50_DN	CHANDRAN_METASTASIS_TOP50_DN		28	0.5693729	1.1097511	0.33367243	1.0	1.0	2445	tags=21%, list=18%, signal=26%	
GSE6092_IFNG_VS_IFNG_AND_B_BURGDORFERI_INF_ENDOTHELIAL_CELL_UP	GSE6092_IFNG_VS_IFNG_AND_B_BURGDORFERI_INF_ENDOTHELIAL_CELL_UP		123	0.5466702	1.1072726	0.157	1.0	1.0	2887	tags=27%, list=21%, signal=34%	
GSE15659_NAIVE_CD4_TCELL_VS_ACTIVATED_TREG_DN	GSE15659_NAIVE_CD4_TCELL_VS_ACTIVATED_TREG_DN		137	0.5430437	1.103933	0.154	1.0	1.0	2550	tags=24%, list=19%, signal=29%	
GSE32901_NAIVE_VS_TH1_CD4_TCELL_UP	GSE32901_NAIVE_VS_TH1_CD4_TCELL_UP		83	0.54162055	1.1035397	0.218	1.0	1.0	3527	tags=35%, list=26%, signal=47%	
ZHAN_MULTIPLE_MYELOMA_HP_UP	ZHAN_MULTIPLE_MYELOMA_HP_UP		30	0.5513592	1.1031448	0.35591507	1.0	1.0	1287	tags=13%, list=9%, signal=15%	
