NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	121	0.43418768	2.9646304	0.0	0.0	0.0	2243	tags=45%, list=16%, signal=53%	
CAMPS_COLON_CANCER_COPY_NUMBER_DN	CAMPS_COLON_CANCER_COPY_NUMBER_DN	Details ...	52	0.41526595	2.2671583	0.0	0.0013111435	0.006	888	tags=27%, list=6%, signal=29%	
HP_MITOCHONDRIAL_MYOPATHY	HP_MITOCHONDRIAL_MYOPATHY	Details ...	52	0.40450808	2.22868	0.0	0.0012669355	0.009	1125	tags=27%, list=8%, signal=29%	
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	Details ...	46	0.34751686	1.8904763	0.0	0.014048433	0.129	7037	tags=96%, list=51%, signal=196%	
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	Details ...	40	0.33638448	1.7153422	0.007490637	0.03847586	0.379	7249	tags=95%, list=53%, signal=201%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	Details ...	145	0.23426485	1.6308377	0.006329114	0.056361083	0.573	2243	tags=32%, list=16%, signal=38%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	Details ...	130	0.23737115	1.6257718	0.0	0.04993608	0.59	2243	tags=32%, list=16%, signal=37%	
HP_NEPHROPATHY	HP_NEPHROPATHY	Details ...	72	0.24335587	1.4642998	0.026666667	0.12158236	0.923	1322	tags=18%, list=10%, signal=20%	
HP_DILATED_CARDIOMYOPATHY	HP_DILATED_CARDIOMYOPATHY	Details ...	96	0.22165315	1.4100745	0.018691588	0.15153617	0.976	1478	tags=20%, list=11%, signal=22%	
WONG_MITOCHONDRIA_GENE_MODULE	WONG_MITOCHONDRIA_GENE_MODULE	Details ...	208	0.16472052	1.2336657	0.07971015	0.37595284	1.0	10641	tags=97%, list=78%, signal=427%	
ANDERSEN_CHOLANGIOCARCINOMA_CLASS1	ANDERSEN_CHOLANGIOCARCINOMA_CLASS1	Details ...	38	0.23644161	1.2328585	0.14661655	0.34322542	1.0	1233	tags=21%, list=9%, signal=23%	
CROMER_TUMORIGENESIS_DN	CROMER_TUMORIGENESIS_DN	Details ...	40	0.23782088	1.2212957	0.17829457	0.33430606	1.0	1573	tags=20%, list=11%, signal=23%	
ZHAN_MULTIPLE_MYELOMA_SPIKED	ZHAN_MULTIPLE_MYELOMA_SPIKED	Details ...	17	0.30477172	1.2144469	0.215625	0.3202385	1.0	1621	tags=24%, list=12%, signal=27%	
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	Details ...	134	0.17555836	1.2127942	0.10928962	0.30004266	1.0	2215	tags=27%, list=16%, signal=32%	
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS	Details ...	40	0.23506154	1.2028085	0.22463769	0.29522613	1.0	7468	tags=90%, list=55%, signal=197%	
HP_ROD_CONE_DYSTROPHY	HP_ROD_CONE_DYSTROPHY	Details ...	110	0.1669518	1.0909082	0.27860695	0.48486155	1.0	1379	tags=16%, list=10%, signal=18%	
ALONSO_METASTASIS_UP	ALONSO_METASTASIS_UP	Details ...	165	0.1487942	1.0666302	0.30379745	0.5126831	1.0	1694	tags=18%, list=12%, signal=20%	
ZHAN_MULTIPLE_MYELOMA_MF_DN	ZHAN_MULTIPLE_MYELOMA_MF_DN	Details ...	24	0.23478815	1.0338135	0.40333334	0.5620372	1.0	1559	tags=25%, list=11%, signal=28%	
ZHAN_MULTIPLE_MYELOMA_HP_DN	ZHAN_MULTIPLE_MYELOMA_HP_DN	Details ...	36	0.20791432	1.0323324	0.40625	0.5359305	1.0	1458	tags=19%, list=11%, signal=22%	
HUPER_BREAST_BASAL_VS_LUMINAL_DN	HUPER_BREAST_BASAL_VS_LUMINAL_DN	Details ...	51	0.16592914	0.916909	0.61538464	0.7978237	1.0	471	tags=8%, list=3%, signal=8%	
NEWMAN_ERCC6_TARGETS_UP	NEWMAN_ERCC6_TARGETS_UP		19	0.22102784	0.91685957	0.5919118	0.7599254	1.0	2541	tags=47%, list=19%, signal=58%	
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_2H_UP	GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_2H_UP		111	0.13302094	0.8532239	0.76649743	0.86677104	1.0	2225	tags=23%, list=16%, signal=27%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC		28	0.17026427	0.7970564	0.74025977	0.92960364	1.0	9629	tags=93%, list=70%, signal=312%	
ZHAN_MULTIPLE_MYELOMA_MF_UP	ZHAN_MULTIPLE_MYELOMA_MF_UP		29	0.15744005	0.7275262	0.86315787	0.9820163	1.0	972	tags=14%, list=7%, signal=15%	
HP_NEONATAL_ONSET	HP_NEONATAL_ONSET		24	0.15885082	0.7056678	0.8627451	0.9622833	1.0	1140	tags=13%, list=8%, signal=14%	
FINAK_BREAST_CANCER_SDPP_SIGNATURE	FINAK_BREAST_CANCER_SDPP_SIGNATURE		21	0.15402263	0.66574126	0.95189005	0.95383406	1.0	769	tags=10%, list=6%, signal=10%	
