NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	Details ...	145	-0.46748495	-2.0182445	0.0	0.0029918177	0.006	3418	tags=49%, list=25%, signal=65%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	Details ...	130	-0.46705815	-2.0006285	0.0	0.001994545	0.006	4644	tags=63%, list=34%, signal=95%	
WONG_MITOCHONDRIA_GENE_MODULE	WONG_MITOCHONDRIA_GENE_MODULE	Details ...	208	-0.44743478	-1.9934223	0.0	0.001718691	0.007	5494	tags=66%, list=40%, signal=109%	
ANDERSEN_LIVER_CANCER_KRT19_UP	ANDERSEN_LIVER_CANCER_KRT19_UP	Details ...	33	-0.57347643	-1.981721	0.0	0.0013749528	0.007	1214	tags=42%, list=9%, signal=46%	
REACTOME_INFECTIOUS_DISEASE	REACTOME_INFECTIOUS_DISEASE	Details ...	647	-0.42347187	-1.9757526	0.0	0.0014347007	0.009	3831	tags=50%, list=28%, signal=66%	
REACTOME_SIGNALING_BY_FGFR2_IN_DISEASE	REACTOME_SIGNALING_BY_FGFR2_IN_DISEASE	Details ...	34	-0.5757532	-1.9723625	0.0	0.0012297435	0.009	3544	tags=68%, list=26%, signal=91%	
LI_AMPLIFIED_IN_LUNG_CANCER	LI_AMPLIFIED_IN_LUNG_CANCER	Details ...	152	-0.4424305	-1.9199693	0.0	0.0019311573	0.017	2689	tags=41%, list=20%, signal=51%	
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	Details ...	134	-0.4342061	-1.8659374	0.0	0.0046642763	0.047	4739	tags=57%, list=35%, signal=87%	
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	Details ...	42	-0.49781013	-1.8192406	0.0	0.008487113	0.096	5332	tags=71%, list=39%, signal=117%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	121	-0.41475302	-1.756322	0.0	0.01724977	0.199	2936	tags=45%, list=21%, signal=56%	
JISON_SICKLE_CELL_DISEASE_DN	JISON_SICKLE_CELL_DISEASE_DN	Details ...	117	-0.41602272	-1.7457726	0.0	0.018036095	0.222	3543	tags=44%, list=26%, signal=58%	
ALONSO_METASTASIS_UP	ALONSO_METASTASIS_UP	Details ...	165	-0.39879328	-1.7384446	0.0	0.018310169	0.242	4631	tags=53%, list=34%, signal=80%	
LI_LUNG_CANCER	LI_LUNG_CANCER	Details ...	34	-0.48178017	-1.6668112	0.0036144578	0.040061582	0.48	3279	tags=53%, list=24%, signal=69%	
CROMER_TUMORIGENESIS_DN	CROMER_TUMORIGENESIS_DN	Details ...	40	-0.44668573	-1.6207467	0.016528925	0.06275418	0.665	4776	tags=58%, list=35%, signal=88%	
KYNG_RESPONSE_TO_H2O2_VIA_ERCC6	KYNG_RESPONSE_TO_H2O2_VIA_ERCC6	Details ...	15	-0.5767939	-1.6139535	0.010695187	0.06393575	0.7	4128	tags=73%, list=30%, signal=105%	
WONG_PROTEASOME_GENE_MODULE	WONG_PROTEASOME_GENE_MODULE	Details ...	41	-0.44743946	-1.6122992	0.0058343057	0.060976703	0.706	5616	tags=71%, list=41%, signal=120%	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_DN	GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_DN	Details ...	32	-0.47465077	-1.6078255	0.009840098	0.060548346	0.727	3701	tags=53%, list=27%, signal=73%	
BLALOCK_ALZHEIMERS_DISEASE_DN	BLALOCK_ALZHEIMERS_DISEASE_DN	Details ...	929	-0.34012496	-1.6046716	0.0	0.05885525	0.737	5481	tags=53%, list=40%, signal=83%	
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	Details ...	36	-0.45766446	-1.6041969	0.008443909	0.056130063	0.738	3079	tags=50%, list=22%, signal=64%	
BIOCARTA_NFAT_PATHWAY	BIOCARTA_NFAT_PATHWAY	Details ...	35	-0.45755753	-1.5918809	0.008333334	0.06189962	0.788	6061	tags=69%, list=44%, signal=123%	
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP	NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP		200	-0.35795084	-1.5866915	0.0	0.06239307	0.807	5379	tags=55%, list=39%, signal=89%	
FAELT_B_CLL_WITH_VH3_21_DN	FAELT_B_CLL_WITH_VH3_21_DN		38	-0.4378691	-1.5765636	0.012835473	0.06637185	0.844	5871	tags=63%, list=43%, signal=110%	
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN	ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN		48	-0.4231025	-1.570267	0.011428571	0.068556845	0.866	5988	tags=69%, list=44%, signal=122%	
JISON_SICKLE_CELL_DISEASE_UP	JISON_SICKLE_CELL_DISEASE_UP		156	-0.36319742	-1.5586095	0.0010373445	0.07480107	0.899	4731	tags=50%, list=35%, signal=76%	
HECKER_IFNB1_TARGETS	HECKER_IFNB1_TARGETS		78	-0.3885495	-1.5477586	0.009677419	0.08043435	0.92	5661	tags=53%, list=41%, signal=89%	
FAELT_B_CLL_WITH_VH_REARRANGEMENTS_DN	FAELT_B_CLL_WITH_VH_REARRANGEMENTS_DN		32	-0.45469505	-1.5453627	0.021505376	0.07921227	0.922	5059	tags=59%, list=37%, signal=94%	
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES		27	-0.46460673	-1.524241	0.025547445	0.09389745	0.955	4083	tags=59%, list=30%, signal=84%	
KYNG_RESPONSE_TO_H2O2	KYNG_RESPONSE_TO_H2O2		56	-0.4008414	-1.5223014	0.015011547	0.09285637	0.958	4128	tags=50%, list=30%, signal=71%	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_DN	GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_DN		42	-0.41908953	-1.5206561	0.0153121315	0.091421	0.959	3753	tags=45%, list=27%, signal=62%	
OSMAN_BLADDER_CANCER_DN	OSMAN_BLADDER_CANCER_DN		264	-0.33616996	-1.5105591	0.0	0.09802976	0.971	4629	tags=44%, list=34%, signal=65%	
SHAFFER_IRF4_TARGETS_IN_ACTIVATED_B_LYMPHOCYTE	SHAFFER_IRF4_TARGETS_IN_ACTIVATED_B_LYMPHOCYTE		62	-0.393554	-1.5097998	0.008988764	0.09563567	0.971	6669	tags=73%, list=49%, signal=141%	
RAGHAVACHARI_PLATELET_SPECIFIC_GENES	RAGHAVACHARI_PLATELET_SPECIFIC_GENES		56	-0.39957893	-1.5078778	0.013513514	0.0945337	0.972	4419	tags=54%, list=32%, signal=79%	
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN	BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN		122	-0.35636735	-1.5046997	0.006256517	0.095122136	0.975	6164	tags=60%, list=45%, signal=108%	
VILLANUEVA_LIVER_CANCER_KRT19_DN	VILLANUEVA_LIVER_CANCER_KRT19_DN		53	-0.40180573	-1.5036026	0.01847575	0.0931919	0.977	6005	tags=68%, list=44%, signal=120%	
ZHAN_MULTIPLE_MYELOMA_SUBGROUPS	ZHAN_MULTIPLE_MYELOMA_SUBGROUPS		24	-0.473793	-1.4900199	0.042735044	0.103651	0.983	4719	tags=63%, list=34%, signal=95%	
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN	WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN		65	-0.38195327	-1.4843025	0.014689266	0.10668323	0.986	3279	tags=37%, list=24%, signal=48%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_UP		140	-0.34475988	-1.4781598	0.0031380753	0.11073469	0.987	5232	tags=45%, list=38%, signal=72%	
ZHAN_MULTIPLE_MYELOMA_CD2_DN	ZHAN_MULTIPLE_MYELOMA_CD2_DN		28	-0.44256395	-1.4692749	0.030413626	0.11704659	0.991	3446	tags=54%, list=25%, signal=71%	
GSE43700_UNTREATED_VS_IL10_TREATED_PBMC_UP	GSE43700_UNTREATED_VS_IL10_TREATED_PBMC_UP		139	-0.34239936	-1.4665519	0.0052576237	0.11695722	0.994	3919	tags=42%, list=29%, signal=58%	
WP_PARKINSONS_DISEASE_PATHWAY	WP_PARKINSONS_DISEASE_PATHWAY		31	-0.42993122	-1.4636761	0.040841583	0.1169211	0.994	3079	tags=48%, list=22%, signal=62%	
MCLACHLAN_DENTAL_CARIES_UP	MCLACHLAN_DENTAL_CARIES_UP		209	-0.32891533	-1.4634956	0.0	0.11434256	0.994	4460	tags=43%, list=33%, signal=62%	
KYNG_RESPONSE_TO_H2O2_VIA_ERCC6_DN	KYNG_RESPONSE_TO_H2O2_VIA_ERCC6_DN		34	-0.4241049	-1.4585395	0.040189125	0.117011294	0.995	4128	tags=56%, list=30%, signal=80%	
GSE43700_UNTREATED_VS_IL10_TREATED_PBMC_DN	GSE43700_UNTREATED_VS_IL10_TREATED_PBMC_DN		162	-0.33771363	-1.4570054	0.004132231	0.11587363	0.996	5096	tags=49%, list=37%, signal=77%	
WP_ALZHEIMERS_DISEASE	WP_ALZHEIMERS_DISEASE		50	-0.38281378	-1.4495581	0.039580908	0.12055581	0.997	4644	tags=54%, list=34%, signal=81%	
REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS	REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS		20	-0.4751442	-1.442039	0.053846154	0.12563892	0.998	5309	tags=65%, list=39%, signal=106%	
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP	WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP		76	-0.36319458	-1.4391085	0.024858758	0.12608859	0.998	2678	tags=34%, list=20%, signal=42%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_UP		148	-0.3297875	-1.4342679	0.007276507	0.12870906	0.998	6104	tags=61%, list=45%, signal=110%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_UP		149	-0.33054906	-1.4278579	0.008221994	0.1328554	0.999	4818	tags=46%, list=35%, signal=71%	
GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_DN	GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_DN		130	-0.32966724	-1.4196157	0.012552301	0.1395452	1.0	5391	tags=52%, list=39%, signal=84%	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN	GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN		305	-0.31034386	-1.4189825	0.001004016	0.13753134	1.0	4891	tags=45%, list=36%, signal=68%	
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS		46	-0.37905356	-1.3867122	0.06042654	0.1769385	1.0	7645	tags=83%, list=56%, signal=186%	
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER		87	-0.3418356	-1.3825791	0.037715517	0.17945871	1.0	3087	tags=38%, list=23%, signal=49%	
