NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HTR6	5-hydroxytryptamine receptor 6 [Source:HGNC Symbol;Acc:HGNC:5301]	1	2.857642889022827	0.009809568	Yes	
row_1	HTR2A	5-hydroxytryptamine receptor 2A [Source:HGNC Symbol;Acc:HGNC:5293]	16	2.857642889022827	0.018647972	Yes	
row_2	SV2B	synaptic vesicle glycoprotein 2B [Source:HGNC Symbol;Acc:HGNC:16874]	37	2.857642889022827	0.027038146	Yes	
row_3	SLC35F1	solute carrier family 35 member F1 [Source:HGNC Symbol;Acc:HGNC:21483]	65	2.857642889022827	0.034905385	Yes	
row_4	SVOP	SV2 related protein [Source:HGNC Symbol;Acc:HGNC:25417]	69	2.857642889022827	0.044565544	Yes	
row_5	GPR37L1	G protein-coupled receptor 37 like 1 [Source:HGNC Symbol;Acc:HGNC:14923]	150	2.857642889022827	0.048473425	Yes	
row_6	GABRD	gamma-aminobutyric acid type A receptor subunit delta [Source:HGNC Symbol;Acc:HGNC:4084]	151	2.857642889022827	0.058357697	Yes	
row_7	GPR62	G protein-coupled receptor 62 [Source:HGNC Symbol;Acc:HGNC:13301]	168	2.857642889022827	0.06704669	Yes	
row_8	GPR88	G protein-coupled receptor 88 [Source:HGNC Symbol;Acc:HGNC:4539]	178	2.857642889022827	0.07625862	Yes	
row_9	SSTR4	somatostatin receptor 4 [Source:HGNC Symbol;Acc:HGNC:11333]	200	2.857642889022827	0.08457409	Yes	
row_10	SLC6A17	solute carrier family 6 member 17 [Source:HGNC Symbol;Acc:HGNC:31399]	220	2.857642889022827	0.09303897	Yes	
row_11	NTSR2	neurotensin receptor 2 [Source:HGNC Symbol;Acc:HGNC:8040]	234	2.857642889022827	0.101952076	Yes	
row_12	DRD1	dopamine receptor D1 [Source:HGNC Symbol;Acc:HGNC:3020]	262	2.857642889022827	0.109819315	Yes	
row_13	KCNK12	potassium two pore domain channel subfamily K member 12 [Source:HGNC Symbol;Acc:HGNC:6274]	313	2.857642889022827	0.11596835	Yes	
row_14	SLC32A1	solute carrier family 32 member 1 [Source:HGNC Symbol;Acc:HGNC:11018]	321	2.857642889022827	0.12532969	Yes	
row_15	GABRB2	gamma-aminobutyric acid type A receptor subunit beta2 [Source:HGNC Symbol;Acc:HGNC:4082]	325	2.857642889022827	0.13498984	Yes	
row_16	SLC44A1	solute carrier family 44 member 1 [Source:HGNC Symbol;Acc:HGNC:18798]	333	2.857642889022827	0.14435118	Yes	
row_17	TTYH2	tweety family member 2 [Source:HGNC Symbol;Acc:HGNC:13877]	347	2.857642889022827	0.15326428	Yes	
row_18	TTYH1	tweety family member 1 [Source:HGNC Symbol;Acc:HGNC:13476]	348	2.857642889022827	0.16314857	Yes	
row_19	CERS1	ceramide synthase 1 [Source:HGNC Symbol;Acc:HGNC:14253]	391	2.857642889022827	0.16989523	Yes	
row_20	SYP	synaptophysin [Source:HGNC Symbol;Acc:HGNC:11506]	393	2.857642889022827	0.1797048	Yes	
row_21	TMEM145	transmembrane protein 145 [Source:HGNC Symbol;Acc:HGNC:26912]	430	2.857642889022827	0.18689969	Yes	
row_22	OPRM1	opioid receptor mu 1 [Source:HGNC Symbol;Acc:HGNC:8156]	496	2.857642889022827	0.19192815	Yes	
