NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	70	2.857642889022827	0.03338776	Yes	
row_1	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	71	2.857642889022827	0.07192258	Yes	
row_2	XK	X-linked Kx blood group [Source:HGNC Symbol;Acc:HGNC:12811]	83	2.857642889022827	0.10964858	Yes	
row_3	GABRD	gamma-aminobutyric acid type A receptor subunit delta [Source:HGNC Symbol;Acc:HGNC:4084]	151	2.857642889022827	0.14325693	Yes	
row_4	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	195	2.857642889022827	0.17862998	Yes	
row_5	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	196	2.857642889022827	0.2171648	Yes	
row_6	DOLK	dolichol kinase [Source:HGNC Symbol;Acc:HGNC:23406]	198	2.857642889022827	0.25562608	Yes	
row_7	SLC2A10	solute carrier family 2 member 10 [Source:HGNC Symbol;Acc:HGNC:13444]	412	2.857642889022827	0.27849916	Yes	
row_8	MT-CO1	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	436	2.857642889022827	0.31534278	Yes	
row_9	POMT2	protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]	551	2.857642889022827	0.34549525	Yes	
row_10	HACD1	3-hydroxyacyl-CoA dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:9639]	719	2.8327879905700684	0.3714155	Yes	
row_11	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	872	2.6395270824432373	0.3958326	Yes	
row_12	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	873	2.6395270824432373	0.43142617	Yes	
row_13	MT-CO3	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	1405	2.539612054824829	0.4266283	Yes	
row_14	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	1471	2.3458058834075928	0.45348164	Yes	
row_15	MT-CO2	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]	1701	2.2560670375823975	0.46706608	Yes	
row_16	TMEM43	transmembrane protein 43 [Source:HGNC Symbol;Acc:HGNC:28472]	1781	2.0757930278778076	0.48924896	Yes	
row_17	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	1796	2.0410430431365967	0.51574266	Yes	
row_18	MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	1803	2.022249937057495	0.5425712	Yes	
row_19	MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	1903	1.7175649404525757	0.55845284	Yes	
row_20	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	1976	1.6720739603042603	0.57570636	Yes	
row_21	NDUFB11	NADH:ubiquinone oxidoreductase subunit B11 [Source:HGNC Symbol;Acc:HGNC:20372]	1989	1.6506240367889404	0.5970824	Yes	
row_22	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8 [Source:HGNC Symbol;Acc:HGNC:7703]	1999	1.6506240367889404	0.618679	Yes	
row_23	ATP5F1D	ATP synthase F1 subunit delta [Source:HGNC Symbol;Acc:HGNC:837]	2096	1.4168059825897217	0.63072556	Yes	
row_24	DPM3	dolichyl-phosphate mannosyltransferase subunit 3, regulatory [Source:HGNC Symbol;Acc:HGNC:3007]	2513	0.8574960231781006	0.6117005	No	
row_25	SURF1	SURF1 cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:11474]	2788	0.562470018863678	0.59913826	No	
row_26	DMPK	DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	3195	0.35970398783683777	0.57413584	No	
row_27	DES	desmin [Source:HGNC Symbol;Acc:HGNC:2770]	4002	0.22879600524902344	0.51795644	No	
row_28	COX7B	cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]	4196	0.17767000198364258	0.5061611	No	
row_29	FKRP	fukutin related protein [Source:HGNC Symbol;Acc:HGNC:17997]	4271	0.16358700394630432	0.5029259	No	
row_30	PLN	phospholamban [Source:HGNC Symbol;Acc:HGNC:9080]	4280	0.14962099492549896	0.50435525	No	
row_31	NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:29918]	4380	0.1298699975013733	0.4988271	No	
row_32	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:5005]	4411	0.1298699975013733	0.4983725	No	
