NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AVPR2	arginine vasopressin receptor 2 [Source:HGNC Symbol;Acc:HGNC:897]	396	2.857642889022827	0.12648614	Yes	
row_1	SLC1A2	solute carrier family 1 member 2 [Source:HGNC Symbol;Acc:HGNC:10940]	628	2.857642889022827	0.26504076	Yes	
row_2	SELENOI	selenoprotein I [Source:HGNC Symbol;Acc:HGNC:29361]	746	2.8327879905700684	0.4105815	Yes	
row_3	AQP2	aquaporin 2 [Source:HGNC Symbol;Acc:HGNC:634]	1699	2.2560670375823975	0.46367598	Yes	
row_4	PIGP	phosphatidylinositol glycan anchor biosynthesis class P [Source:HGNC Symbol;Acc:HGNC:3046]	1709	2.2560670375823975	0.58574355	Yes	
row_5	KCNJ11	potassium inwardly rectifying channel subfamily J member 11 [Source:HGNC Symbol;Acc:HGNC:6257]	2231	1.17283296585083	0.61143637	Yes	
row_6	STING1	stimulator of interferon response cGAMP interactor 1 [Source:HGNC Symbol;Acc:HGNC:27962]	2502	0.8817219734191895	0.639652	Yes	
row_7	KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	3342	0.35970398783683777	0.59785295	No	
row_8	KRT14	keratin 14 [Source:HGNC Symbol;Acc:HGNC:6416]	3401	0.35970398783683777	0.61317796	No	
row_9	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]	3872	0.2695389986038208	0.59346354	No	
row_10	NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21034]	5071	0.034876998513936996	0.50773644	No	
row_11	MMAB	metabolism of cobalamin associated B [Source:HGNC Symbol;Acc:HGNC:19331]	5118	0.034876998513936996	0.50626916	No	
row_12	CYP11B2	cytochrome P450 family 11 subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:2592]	5498	0.034876998513936996	0.4804455	No	
row_13	CYP11B1	cytochrome P450 family 11 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2591]	5499	0.034876998513936996	0.48234275	No	
row_14	CYP7B1	cytochrome P450 family 7 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2652]	5554	0.034876998513936996	0.4802903	No	
row_15	ACADS	acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]	5573	0.034876998513936996	0.480871	No	
row_16	ASL	argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]	5722	0.034876998513936996	0.4719432	No	
row_17	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	7568	-0.22912000119686127	0.34945956	No	
row_18	ARHGDIA	Rho GDP dissociation inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:678]	8096	-0.22912000119686127	0.3233773	No	
row_19	GDAP1	ganglioside induced differentiation associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15968]	9662	-0.22912000119686127	0.22137348	No	
row_20	AMACR	alpha-methylacyl-CoA racemase [Source:HGNC Symbol;Acc:HGNC:451]	9849	-0.22912000119686127	0.22023274	No	
row_21	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	10354	-0.29361799359321594	0.19934136	No	
row_22	AKR1D1	aldo-keto reductase family 1 member D1 [Source:HGNC Symbol;Acc:HGNC:388]	11854	-0.39228299260139465	0.111040674	No	
row_23	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	12923	-0.43275201320648193	0.05646572	No	
