NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	70	2.857642889022827	0.04346437	Yes	
row_1	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	71	2.857642889022827	0.09206673	Yes	
row_2	SEC61A1	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]	299	2.857642889022827	0.12400732	Yes	
row_3	MT-CO1	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	436	2.857642889022827	0.1626273	Yes	
row_4	TMEM231	transmembrane protein 231 [Source:HGNC Symbol;Acc:HGNC:37234]	825	2.7328720092773438	0.18062842	Yes	
row_5	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	873	2.6395270824432373	0.2220713	Yes	
row_6	MT-CO3	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	1405	2.539612054824829	0.2262893	Yes	
row_7	CD151	CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630]	1491	2.3458058834075928	0.25994742	Yes	
row_8	MT-CO2	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]	1701	2.2560670375823975	0.2829777	Yes	
row_9	CLDN19	claudin 19 [Source:HGNC Symbol;Acc:HGNC:2040]	1718	2.2293689250946045	0.3197201	Yes	
row_10	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	1796	2.0410430431365967	0.34878203	Yes	
row_11	TMEM138	transmembrane protein 138 [Source:HGNC Symbol;Acc:HGNC:26944]	1819	1.9955519437789917	0.3811073	Yes	
row_12	TMEM216	transmembrane protein 216 [Source:HGNC Symbol;Acc:HGNC:25018]	1830	1.9841560125350952	0.4141195	Yes	
