NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTLA4	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	1499	2.3458058834075928	-0.022031384	Yes	
row_1	CD28	CD28 molecule [Source:HGNC Symbol;Acc:HGNC:1653]	1659	2.2922000885009766	0.052099686	Yes	
row_2	HLA-DMA	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	1672	2.2655019760131836	0.13600087	Yes	
row_3	HLA-DOA	major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]	1673	2.2655019760131836	0.22078119	Yes	
row_4	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]	1674	2.2655019760131836	0.3055615	Yes	
row_5	TSHB	thyroid stimulating hormone subunit beta [Source:HGNC Symbol;Acc:HGNC:12372]	1955	1.7175649404525757	0.34932393	Yes	
row_6	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	2022	1.549446940422058	0.40247265	Yes	
row_7	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	2025	1.549446940422058	0.46031	Yes	
row_8	TSHR	thyroid stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:12373]	2282	1.17283296585083	0.48544556	Yes	
row_9	CGA	glycoprotein hormones, alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:1885]	2343	1.072991967201233	0.52120376	Yes	
row_10	IL5	interleukin 5 [Source:HGNC Symbol;Acc:HGNC:6016]	2682	0.6613289713859558	0.52119035	Yes	
row_11	HLA-DOB	major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]	2736	0.562470018863678	0.5383565	Yes	
row_12	HLA-DRB4	major histocompatibility complex, class II, DR beta 4 [Source:HGNC Symbol;Acc:HGNC:4952]	2750	0.562470018863678	0.558453	Yes	
row_13	HLA-DMB	major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]	2856	0.46377599239349365	0.56811625	Yes	
row_14	IFNA16	interferon alpha 16 [Source:HGNC Symbol;Acc:HGNC:5421]	2883	0.46377599239349365	0.5835671	Yes	
row_15	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]	2891	0.46377599239349365	0.6004098	Yes	
row_16	IFNA8	interferon alpha 8 [Source:HGNC Symbol;Acc:HGNC:5429]	2913	0.46377599239349365	0.6162269	Yes	
row_17	HLA-DRB3	major histocompatibility complex, class II, DR beta 3 [Source:HGNC Symbol;Acc:HGNC:4951]	3806	0.2695389986038208	0.5609657	Yes	
row_18	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	3807	0.2695389986038208	0.5710525	Yes	
row_19	IFNA14	interferon alpha 14 [Source:HGNC Symbol;Acc:HGNC:5420]	3808	0.2695389986038208	0.58113927	Yes	
row_20	IFNA10	interferon alpha 10 [Source:HGNC Symbol;Acc:HGNC:5418]	3809	0.2695389986038208	0.59122604	Yes	
row_21	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	3815	0.2695389986038208	0.6009465	Yes	
row_22	IFNA5	interferon alpha 5 [Source:HGNC Symbol;Acc:HGNC:5426]	3837	0.2695389986038208	0.6094948	Yes	
row_23	IFNA1	interferon alpha 1 [Source:HGNC Symbol;Acc:HGNC:5417]	3838	0.2695389986038208	0.6195816	Yes	
row_24	HLA-DRB5	major histocompatibility complex, class II, DR beta 5 [Source:HGNC Symbol;Acc:HGNC:4953]	4072	0.2255460023880005	0.61095244	Yes	
row_25	IFNA17	interferon alpha 17 [Source:HGNC Symbol;Acc:HGNC:5422]	4074	0.2255460023880005	0.6193196	Yes	
row_26	IFNA4	interferon alpha 4 [Source:HGNC Symbol;Acc:HGNC:5425]	4082	0.2255460023880005	0.6272473	Yes	
row_27	IFNA21	interferon alpha 21 [Source:HGNC Symbol;Acc:HGNC:5424]	4378	0.1298699975013733	0.61049557	Yes	
row_28	HLA-G	major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]	4390	0.1298699975013733	0.61454976	Yes	
row_29	CD40LG	CD40 ligand [Source:HGNC Symbol;Acc:HGNC:11935]	4393	0.1298699975013733	0.6192633	Yes	
