NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD28	CD28 molecule [Source:HGNC Symbol;Acc:HGNC:1653]	1659	2.2922000885009766	-0.013636486	Yes	
row_1	HLA-DMA	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	1672	2.2655019760131836	0.0920772	Yes	
row_2	HLA-DOA	major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]	1673	2.2655019760131836	0.19866963	Yes	
row_3	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]	1674	2.2655019760131836	0.30526206	Yes	
row_4	INS	insulin [Source:HGNC Symbol;Acc:HGNC:6081]	1915	1.7175649404525757	0.36849922	Yes	
row_5	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	2022	1.549446940422058	0.4336389	Yes	
row_6	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	2025	1.549446940422058	0.5063943	Yes	
row_7	LTA	lymphotoxin alpha [Source:HGNC Symbol;Acc:HGNC:6709]	2310	1.1675570011138916	0.54053146	Yes	
row_8	HLA-DOB	major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]	2736	0.562470018863678	0.53587395	Yes	
row_9	HLA-DRB4	major histocompatibility complex, class II, DR beta 4 [Source:HGNC Symbol;Acc:HGNC:4952]	2750	0.562470018863678	0.56138635	Yes	
row_10	HLA-DMB	major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]	2856	0.46377599239349365	0.5755182	Yes	
row_11	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]	2891	0.46377599239349365	0.5948492	Yes	
row_12	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	3256	0.35970398783683777	0.5851184	No	
