NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC22A1	solute carrier family 22 member 1 [Source:HGNC Symbol;Acc:HGNC:10963]	54	2.857642889022827	0.027572758	Yes	
row_1	SLC22A7	solute carrier family 22 member 7 [Source:HGNC Symbol;Acc:HGNC:10971]	59	2.857642889022827	0.05885197	Yes	
row_2	SLC22A9	solute carrier family 22 member 9 [Source:HGNC Symbol;Acc:HGNC:16261]	60	2.857642889022827	0.09042769	Yes	
row_3	SLC38A3	solute carrier family 38 member 3 [Source:HGNC Symbol;Acc:HGNC:18044]	185	2.857642889022827	0.112811424	Yes	
row_4	SLC38A4	solute carrier family 38 member 4 [Source:HGNC Symbol;Acc:HGNC:14679]	188	2.857642889022827	0.14423889	Yes	
row_5	SLC17A2	solute carrier family 17 member 2 [Source:HGNC Symbol;Acc:HGNC:10930]	518	2.857642889022827	0.15142618	Yes	
row_6	SLC22A10	solute carrier family 22 member 10 [Source:HGNC Symbol;Acc:HGNC:18057]	598	2.857642889022827	0.17714572	Yes	
row_7	SLC22A25	solute carrier family 22 member 25 [Source:HGNC Symbol;Acc:HGNC:32935]	602	2.857642889022827	0.20849904	Yes	
row_8	SLCO1B1	solute carrier organic anion transporter family member 1B1 [Source:HGNC Symbol;Acc:HGNC:10959]	619	2.857642889022827	0.23888871	Yes	
row_9	SLCO1B3	solute carrier organic anion transporter family member 1B3 [Source:HGNC Symbol;Acc:HGNC:10961]	621	2.857642889022827	0.2703903	Yes	
row_10	SLC16A13	solute carrier family 16 member 13 [Source:HGNC Symbol;Acc:HGNC:31037]	676	2.8327879905700684	0.29768842	Yes	
row_11	G6PC	glucose-6-phosphatase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4056]	702	2.8327879905700684	0.3271363	Yes	
row_12	SLC10A1	solute carrier family 10 member 1 [Source:HGNC Symbol;Acc:HGNC:10905]	850	2.6395270824432373	0.34540498	Yes	
row_13	OR10J5	olfactory receptor family 10 subfamily J member 5 [Source:HGNC Symbol;Acc:HGNC:14993]	1283	2.6395270824432373	0.34254688	Yes	
row_14	SLC25A47	solute carrier family 25 member 47 [Source:HGNC Symbol;Acc:HGNC:20115]	1475	2.3458058834075928	0.3543084	Yes	
row_15	SLC30A10	solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355]	1565	2.315268039703369	0.37329364	Yes	
row_16	GCGR	glucagon receptor [Source:HGNC Symbol;Acc:HGNC:4192]	1597	2.315268039703369	0.39657834	Yes	
row_17	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208]	1685	2.2655019760131836	0.41516197	Yes	
row_18	ANGPTL8	angiopoietin like 8 [Source:HGNC Symbol;Acc:HGNC:24933]	2074	1.4507529735565186	0.40243012	Yes	
row_19	GGCX	gamma-glutamyl carboxylase [Source:HGNC Symbol;Acc:HGNC:4247]	2269	1.17283296585083	0.40100837	Yes	
row_20	APOC4	apolipoprotein C4 [Source:HGNC Symbol;Acc:HGNC:611]	2345	1.0707299709320068	0.40727982	Yes	
row_21	APOA2	apolipoprotein A2 [Source:HGNC Symbol;Acc:HGNC:601]	2381	1.0408649444580078	0.41618642	Yes	
row_22	APOC2	apolipoprotein C2 [Source:HGNC Symbol;Acc:HGNC:609]	2382	1.0408649444580078	0.42768753	Yes	
row_23	SAA2	serum amyloid A2 [Source:HGNC Symbol;Acc:HGNC:10514]	2421	0.9951620101928711	0.43586674	Yes	
row_24	SAA4	serum amyloid A4, constitutive [Source:HGNC Symbol;Acc:HGNC:10516]	2458	0.9099119901657104	0.44325224	Yes	
row_25	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]	2624	0.7204040288925171	0.4389811	Yes	
row_26	RDH16	retinol dehydrogenase 16 [Source:HGNC Symbol;Acc:HGNC:29674]	2644	0.6939809918403625	0.44524083	Yes	
row_27	HSD17B13	hydroxysteroid 17-beta dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:18685]	2858	0.46377599239349365	0.4345759	No	
row_28	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6 [Source:HGNC Symbol;Acc:HGNC:23316]	2905	0.46377599239349365	0.43629047	No	
row_29	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	2935	0.46377599239349365	0.43926525	No	
row_30	SLC27A5	solute carrier family 27 member 5 [Source:HGNC Symbol;Acc:HGNC:10999]	3017	0.45469799637794495	0.43828502	No	
row_31	APOC1	apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]	3126	0.4142040014266968	0.43485588	No	
row_32	SPP2	secreted phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:11256]	3463	0.3487350046634674	0.4138019	No	
row_33	C8B	complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]	3478	0.3242790102958679	0.41634727	No	
row_34	C8A	complement C8 alpha chain [Source:HGNC Symbol;Acc:HGNC:1352]	3479	0.3242790102958679	0.4199304	No	
row_35	CFHR4	complement factor H related 4 [Source:HGNC Symbol;Acc:HGNC:16979]	3501	0.3242790102958679	0.42195684	No	
row_36	HGFAC	HGF activator [Source:HGNC Symbol;Acc:HGNC:4894]	3655	0.3242790102958679	0.41419825	No	
row_37	UGT1A3	UDP glucuronosyltransferase family 1 member A3 [Source:HGNC Symbol;Acc:HGNC:12535]	3706	0.30325499176979065	0.41384262	No	
row_38	APOM	apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916]	3870	0.2695389986038208	0.4047379	No	
row_39	CFHR5	complement factor H related 5 [Source:HGNC Symbol;Acc:HGNC:24668]	4006	0.22879600524902344	0.39725858	No	
row_40	PON3	paraoxonase 3 [Source:HGNC Symbol;Acc:HGNC:9206]	4067	0.2255460023880005	0.395303	No	
row_41	DECR2	2,4-dienoyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:2754]	4076	0.2255460023880005	0.3972022	No	
row_42	CCL16	C-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:10614]	4127	0.19070599973201752	0.39560294	No	
row_43	UGT2B10	UDP glucuronosyltransferase family 2 member B10 [Source:HGNC Symbol;Acc:HGNC:12544]	4226	0.16358700394630432	0.39014587	No	
row_44	CYP4F3	cytochrome P450 family 4 subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:2646]	4261	0.16358700394630432	0.38943306	No	
row_45	UGT2B4	UDP glucuronosyltransferase family 2 member B4 [Source:HGNC Symbol;Acc:HGNC:12553]	4263	0.16358700394630432	0.39116648	No	
row_46	UGT1A4	UDP glucuronosyltransferase family 1 member A4 [Source:HGNC Symbol;Acc:HGNC:12536]	4268	0.16358700394630432	0.39267755	No	
row_47	C8G	complement C8 gamma chain [Source:HGNC Symbol;Acc:HGNC:1354]	4300	0.1298699975013733	0.39181456	No	
row_48	RTP3	receptor transporter protein 3 [Source:HGNC Symbol;Acc:HGNC:15572]	4327	0.1298699975013733	0.3913222	No	
row_49	PON1	paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]	4342	0.1298699975013733	0.3917194	No	
row_50	LBP	lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]	4388	0.1298699975013733	0.3898186	No	
row_51	APCS	amyloid P component, serum [Source:HGNC Symbol;Acc:HGNC:584]	4482	0.1298699975013733	0.38435963	No	
row_52	FGF21	fibroblast growth factor 21 [Source:HGNC Symbol;Acc:HGNC:3678]	4491	0.1298699975013733	0.3852016	No	
row_53	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	4502	0.1298699975013733	0.3858953	No	
row_54	DCXR	dicarbonyl and L-xylulose reductase [Source:HGNC Symbol;Acc:HGNC:18985]	4574	0.1298699975013733	0.38206717	No	
row_55	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	4679	0.06859300285577774	0.37511566	No	
row_56	ANGPTL6	angiopoietin like 6 [Source:HGNC Symbol;Acc:HGNC:23140]	4753	0.06859300285577774	0.37046218	No	
row_57	A1BG	alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]	4760	0.06859300285577774	0.37077534	No	
row_58	RNASE4	ribonuclease A family member 4 [Source:HGNC Symbol;Acc:HGNC:10047]	4828	0.050195999443531036	0.36636335	No	
row_59	CRP	C-reactive protein [Source:HGNC Symbol;Acc:HGNC:2367]	4880	0.034876998513936996	0.36296815	No	
row_60	CYP2D6	cytochrome P450 family 2 subfamily D member 6 [Source:HGNC Symbol;Acc:HGNC:2625]	4896	0.034876998513936996	0.36224157	No	
row_61	CYP2B6	cytochrome P450 family 2 subfamily B member 6 [Source:HGNC Symbol;Acc:HGNC:2615]	4898	0.034876998513936996	0.36255282	No	
row_62	CYP2C9	cytochrome P450 family 2 subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:2623]	4899	0.034876998513936996	0.3629382	No	
row_63	BDH1	3-hydroxybutyrate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:1027]	4902	0.034876998513936996	0.3631753	No	
row_64	HP	haptoglobin [Source:HGNC Symbol;Acc:HGNC:5141]	4906	0.034876998513936996	0.3633383	No	
row_65	CFHR2	complement factor H related 2 [Source:HGNC Symbol;Acc:HGNC:4890]	4964	0.034876998513936996	0.35949832	No	
row_66	FETUB	fetuin B [Source:HGNC Symbol;Acc:HGNC:3658]	4966	0.034876998513936996	0.35980958	No	
row_67	HPR	haptoglobin-related protein [Source:HGNC Symbol;Acc:HGNC:5156]	5001	0.034876998513936996	0.35767457	No	
row_68	SERPINA6	serpin family A member 6 [Source:HGNC Symbol;Acc:HGNC:1540]	5035	0.034876998513936996	0.35561368	No	
row_69	AHSG	alpha 2-HS glycoprotein [Source:HGNC Symbol;Acc:HGNC:349]	5080	0.034876998513936996	0.3527374	No	
row_70	ORM2	orosomucoid 2 [Source:HGNC Symbol;Acc:HGNC:8499]	5096	0.034876998513936996	0.35201082	No	
row_71	CYP3A43	cytochrome P450 family 3 subfamily A member 43 [Source:HGNC Symbol;Acc:HGNC:17450]	5104	0.034876998513936996	0.3518773	No	
row_72	CPB2	carboxypeptidase B2 [Source:HGNC Symbol;Acc:HGNC:2300]	5112	0.034876998513936996	0.35174376	No	
row_73	CPN2	carboxypeptidase N subunit 2 [Source:HGNC Symbol;Acc:HGNC:2313]	5122	0.034876998513936996	0.35146198	No	
row_74	CYP4F11	cytochrome P450 family 4 subfamily F member 11 [Source:HGNC Symbol;Acc:HGNC:13265]	5145	0.034876998513936996	0.35021654	No	
row_75	AMBP	alpha-1-microglobulin/bikunin precursor [Source:HGNC Symbol;Acc:HGNC:453]	5218	0.034876998513936996	0.3452646	No	
