NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HTR4	1	HTR4	
HTR6	1	HTR6	
HTR7	1	HTR7	
ORAI3	1	ORAI3	
AGTR1	1	AGTR1	
KCNA7	1	KCNA7	
KCNG3	1	KCNG3	
FADS3	1	FADS3	
FADS6	1	FADS6	
FADS1	1	FADS1	
DGAT1	1	DGAT1	
HTR1D	1	HTR1D	
HTR1B	1	HTR1B	
SLC49A4	1	SLC49A4	
SLC49A3	1	SLC49A3	
HTR2B	1	HTR2B	
HTR2A	1	HTR2A	
SLC36A1	1	SLC36A1	
SLC36A3	1	SLC36A3	
SLC36A2	1	SLC36A2	
HTR3C	1	HTR3C	
HTR3A	1	HTR3A	
HTR3B	1	HTR3B	
SLC36A4	1	SLC36A4	
KCNK1	1	KCNK1	
KCNK2	1	KCNK2	
SLC23A3	1	SLC23A3	
SLC23A2	1	SLC23A2	
SLC23A1	1	SLC23A1	
SOAT1	1	SOAT1	
SOAT2	1	SOAT2	
KCNN4	1	KCNN4	
SLC10A4	1	SLC10A4	
SLC10A5	1	SLC10A5	
SLC10A6	1	SLC10A6	
SLC10A3	1	SLC10A3	
ATP6AP1	1	ATP6AP1	
SV2B	1	SV2B	
TMEM229A	1	TMEM229A	
SLC35A2	1	SLC35A2	
SLC35B3	1	SLC35B3	
SLC35B2	1	SLC35B2	
NIPAL4	1	NIPAL4	
NIPAL1	1	NIPAL1	
NIPAL2	1	NIPAL2	
NIPAL3	1	NIPAL3	
SLC35A5	1	SLC35A5	
SLC22A4	1	SLC22A4	
SLC22A3	1	SLC22A3	
SLC22A6	1	SLC22A6	
SLC22A5	1	SLC22A5	
SLC35D1	1	SLC35D1	
SLC22A2	1	SLC22A2	
SLC35D3	1	SLC35D3	
SLC22A1	1	SLC22A1	
CRHR1	1	CRHR1	
CRHR2	1	CRHR2	
SLC35E1	1	SLC35E1	
SLC22A8	1	SLC22A8	
SLC22A7	1	SLC22A7	
SLC22A9	1	SLC22A9	
SLC35F3	1	SLC35F3	
SLC35F2	1	SLC35F2	
SLC35F5	1	SLC35F5	
SLC35F4	1	SLC35F4	
SLC35F1	1	SLC35F1	
SLC35G2	1	SLC35G2	
SLC35G1	1	SLC35G1	
SPPL2A	1	SPPL2A	
SVOP	1	SVOP	
MT-ND4	1	MT-ND4	
MT-ND5	1	MT-ND5	
SCAMP2	1	SCAMP2	
SLC47A2	1	SLC47A2	
SLC47A1	1	SLC47A1	
SLC34A3	1	SLC34A3	
SLC34A2	1	SLC34A2	
SLC34A1	1	SLC34A1	
SLC7A14	1	SLC7A14	
SLC7A13	1	SLC7A13	
SLC7A11	1	SLC7A11	
SLC7A10	1	SLC7A10	
YIPF3	1	YIPF3	
XK	1	XK	
HCAR3	1	HCAR3	
STT3A	1	STT3A	
GPR176	1	GPR176	
GPR161	1	GPR161	
GPR160	1	GPR160	
ALG10B	1	ALG10B	
OCSTAMP	1	OCSTAMP	
SLC16A12	1	SLC16A12	
SLC16A11	1	SLC16A11	
SLC16A10	1	SLC16A10	
GPR137B	1	GPR137B	
SLC16A14	1	SLC16A14	
GPR137C	1	GPR137C	
GPR180	1	GPR180	
GPR182	1	GPR182	
ELN	1	ELN	
GPR137	1	GPR137	
GPR135	1	GPR135	
GPR151	1	GPR151	
RNF139	1	RNF139	
RNF145	1	RNF145	
GPR143	1	GPR143	
GPR142	1	GPR142	
F2R	1	F2R	
STRA6	1	STRA6	
GPR108	1	GPR108	
ADRA2C	1	ADRA2C	
RNF26	1	RNF26	
SLC46A3	1	SLC46A3	
SLC46A1	1	SLC46A1	
SLC46A2	1	SLC46A2	
SLC33A1	1	SLC33A1	
AVPR1B	1	AVPR1B	
AVPR1A	1	AVPR1A	
SLC20A2	1	SLC20A2	
SLC20A1	1	SLC20A1	
PANX1	1	PANX1	
PANX3	1	PANX3	
SLC7A4	1	SLC7A4	
SLC7A5	1	SLC7A5	
SLC7A6	1	SLC7A6	
SLC7A7	1	SLC7A7	
SLC7A8	1	SLC7A8	
SLC7A9	1	SLC7A9	
SLC7A1	1	SLC7A1	
SLC7A2	1	SLC7A2	
SLC7A3	1	SLC7A3	
SLC14A1	1	SLC14A1	
SLC5A11	1	SLC5A11	
SLC5A12	1	SLC5A12	
SLC5A10	1	SLC5A10	
NPY4R2	1	NPY4R2	
AGPAT3	1	AGPAT3	
AGPAT4	1	AGPAT4	
ACKR2	1	ACKR2	
SGMS1	1	SGMS1	
SGMS2	1	SGMS2	
SLC8B1	1	SLC8B1	
SLC39A8	1	SLC39A8	
SLC26A1	1	SLC26A1	
SLC26A7	1	SLC26A7	
SLC13A1	1	SLC13A1	
SLC13A2	1	SLC13A2	
SLC13A3	1	SLC13A3	
SLC13A4	1	SLC13A4	
SLC13A5	1	SLC13A5	
GPR37L1	1	GPR37L1	
GABRD	1	GABRD	
GABRP	1	GABRP	
ALG12	1	ALG12	
ALG10	1	ALG10	
RHBDD3	1	RHBDD3	
RHBDD2	1	RHBDD2	
RHBDL3	1	RHBDL3	
GPR17	1	GPR17	
GPR19	1	GPR19	
GPR22	1	GPR22	
GPR34	1	GPR34	
PTH2R	1	PTH2R	
VN1R2	1	VN1R2	
ANO10	1	ANO10	
GPR68	1	GPR68	
GPR63	1	GPR63	
GPR61	1	GPR61	
GPR62	1	GPR62	
SLC38A1	1	SLC38A1	
GPR75	1	GPR75	
SLC9B1	1	SLC9B1	
SLC9B2	1	SLC9B2	
SLC9A6	1	SLC9A6	
SLC9A7	1	SLC9A7	
SLC9A8	1	SLC9A8	
SLC9A9	1	SLC9A9	
GPR87	1	GPR87	
GPR88	1	GPR88	
GPR83	1	GPR83	
GPR84	1	GPR84	
SLC38A7	1	SLC38A7	
SLC38A6	1	SLC38A6	
SLC38A9	1	SLC38A9	
SLC38A8	1	SLC38A8	
SLC38A3	1	SLC38A3	
SLC38A2	1	SLC38A2	
SLC38A5	1	SLC38A5	
SLC38A4	1	SLC38A4	
MBOAT7	1	MBOAT7	
MBOAT1	1	MBOAT1	
MBOAT2	1	MBOAT2	
MBOAT4	1	MBOAT4	
SLC12A8	1	SLC12A8	
PAQR9	1	PAQR9	
PSEN2	1	PSEN2	
PSEN1	1	PSEN1	
MCHR1	1	MCHR1	
DOLK	1	DOLK	
SSTR1	1	SSTR1	
SSTR4	1	SSTR4	
SSTR5	1	SSTR5	
LMBRD1	1	LMBRD1	
CLN3	1	CLN3	
CHPT1	1	CHPT1	
MBTPS2	1	MBTPS2	
RXFP4	1	RXFP4	
