NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNIH2	cornichon family AMPA receptor auxiliary protein 2 [Source:HGNC Symbol;Acc:HGNC:28744]	18	2.897758960723877	0.009088743	Yes	
row_1	OR14I1	olfactory receptor family 14 subfamily I member 1 [Source:HGNC Symbol;Acc:HGNC:19575]	122	2.272860050201416	0.009577609	Yes	
row_2	NKAIN4	sodium/potassium transporting ATPase interacting 4 [Source:HGNC Symbol;Acc:HGNC:16191]	155	2.1940650939941406	0.015086819	Yes	
row_3	LHFPL3	LHFPL tetraspan subfamily member 3 [Source:HGNC Symbol;Acc:HGNC:6589]	159	2.184575080871582	0.022728305	Yes	
row_4	TMEM144	transmembrane protein 144 [Source:HGNC Symbol;Acc:HGNC:25633]	213	2.1121509075164795	0.026373781	Yes	
row_5	OR9A2	olfactory receptor family 9 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:15093]	266	2.051374912261963	0.029875135	Yes	
row_6	MC3R	melanocortin 3 receptor [Source:HGNC Symbol;Acc:HGNC:6931]	427	1.9183369874954224	0.024829354	Yes	
row_7	ZDHHC22	zinc finger DHHC-type palmitoyltransferase 22 [Source:HGNC Symbol;Acc:HGNC:20106]	440	1.908682942390442	0.03080514	Yes	
row_8	NKAIN2	sodium/potassium transporting ATPase interacting 2 [Source:HGNC Symbol;Acc:HGNC:16443]	457	1.895264983177185	0.036433797	Yes	
row_9	GPR6	G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:HGNC:4515]	495	1.8706259727478027	0.04040494	Yes	
row_10	MRGPRE	MAS related GPR family member E [Source:HGNC Symbol;Acc:HGNC:30694]	519	1.8487850427627563	0.045343306	Yes	
row_11	TMEM235	transmembrane protein 235 [Source:HGNC Symbol;Acc:HGNC:27563]	566	1.80623197555542	0.048410248	Yes	
row_12	SLC5A7	solute carrier family 5 member 7 [Source:HGNC Symbol;Acc:HGNC:14025]	641	1.7444380521774292	0.049162965	Yes	
row_13	RPRML	reprimo like [Source:HGNC Symbol;Acc:HGNC:32422]	671	1.7180490493774414	0.053182386	Yes	
row_14	CTXN1	cortexin 1 [Source:HGNC Symbol;Acc:HGNC:31108]	685	1.7029370069503784	0.058342677	Yes	
row_15	PAQR6	progestin and adipoQ receptor family member 6 [Source:HGNC Symbol;Acc:HGNC:30132]	689	1.7011679410934448	0.064243644	Yes	
row_16	PLP1	proteolipid protein 1 [Source:HGNC Symbol;Acc:HGNC:9086]	690	1.7006930112838745	0.07036702	Yes	
row_17	GPM6B	glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461]	862	1.546694040298462	0.06316138	Yes	
row_18	CERS1	ceramide synthase 1 [Source:HGNC Symbol;Acc:HGNC:14253]	866	1.5433529615402222	0.06849413	Yes	
