NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMEM258	transmembrane protein 258 [Source:HGNC Symbol;Acc:HGNC:1164]	7	3.2545790672302246	0.017716458	Yes	
row_1	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	29	2.797600030899048	0.03183803	Yes	
row_2	MAL	mal, T cell differentiation protein [Source:HGNC Symbol;Acc:HGNC:6817]	30	2.7850210666656494	0.047441117	Yes	
row_3	GOLT1B	golgi transport 1B [Source:HGNC Symbol;Acc:HGNC:20175]	46	2.582632064819336	0.060801756	Yes	
row_4	ATP6V0B	ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861]	53	2.5382540225982666	0.0745789	Yes	
row_5	PMP22	peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]	54	2.5234038829803467	0.08871628	Yes	
row_6	TMBIM4	transmembrane BAX inhibitor motif containing 4 [Source:HGNC Symbol;Acc:HGNC:24257]	150	2.2009708881378174	0.09402631	Yes	
row_7	DAD1	defender against cell death 1 [Source:HGNC Symbol;Acc:HGNC:2664]	198	2.131500005722046	0.102494545	Yes	
row_8	TMEM50B	transmembrane protein 50B [Source:HGNC Symbol;Acc:HGNC:1280]	272	2.040585994720459	0.108531915	Yes	
row_9	LAPTM4A	lysosomal protein transmembrane 4 alpha [Source:HGNC Symbol;Acc:HGNC:6924]	403	1.9387860298156738	0.1097864	Yes	
row_10	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	483	1.8791639804840088	0.11447597	Yes	
row_11	LHFPL2	LHFPL tetraspan subfamily member 2 [Source:HGNC Symbol;Acc:HGNC:6588]	533	1.8283339738845825	0.12109791	Yes	
row_12	VKORC1	vitamin K epoxide reductase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23663]	604	1.7830040454864502	0.12591389	Yes	
