NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMEM147	transmembrane protein 147 [Source:HGNC Symbol;Acc:HGNC:30414]	24	2.835437059402466	0.018813165	No	
row_1	ALOX5AP	arachidonate 5-lipoxygenase activating protein [Source:HGNC Symbol;Acc:HGNC:436]	675	1.7164549827575684	-0.016613469	No	
row_2	FCER1G	Fc fragment of IgE receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	841	1.5692460536956787	-0.01737856	No	
row_3	GET1	guided entry of tail-anchored proteins factor 1 [Source:HGNC Symbol;Acc:HGNC:12790]	1026	1.3970860242843628	-0.020793023	No	
row_4	FAIM2	Fas apoptotic inhibitory molecule 2 [Source:HGNC Symbol;Acc:HGNC:17067]	1087	1.342000961303711	-0.015472213	No	
row_5	MPV17	mitochondrial inner membrane protein MPV17 [Source:HGNC Symbol;Acc:HGNC:7224]	1090	1.3407210111618042	-0.00588782	No	
row_6	CLDN10	claudin 10 [Source:HGNC Symbol;Acc:HGNC:2033]	1115	1.3186759948730469	0.0019158112	No	
row_7	COX7A2L	cytochrome c oxidase subunit 7A2 like [Source:HGNC Symbol;Acc:HGNC:2289]	1377	1.1089080572128296	-0.009263025	No	
row_8	CEPT1	choline/ethanolamine phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:24289]	1511	1.015637993812561	-0.011689076	No	
row_9	GPR22	G protein-coupled receptor 22 [Source:HGNC Symbol;Acc:HGNC:4477]	1630	0.9261369705200195	-0.013659724	No	
row_10	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	1633	0.924140989780426	-0.007099112	No	
row_11	COX7C	cytochrome c oxidase subunit 7C [Source:HGNC Symbol;Acc:HGNC:2292]	1683	0.8845890164375305	-0.0042880923	No	
row_12	SLC25A6	solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]	1710	0.8626300096511841	5.79514E-5	No	
row_13	PANX1	pannexin 1 [Source:HGNC Symbol;Acc:HGNC:8599]	1873	0.7426180243492126	-0.0064862757	No	
