NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAQR4	progestin and adipoQ receptor family member 4 [Source:HGNC Symbol;Acc:HGNC:26386]	294	2.0202889442443848	-0.008944921	No	
row_1	SLC36A1	solute carrier family 36 member 1 [Source:HGNC Symbol;Acc:HGNC:18761]	860	1.547732949256897	-0.040876422	No	
row_2	SLC18A2	solute carrier family 18 member A2 [Source:HGNC Symbol;Acc:HGNC:10935]	933	1.4811040163040161	-0.036839467	No	
row_3	SLC17A9	solute carrier family 17 member 9 [Source:HGNC Symbol;Acc:HGNC:16192]	948	1.4670310020446777	-0.02861029	No	
row_4	FLVCR2	FLVCR heme transporter 2 [Source:HGNC Symbol;Acc:HGNC:20105]	1331	1.144629955291748	-0.04957937	No	
row_5	MICOS10	mitochondrial contact site and cristae organizing system subunit 10 [Source:HGNC Symbol;Acc:HGNC:32068]	1442	1.0642750263214111	-0.05097903	No	
row_6	NINJ2	ninjurin 2 [Source:HGNC Symbol;Acc:HGNC:7825]	1480	1.0332380533218384	-0.047186404	No	
row_7	P2RY13	purinergic receptor P2Y13 [Source:HGNC Symbol;Acc:HGNC:4537]	1733	0.8491129875183105	-0.060425807	No	
row_8	PXMP4	peroxisomal membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:15920]	1804	0.7875639796257019	-0.0606201	No	
row_9	TMEM273	transmembrane protein 273 [Source:HGNC Symbol;Acc:HGNC:27274]	1833	0.7674139738082886	-0.05784153	No	
row_10	TMTC4	transmembrane O-mannosyltransferase targeting cadherins 4 [Source:HGNC Symbol;Acc:HGNC:25904]	1917	0.7091299891471863	-0.05949059	No	
row_11	SAMM50	SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:HGNC:24276]	2070	0.6028910279273987	-0.06690343	No	
row_12	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	2672	0.23123900592327118	-0.10980422	No	
row_13	GATC	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068]	3259	-0.04206100106239319	-0.15279227	No	
row_14	ATP5PF	ATP synthase peripheral stalk subunit F6 [Source:HGNC Symbol;Acc:HGNC:847]	3450	-0.11668899655342102	-0.16607973	No	
row_15	HSBP1	heat shock factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5203]	3590	-0.16824999451637268	-0.17527726	No	
row_16	SLC25A12	solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]	3726	-0.2163030058145523	-0.18387613	No	
row_17	MRPL24	mitochondrial ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:14037]	3738	-0.22098900377750397	-0.18329278	No	
row_18	MRS2	magnesium transporter MRS2 [Source:HGNC Symbol;Acc:HGNC:13785]	3775	-0.232574000954628	-0.18448158	No	
row_19	COA5	cytochrome c oxidase assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:33848]	3848	-0.25262999534606934	-0.18820095	No	
row_20	PCYOX1L	prenylcysteine oxidase 1 like [Source:HGNC Symbol;Acc:HGNC:28477]	3942	-0.2754560112953186	-0.19332626	No	
row_21	ROGDI	rogdi atypical leucine zipper [Source:HGNC Symbol;Acc:HGNC:29478]	4136	-0.3308219909667969	-0.20548317	No	
row_22	MRPL20	mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478]	4211	-0.3558340072631836	-0.20869857	No	
row_23	HNRNPM	heterogeneous nuclear ribonucleoprotein M [Source:HGNC Symbol;Acc:HGNC:5046]	4226	-0.3595620095729828	-0.20746173	No	
row_24	POP5	POP5 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:17689]	4232	-0.36313900351524353	-0.20553799	No	
row_25	TIMM50	translocase of inner mitochondrial membrane 50 [Source:HGNC Symbol;Acc:HGNC:23656]	4259	-0.3695789873600006	-0.20512365	No	
row_26	FKBP14	FKBP prolyl isomerase 14 [Source:HGNC Symbol;Acc:HGNC:18625]	4414	-0.41465699672698975	-0.21387258	No	
row_27	ABHD15	abhydrolase domain containing 15 [Source:HGNC Symbol;Acc:HGNC:26971]	4580	-0.4551610052585602	-0.2231777	No	
row_28	PSMG4	proteasome assembly chaperone 4 [Source:HGNC Symbol;Acc:HGNC:21108]	4614	-0.46413201093673706	-0.22268306	No	
row_29	ENDOG	endonuclease G [Source:HGNC Symbol;Acc:HGNC:3346]	4635	-0.4679900109767914	-0.22120449	No	
row_30	CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	4640	-0.468639999628067	-0.21854083	No	
row_31	GTF2A2	general transcription factor IIA subunit 2 [Source:HGNC Symbol;Acc:HGNC:4647]	4707	-0.48555999994277954	-0.22034667	No	
row_32	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7 [Source:HGNC Symbol;Acc:HGNC:28314]	4913	-0.5354710221290588	-0.23209721	No	
row_33	CCDC51	coiled-coil domain containing 51 [Source:HGNC Symbol;Acc:HGNC:25714]	5078	-0.5701220035552979	-0.24060267	No	
