NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC19A2	solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]	764	1.6389299631118774	-0.045010142	No	
row_1	CMTM4	CKLF like MARVEL transmembrane domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19175]	1602	0.9462869763374329	-0.10020152	No	
row_2	TMEM273	transmembrane protein 273 [Source:HGNC Symbol;Acc:HGNC:27274]	1833	0.7674139738082886	-0.11185426	No	
row_3	CASD1	CAS1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16014]	1941	0.6910669803619385	-0.1149622	No	
row_4	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	2008	0.6470360159873962	-0.11535053	No	
row_5	PET100	PET100 cytochrome c oxidase chaperone [Source:HGNC Symbol;Acc:HGNC:40038]	2230	0.5067639946937561	-0.12814422	No	
row_6	TNFSF14	TNF superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11930]	2756	0.18399600684642792	-0.16559839	No	
row_7	TRPV2	transient receptor potential cation channel subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:18082]	3056	0.05379199981689453	-0.18728256	No	
row_8	FAM168B	family with sequence similarity 168 member B [Source:HGNC Symbol;Acc:HGNC:27016]	3122	0.024390000849962234	-0.1919086	No	
row_9	GATC	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068]	3259	-0.04206100106239319	-0.20164981	No	
row_10	CDCA4	cell division cycle associated 4 [Source:HGNC Symbol;Acc:HGNC:14625]	3724	-0.21579499542713165	-0.23438394	No	
row_11	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	3804	-0.23953300714492798	-0.23855299	No	
row_12	GXYLT1	glucoside xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:27482]	3810	-0.24151700735092163	-0.23724945	No	
row_13	THBD	thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]	4116	-0.32375800609588623	-0.25750688	No	
row_14	RNF185	ring finger protein 185 [Source:HGNC Symbol;Acc:HGNC:26783]	4129	-0.3284350037574768	-0.25611785	No	
row_15	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein [Source:HGNC Symbol;Acc:HGNC:17146]	4298	-0.38155999779701233	-0.2658688	No	
row_16	RNF7	ring finger protein 7 [Source:HGNC Symbol;Acc:HGNC:10070]	4310	-0.3856219947338104	-0.26401004	No	
row_17	NME3	NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:7851]	4389	-0.40856099128723145	-0.2669349	No	
row_18	FKBP14	FKBP prolyl isomerase 14 [Source:HGNC Symbol;Acc:HGNC:18625]	4414	-0.41465699672698975	-0.26583406	No	
row_19	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	4484	-0.43035900592803955	-0.26794407	No	
row_20	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]	4505	-0.4357450008392334	-0.26640216	No	
