NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAQR4	progestin and adipoQ receptor family member 4 [Source:HGNC Symbol;Acc:HGNC:26386]	294	2.0202889442443848	-0.0012244143	No	
row_1	EBP	EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]	935	1.478577971458435	-0.033337492	No	
row_2	SLC25A15	solute carrier family 25 member 15 [Source:HGNC Symbol;Acc:HGNC:10985]	1282	1.1882940530776978	-0.046775356	No	
row_3	SLC38A1	solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]	1430	1.0711729526519775	-0.04677196	No	
row_4	PRELID3B	PRELI domain containing 3B [Source:HGNC Symbol;Acc:HGNC:15892]	3444	-0.11539699882268906	-0.19352475	No	
row_5	OIP5	Opa interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:20300]	3744	-0.22256800532341003	-0.21325043	No	
row_6	ASF1B	anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996]	3791	-0.23643100261688232	-0.21424563	No	
row_7	MCUB	mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]	3921	-0.2712959945201874	-0.22098805	No	
row_8	RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	3995	-0.29056599736213684	-0.22342117	No	
row_9	CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	4065	-0.3082680106163025	-0.2253818	No	
row_10	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	4163	-0.3376759886741638	-0.22910325	No	
row_11	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B [Source:HGNC Symbol;Acc:HGNC:17352]	4332	-0.38900598883628845	-0.23752406	No	
row_12	NETO2	neuropilin and tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:14644]	4830	-0.5142819881439209	-0.26885638	No	
row_13	GGH	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	4925	-0.5376710295677185	-0.27034003	No	
row_14	GINS1	GINS complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28980]	5090	-0.5724310278892517	-0.27661666	No	
row_15	TK1	thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]	5216	-0.5947409868240356	-0.27980253	No	
row_16	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	5598	-0.667343020439148	-0.30106714	No	
