NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APH1B	aph-1 homolog B, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:24080]	72	2.452249050140381	0.0843392	Yes	
row_1	TMEM170B	transmembrane protein 170B [Source:HGNC Symbol;Acc:HGNC:34244]	141	2.2239201068878174	0.1606278	Yes	
row_2	AIG1	androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:21607]	1110	1.320809006690979	0.13808866	Yes	
row_3	SLC22A15	solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301]	1111	1.3207299709320068	0.18634826	Yes	
row_4	SYNGR1	synaptogyrin 1 [Source:HGNC Symbol;Acc:HGNC:11498]	1216	1.2394800186157227	0.22403221	Yes	
row_5	SLC12A8	solute carrier family 12 member 8 [Source:HGNC Symbol;Acc:HGNC:15595]	1559	0.9789400100708008	0.23478815	Yes	
row_6	FAM3C	FAM3 metabolism regulating signaling molecule C [Source:HGNC Symbol;Acc:HGNC:18664]	3189	-0.0015330000314861536	0.115695536	No	
row_7	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	3666	-0.19773100316524506	0.08810496	No	
row_8	AMIGO2	adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	3928	-0.27217599749565125	0.07896019	No	
row_9	CHST11	carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422]	4299	-0.38162899017333984	0.065842345	No	
row_10	MOXD1	monooxygenase DBH like 1 [Source:HGNC Symbol;Acc:HGNC:21063]	5649	-0.6771339774131775	-0.008083925	No	
row_11	ESRRG	estrogen related receptor gamma [Source:HGNC Symbol;Acc:HGNC:3474]	6759	-0.8378599882125854	-0.05858312	No	
row_12	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	7276	-0.9057620167732239	-0.063227855	No	
row_13	KLHL42	kelch like family member 42 [Source:HGNC Symbol;Acc:HGNC:29252]	8303	-1.0292019844055176	-0.10066459	No	
row_14	RAD17	RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807]	8906	-1.0919389724731445	-0.10479663	No	
row_15	STXBP6	syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]	9726	-1.173630952835083	-0.12181549	No	
row_16	CAMK1D	calcium/calmodulin dependent protein kinase ID [Source:HGNC Symbol;Acc:HGNC:19341]	9965	-1.201280951499939	-0.0953284	No	
row_17	TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	9993	-1.2044780254364014	-0.053291485	No	
row_18	MOB1B	MOB kinase activator 1B [Source:HGNC Symbol;Acc:HGNC:29801]	10700	-1.2757890224456787	-0.058312405	No	
row_19	STRBP	spermatid perinuclear RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16462]	11194	-1.3261090517044067	-0.045915343	No	
row_20	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	11807	-1.3980870246887207	-0.03959212	No	
row_21	SEC62	SEC62 homolog, preprotein translocation factor [Source:HGNC Symbol;Acc:HGNC:11846]	12504	-1.489853024482727	-0.0360597	No	
row_22	ZNF275	zinc finger protein 275 [Source:HGNC Symbol;Acc:HGNC:13069]	13108	-1.606482982635498	-0.021463387	No	
row_23	BRSK1	BR serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:18994]	13510	-1.7603830099105835	0.013531175	No	
