NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC44A4	solute carrier family 44 member 4 [Source:HGNC Symbol;Acc:HGNC:13941]	44	2.9493370056152344	0.012626476	Yes	
row_1	POMT1	protein O-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:9202]	45	2.920680046081543	0.028363125	Yes	
row_2	MACO1	macoilin 1 [Source:HGNC Symbol;Acc:HGNC:25572]	61	2.8127551078796387	0.042405352	Yes	
row_3	RNF103	ring finger protein 103 [Source:HGNC Symbol;Acc:HGNC:12859]	80	2.6092588901519775	0.055128552	Yes	
row_4	SLC26A11	solute carrier family 26 member 11 [Source:HGNC Symbol;Acc:HGNC:14471]	237	2.0555710792541504	0.054629568	Yes	
row_5	TAPT1	transmembrane anterior posterior transformation 1 [Source:HGNC Symbol;Acc:HGNC:26887]	296	1.927575945854187	0.060712054	Yes	
row_6	SLC7A8	solute carrier family 7 member 8 [Source:HGNC Symbol;Acc:HGNC:11066]	323	1.8606430292129517	0.068808146	Yes	
row_7	LRP3	LDL receptor related protein 3 [Source:HGNC Symbol;Acc:HGNC:6695]	336	1.8334230184555054	0.07779631	Yes	
row_8	SLC24A3	solute carrier family 24 member 3 [Source:HGNC Symbol;Acc:HGNC:10977]	397	1.715898036956787	0.08258988	Yes	
row_9	IQCE	IQ motif containing E [Source:HGNC Symbol;Acc:HGNC:29171]	477	1.5984989404678345	0.08534121	Yes	
row_10	GPRC5C	G protein-coupled receptor class C group 5 member C [Source:HGNC Symbol;Acc:HGNC:13309]	498	1.582077980041504	0.09238156	Yes	
row_11	SLC37A1	solute carrier family 37 member 1 [Source:HGNC Symbol;Acc:HGNC:11024]	630	1.4310840368270874	0.090372704	Yes	
row_12	GRAMD4	GRAM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:29113]	632	1.4290059804916382	0.09799801	Yes	
row_13	SLC38A1	solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]	648	1.4033210277557373	0.10444619	Yes	
row_14	ABCG1	ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73]	661	1.393123984336853	0.11106201	Yes	
row_15	PATZ1	POZ/BTB and AT hook containing zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13071]	672	1.3788570165634155	0.117749356	Yes	
row_16	PRLR	prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]	740	1.3130429983139038	0.11985298	Yes	
row_17	SLC16A6	solute carrier family 16 member 6 [Source:HGNC Symbol;Acc:HGNC:10927]	746	1.3060619831085205	0.12651908	Yes	
row_18	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	750	1.3015199899673462	0.1333091	Yes	
row_19	TNIP1	TNFAIP3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16903]	761	1.2956279516220093	0.139548	Yes	
row_20	TLE3	TLE family member 3, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11839]	789	1.2733650207519531	0.14440563	Yes	
row_21	GPR160	G protein-coupled receptor 160 [Source:HGNC Symbol;Acc:HGNC:23693]	820	1.2491029500961304	0.14890997	Yes	
row_22	CREB3L1	cAMP responsive element binding protein 3 like 1 [Source:HGNC Symbol;Acc:HGNC:18856]	834	1.2343260049819946	0.15459599	Yes	
row_23	ZNF74	zinc finger protein 74 [Source:HGNC Symbol;Acc:HGNC:13144]	837	1.2326380014419556	0.16108906	Yes	
row_24	EPS8L1	EPS8 like 1 [Source:HGNC Symbol;Acc:HGNC:21295]	866	1.210837960243225	0.16553561	Yes	
row_25	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	933	1.16013503074646	0.16688956	Yes	
row_26	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]	936	1.1585949659347534	0.17298369	Yes	
row_27	VIPR1	vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]	959	1.1377439498901367	0.17748158	Yes	
row_28	TBC1D16	TBC1 domain family member 16 [Source:HGNC Symbol;Acc:HGNC:28356]	991	1.1176639795303345	0.18120351	Yes	
