NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH8	cadherin 8 [Source:HGNC Symbol;Acc:HGNC:1767]	131	2.3902409076690674	0.01337684	Yes	
row_1	SPIRE1	spire type actin nucleation factor 1 [Source:HGNC Symbol;Acc:HGNC:30622]	187	2.2044169902801514	0.030556323	Yes	
row_2	HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	258	1.9880750179290771	0.04454898	Yes	
row_3	ALG8	ALG8 alpha-1,3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23161]	291	1.9386099576950073	0.06086131	Yes	
row_4	TSHR	thyroid stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:12373]	356	1.8019839525222778	0.073503576	Yes	
row_5	FAM178B	family with sequence similarity 178 member B [Source:HGNC Symbol;Acc:HGNC:28036]	376	1.7602720260620117	0.0890552	Yes	
row_6	HIC1	HIC ZBTB transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:4909]	402	1.7046849727630615	0.103630126	Yes	
row_7	CWH43	cell wall biogenesis 43 C-terminal homolog [Source:HGNC Symbol;Acc:HGNC:26133]	441	1.6597239971160889	0.1168156	Yes	
row_8	SLC1A7	solute carrier family 1 member 7 [Source:HGNC Symbol;Acc:HGNC:10945]	609	1.4494620561599731	0.11848489	Yes	
row_9	SLC22A13	solute carrier family 22 member 13 [Source:HGNC Symbol;Acc:HGNC:8494]	655	1.3958569765090942	0.12861454	Yes	
row_10	FZD7	frizzled class receptor 7 [Source:HGNC Symbol;Acc:HGNC:4045]	702	1.3465059995651245	0.13819544	Yes	
row_11	SLC16A14	solute carrier family 16 member 14 [Source:HGNC Symbol;Acc:HGNC:26417]	782	1.279628038406372	0.14470427	Yes	
row_12	ADGRG5	adhesion G protein-coupled receptor G5 [Source:HGNC Symbol;Acc:HGNC:19010]	843	1.2275819778442383	0.15210994	Yes	
row_13	CHRM4	cholinergic receptor muscarinic 4 [Source:HGNC Symbol;Acc:HGNC:1953]	861	1.2142870426177979	0.16255145	Yes	
row_14	SLC22A8	solute carrier family 22 member 8 [Source:HGNC Symbol;Acc:HGNC:10972]	918	1.169551968574524	0.16969267	Yes	
row_15	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	933	1.16013503074646	0.17983349	Yes	
row_16	FLRT3	fibronectin leucine rich transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3762]	1034	1.0898489952087402	0.18296981	Yes	
row_17	KCNJ4	potassium inwardly rectifying channel subfamily J member 4 [Source:HGNC Symbol;Acc:HGNC:6265]	1108	1.0323189496994019	0.18753879	Yes	
row_18	OPN3	opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]	1187	0.980633020401001	0.19124217	Yes	
row_19	TMEM198	transmembrane protein 198 [Source:HGNC Symbol;Acc:HGNC:33704]	1216	0.9609410166740417	0.19843487	Yes	
row_20	CCDC96	coiled-coil domain containing 96 [Source:HGNC Symbol;Acc:HGNC:26900]	1240	0.9459400177001953	0.205851	Yes	
row_21	HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	1423	0.8402100205421448	0.20055015	No	
row_22	SHCBP1	SHC binding and spindle associated 1 [Source:HGNC Symbol;Acc:HGNC:29547]	1608	0.752767026424408	0.19426017	No	
row_23	ENDOD1	endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129]	1689	0.713388979434967	0.19524312	No	
row_24	CENPI	centromere protein I [Source:HGNC Symbol;Acc:HGNC:3968]	2036	0.581089973449707	0.1753804	No	
row_25	NDC80	NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909]	2186	0.5298500061035156	0.16951917	No	
row_26	FIGNL1	fidgetin like 1 [Source:HGNC Symbol;Acc:HGNC:13286]	2350	0.48055800795555115	0.16215323	No	
row_27	EGFL6	EGF like domain multiple 6 [Source:HGNC Symbol;Acc:HGNC:3235]	2368	0.47538501024246216	0.16547987	No	
row_28	ITPRIPL1	ITPRIP like 1 [Source:HGNC Symbol;Acc:HGNC:29371]	2394	0.46834999322891235	0.16815014	No	
row_29	ZC2HC1C	zinc finger C2HC-type containing 1C [Source:HGNC Symbol;Acc:HGNC:20354]	2565	0.4200260043144226	0.1596863	No	
