NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLCO3A1	solute carrier organic anion transporter family member 3A1 [Source:HGNC Symbol;Acc:HGNC:10952]	91	2.5724289417266846	0.029198546	Yes	
row_1	PGAP6	post-glycosylphosphatidylinositol attachment to proteins 6 [Source:HGNC Symbol;Acc:HGNC:17205]	110	2.470318078994751	0.06233525	Yes	
row_2	VEZT	vezatin, adherens junctions transmembrane protein [Source:HGNC Symbol;Acc:HGNC:18258]	172	2.280467987060547	0.08966495	Yes	
row_3	LBR	lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]	193	2.1820240020751953	0.11863326	Yes	
row_4	PCDHB3	protocadherin beta 3 [Source:HGNC Symbol;Acc:HGNC:8688]	447	1.6491650342941284	0.12305263	Yes	
row_5	ADD3	adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]	514	1.5684759616851807	0.14008331	Yes	
row_6	IL23R	interleukin 23 receptor [Source:HGNC Symbol;Acc:HGNC:19100]	532	1.5413730144500732	0.16033542	Yes	
row_7	GPRC5B	G protein-coupled receptor class C group 5 member B [Source:HGNC Symbol;Acc:HGNC:13308]	591	1.4742929935455322	0.17664	Yes	
row_8	SPNS1	sphingolipid transporter 1 (putative) [Source:HGNC Symbol;Acc:HGNC:30621]	600	1.46281099319458	0.19645737	Yes	
row_9	UNKL	unk like zinc finger [Source:HGNC Symbol;Acc:HGNC:14184]	828	1.2399319410324097	0.1970782	Yes	
row_10	VIPR1	vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]	959	1.1377439498901367	0.20339912	Yes	
row_11	SEMA4F	ssemaphorin 4F [Source:HGNC Symbol;Acc:HGNC:10734]	1015	1.100640058517456	0.21471192	Yes	
row_12	FLRT2	fibronectin leucine rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3761]	1119	1.02544105052948	0.22144972	Yes	
row_13	TMEM79	transmembrane protein 79 [Source:HGNC Symbol;Acc:HGNC:28196]	1153	1.0051649808883667	0.23304681	Yes	
row_14	ARHGEF16	Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]	1160	0.9996740221977234	0.24655071	Yes	
row_15	EXOC8	exocyst complex component 8 [Source:HGNC Symbol;Acc:HGNC:24659]	1837	0.6552299857139587	0.20603223	No	
row_16	ADRB2	adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]	1847	0.6499050259590149	0.21443675	No	
row_17	C8B	complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]	1951	0.6143929958343506	0.21544075	No	
row_18	KCNK4	potassium two pore domain channel subfamily K member 4 [Source:HGNC Symbol;Acc:HGNC:6279]	1997	0.597087025642395	0.22046398	No	
row_19	RRN3	RRN3 homolog, RNA polymerase I transcription factor [Source:HGNC Symbol;Acc:HGNC:30346]	2025	0.5850390195846558	0.2266414	No	
row_20	VEGFC	vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]	2253	0.5108010172843933	0.21709144	No	
row_21	TMEM43	transmembrane protein 43 [Source:HGNC Symbol;Acc:HGNC:28472]	2354	0.4794209897518158	0.21643306	No	
row_22	RNF128	ring finger protein 128 [Source:HGNC Symbol;Acc:HGNC:21153]	2392	0.46862098574638367	0.22025196	No	
row_23	CD96	CD96 molecule [Source:HGNC Symbol;Acc:HGNC:16892]	2837	0.35418498516082764	0.19257668	No	
row_24	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	2879	0.34546899795532227	0.19438386	No	
