NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC9A7	solute carrier family 9 member A7 [Source:HGNC Symbol;Acc:HGNC:17123]	22	3.2254130840301514	0.008674283	Yes	
row_1	CLCN4	chloride voltage-gated channel 4 [Source:HGNC Symbol;Acc:HGNC:2022]	67	2.7775490283966064	0.014262261	Yes	
row_2	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	73	2.693211078643799	0.022509465	Yes	
row_3	SLC5A1	solute carrier family 5 member 1 [Source:HGNC Symbol;Acc:HGNC:11036]	97	2.551253080368042	0.028950207	Yes	
row_4	STRA6	signaling receptor and transporter of retinol STRA6 [Source:HGNC Symbol;Acc:HGNC:30650]	99	2.5339341163635254	0.036987897	Yes	
row_5	SMO	smoothened, frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]	102	2.502305030822754	0.04484921	Yes	
row_6	RNF43	ring finger protein 43 [Source:HGNC Symbol;Acc:HGNC:18505]	132	2.3851490020751953	0.05030749	Yes	
row_7	RFWD3	ring finger and WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:25539]	144	2.363748073577881	0.05704921	Yes	
row_8	SLCO2A1	solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955]	146	2.3599910736083984	0.06452999	Yes	
row_9	LBR	lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]	193	2.1820240020751953	0.06806108	Yes	
row_10	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	240	2.048240900039673	0.07116385	Yes	
row_11	SLC6A19	solute carrier family 6 member 19 [Source:HGNC Symbol;Acc:HGNC:27960]	247	2.0338239669799805	0.077224806	Yes	
row_12	PIGW	phosphatidylinositol glycan anchor biosynthesis class W [Source:HGNC Symbol;Acc:HGNC:23213]	268	1.9745880365371704	0.082044594	Yes	
row_13	MT-CO1	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	288	1.9450910091400146	0.08684505	Yes	
row_14	ALG8	ALG8 alpha-1,3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23161]	291	1.9386099576950073	0.092901595	Yes	
row_15	CHRM3	cholinergic receptor muscarinic 3 [Source:HGNC Symbol;Acc:HGNC:1952]	309	1.905102014541626	0.09772424	Yes	
row_16	SLC7A7	solute carrier family 7 member 7 [Source:HGNC Symbol;Acc:HGNC:11065]	316	1.8835660219192505	0.103304125	Yes	
row_17	MBTPS2	membrane bound transcription factor peptidase, site 2 [Source:HGNC Symbol;Acc:HGNC:15455]	320	1.862841010093689	0.10904298	Yes	
row_18	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	350	1.8161760568618774	0.1126796	Yes	
row_19	PIBF1	progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352]	370	1.7714459896087646	0.1169241	Yes	
row_20	PIGV	phosphatidylinositol glycan anchor biosynthesis class V [Source:HGNC Symbol;Acc:HGNC:26031]	434	1.6667979955673218	0.11752877	Yes	
row_21	DGAT1	diacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2843]	470	1.6166640520095825	0.12007596	Yes	
row_22	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	488	1.5917680263519287	0.123895414	Yes	
row_23	ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]	495	1.5848009586334229	0.12851876	Yes	
row_24	ZMPSTE24	zinc metallopeptidase STE24 [Source:HGNC Symbol;Acc:HGNC:12877]	507	1.5766589641571045	0.13274048	Yes	
row_25	IL23R	interleukin 23 receptor [Source:HGNC Symbol;Acc:HGNC:19100]	532	1.5413730144500732	0.13587283	Yes	
row_26	SLC18A3	solute carrier family 18 member A3 [Source:HGNC Symbol;Acc:HGNC:10936]	535	1.5379739999771118	0.14064668	Yes	
row_27	INAVA	innate immunity activator [Source:HGNC Symbol;Acc:HGNC:25599]	540	1.5349440574645996	0.14526062	Yes	
row_28	VANGL1	VANGL planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:15512]	559	1.5113170146942139	0.14874737	Yes	
row_29	SLC39A4	solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129]	565	1.504796028137207	0.15318967	Yes	
row_30	IL12RB1	interleukin 12 receptor subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:5971]	583	1.4809190034866333	0.15665422	Yes	
row_31	GATA6	GATA binding protein 6 [Source:HGNC Symbol;Acc:HGNC:4174]	610	1.4486030340194702	0.15933932	Yes	
row_32	TCTN2	tectonic family member 2 [Source:HGNC Symbol;Acc:HGNC:25774]	620	1.4400659799575806	0.16327395	Yes	
row_33	MEFV	MEFV innate immuity regulator, pyrin [Source:HGNC Symbol;Acc:HGNC:6998]	627	1.432284951210022	0.16740899	Yes	
