NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC6A5	solute carrier family 6 member 5 [Source:HGNC Symbol;Acc:HGNC:11051]	9	3.5899579524993896	0.013178088	Yes	
row_1	POMT2	protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]	43	2.959157943725586	0.022132274	Yes	
row_2	POMT1	protein O-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:9202]	45	2.920680046081543	0.033325188	Yes	
row_3	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	73	2.693211078643799	0.04170099	Yes	
row_4	SLC6A3	solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049]	167	2.2974131107330322	0.043626327	Yes	
row_5	LMBRD1	LMBR1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23038]	206	2.1332008838653564	0.04902111	Yes	
row_6	TLK2	tousled like kinase 2 [Source:HGNC Symbol;Acc:HGNC:11842]	233	2.062113046646118	0.055036835	Yes	
row_7	SLC7A7	solute carrier family 7 member 7 [Source:HGNC Symbol;Acc:HGNC:11065]	316	1.8835660219192505	0.056186207	Yes	
row_8	MCOLN1	mucolipin 1 [Source:HGNC Symbol;Acc:HGNC:13356]	334	1.8374119997024536	0.062006462	Yes	
row_9	SCNN1G	sodium channel epithelial 1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:10602]	352	1.8127800226211548	0.06773169	Yes	
row_10	SLC33A1	solute carrier family 33 member 1 [Source:HGNC Symbol;Acc:HGNC:95]	353	1.8116960525512695	0.07472093	Yes	
row_11	TSHR	thyroid stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:12373]	356	1.8019839525222778	0.081523485	Yes	
row_12	SCNN1B	sodium channel epithelial 1 subunit beta [Source:HGNC Symbol;Acc:HGNC:10600]	360	1.7897779941558838	0.08820437	Yes	
row_13	JPH1	junctophilin 1 [Source:HGNC Symbol;Acc:HGNC:14201]	366	1.7828830480575562	0.09470945	Yes	
