NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
CTAGE1	1	CTAGE1	
TPX2	1	TPX2	
SLC30A5	1	SLC30A5	
TPCN2	1	TPCN2	
SLC12A8	1	SLC12A8	
TMC7	1	TMC7	
SLC9A4	1	SLC9A4	
PHTF1	1	PHTF1	
SLC7A14	1	SLC7A14	
SLC6A5	1	SLC6A5	
CTAGE9	1	CTAGE9	
RNF139	1	RNF139	
KCNQ1	1	KCNQ1	
CTAGE6	1	CTAGE6	
DCST2	1	DCST2	
CTAGE15	1	CTAGE15	
RNF145	1	RNF145	
PHTF2	1	PHTF2	
CTAGE8	1	CTAGE8	
CTAGE4	1	CTAGE4	
TMC8	1	TMC8	
TMC1	1	TMC1	
SLC9A7	1	SLC9A7	
POC5	1	POC5	
DPY19L4	1	DPY19L4	
KCNQ4	1	KCNQ4	
NDC1	1	NDC1	
HCN3	1	HCN3	
HGSNAT	1	HGSNAT	
SLC6A16	1	SLC6A16	
LMBRD2	1	LMBRD2	
DPY19L2	1	DPY19L2	
TMEM168	1	TMEM168	
XKR4	1	XKR4	
ABCB9	1	ABCB9	
XKR5	1	XKR5	
DPY19L3	1	DPY19L3	
SLC6A15	1	SLC6A15	
MFSD6	1	MFSD6	
SYVN1	1	SYVN1	
LRRFIP2	1	LRRFIP2	
APLP2	1	APLP2	
AMFR	1	AMFR	
POMT2	1	POMT2	
SLC44A4	1	SLC44A4	
POMT1	1	POMT1	
SLC44A2	1	SLC44A2	
FAM161A	1	FAM161A	
KCNN3	1	KCNN3	
SLC44A5	1	SLC44A5	
HGS	1	HGS	
KCNC3	1	KCNC3	
SLC6A9	1	SLC6A9	
TMEM259	1	TMEM259	
SLC6A17	1	SLC6A17	
SLC45A4	1	SLC45A4	
SLC26A9	1	SLC26A9	
SLC5A11	1	SLC5A11	
SPPL2C	1	SPPL2C	
ARMH4	1	ARMH4	
XKR6	1	XKR6	
MACO1	1	MACO1	
SLC9A6	1	SLC9A6	
SLC45A1	1	SLC45A1	
PIGQ	1	PIGQ	
SLC39A6	1	SLC39A6	
CASD1	1	CASD1	
CLCN4	1	CLCN4	
CLPTM1	1	CLPTM1	
SLC5A9	1	SLC5A9	
TMC4	1	TMC4	
SLC5A2	1	SLC5A2	
SLC44A3	1	SLC44A3	
SLC6A8	1	SLC6A8	
PASD1	1	PASD1	
LMF2	1	LMF2	
DRC1	1	DRC1	
CHRNA4	1	CHRNA4	
LRFN2	1	LRFN2	
GGCX	1	GGCX	
RNF103	1	RNF103	
SLC44A1	1	SLC44A1	
TMTC4	1	TMTC4	
FAM189B	1	FAM189B	
GPR153	1	GPR153	
SLCO4C1	1	SLCO4C1	
GDPD4	1	GDPD4	
TMEM87B	1	TMEM87B	
CDH10	1	CDH10	
HNRNPM	1	HNRNPM	
FZD6	1	FZD6	
SLCO3A1	1	SLCO3A1	
DCST1	1	DCST1	
DPY19L1	1	DPY19L1	
OTOP3	1	OTOP3	
PATL1	1	PATL1	
RXFP2	1	RXFP2	
SLC5A1	1	SLC5A1	
LRFN1	1	LRFN1	
STRA6	1	STRA6	
GPR149	1	GPR149	
SLC5A5	1	SLC5A5	
SMO	1	SMO	
SLC5A6	1	SLC5A6	
