NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC40A1	solute carrier family 40 member 1 [Source:HGNC Symbol;Acc:HGNC:10909]	417	1.6878650188446045	-0.023202239	No	
row_1	BOP1	BOP1 ribosomal biogenesis factor [Source:HGNC Symbol;Acc:HGNC:15519]	546	1.529968023300171	-0.025699666	No	
row_2	SLC16A5	solute carrier family 16 member 5 [Source:HGNC Symbol;Acc:HGNC:10926]	647	1.4047889709472656	-0.026693288	No	
row_3	SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	1262	0.9334049820899963	-0.06794925	No	
row_4	CPT1A	carnitine palmitoyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:2328]	1383	0.8596220016479492	-0.072917275	No	
row_5	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	1510	0.8021619915962219	-0.07859275	No	
row_6	GPD2	glycerol-3-phosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4456]	2437	0.4590449929237366	-0.14514837	No	
row_7	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	2479	0.4452440142631531	-0.1461532	No	
row_8	COX18	cytochrome c oxidase assembly factor COX18 [Source:HGNC Symbol;Acc:HGNC:26801]	2886	0.3438419997692108	-0.17468254	No	
row_9	TRIM45	tripartite motif containing 45 [Source:HGNC Symbol;Acc:HGNC:19018]	3258	0.25558099150657654	-0.20102037	No	
row_10	AIFM1	apoptosis inducing factor mitochondria associated 1 [Source:HGNC Symbol;Acc:HGNC:8768]	3304	0.24266700446605682	-0.2032476	No	
row_11	MIPEP	mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:HGNC:7104]	3680	0.1489810049533844	-0.23036921	No	
row_12	SLC25A32	solute carrier family 25 member 32 [Source:HGNC Symbol;Acc:HGNC:29683]	4060	0.04858199879527092	-0.2582462	No	
row_13	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	4088	0.04174400120973587	-0.2600572	No	
row_14	TOMM40	translocase of outer mitochondrial membrane 40 [Source:HGNC Symbol;Acc:HGNC:18001]	4120	0.03316299989819527	-0.262204	No	
row_15	KARS1	lysyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6215]	4261	-4.1199999395757914E-4	-0.2725817	No	
row_16	SLC25A39	solute carrier family 25 member 39 [Source:HGNC Symbol;Acc:HGNC:24279]	4333	-0.019220000132918358	-0.2777578	No	
row_17	CYP27A1	cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]	4510	-0.06917200237512589	-0.2904903	No	
row_18	ATP5F1B	ATP synthase F1 subunit beta [Source:HGNC Symbol;Acc:HGNC:830]	4532	-0.07465600222349167	-0.29170603	No	
row_19	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:HGNC Symbol;Acc:HGNC:7473]	4599	-0.08970700204372406	-0.29618928	No	
row_20	SLC25A17	solute carrier family 25 member 17 [Source:HGNC Symbol;Acc:HGNC:10987]	4601	-0.08972100168466568	-0.29585335	No	
row_21	PCCB	propionyl-CoA carboxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8654]	4859	-0.14772799611091614	-0.31423217	No	
row_22	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	4863	-0.1487939953804016	-0.31377456	No	
