NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	Details ...	145	-0.46748495	-2.0060046	0.0	0.0012720812	0.006	3418	tags=49%, list=25%, signal=65%	
REACTOME_INFECTIOUS_DISEASE	REACTOME_INFECTIOUS_DISEASE	Details ...	647	-0.42347187	-1.9850296	0.0	0.001366493	0.007	3831	tags=50%, list=28%, signal=66%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	Details ...	130	-0.46705815	-1.9847338	0.0	0.0011387441	0.007	4644	tags=63%, list=34%, signal=95%	
WONG_MITOCHONDRIA_GENE_MODULE	WONG_MITOCHONDRIA_GENE_MODULE	Details ...	208	-0.44743478	-1.9841616	0.0	9.7606634E-4	0.007	5494	tags=66%, list=40%, signal=109%	
REACTOME_SIGNALING_BY_FGFR2_IN_DISEASE	REACTOME_SIGNALING_BY_FGFR2_IN_DISEASE	Details ...	34	-0.5757532	-1.9693199	0.0	0.001064596	0.009	3544	tags=68%, list=26%, signal=91%	
ANDERSEN_LIVER_CANCER_KRT19_UP	ANDERSEN_LIVER_CANCER_KRT19_UP	Details ...	33	-0.57347643	-1.9612031	0.0	9.463075E-4	0.009	1214	tags=42%, list=9%, signal=46%	
LI_AMPLIFIED_IN_LUNG_CANCER	LI_AMPLIFIED_IN_LUNG_CANCER	Details ...	152	-0.4424305	-1.914931	0.0	0.0018762508	0.021	2689	tags=41%, list=20%, signal=51%	
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	Details ...	134	-0.4342061	-1.8554926	0.0	0.003645613	0.045	4739	tags=57%, list=35%, signal=87%	
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	Details ...	42	-0.49781013	-1.7907473	0.0	0.008649226	0.113	5332	tags=71%, list=39%, signal=117%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	121	-0.41475302	-1.7593375	0.0	0.012677183	0.175	2936	tags=45%, list=21%, signal=56%	
JISON_SICKLE_CELL_DISEASE_DN	JISON_SICKLE_CELL_DISEASE_DN	Details ...	117	-0.41602272	-1.7578907	0.0	0.0119562335	0.178	3543	tags=44%, list=26%, signal=58%	
ALONSO_METASTASIS_UP	ALONSO_METASTASIS_UP	Details ...	165	-0.39879328	-1.7406596	0.0	0.014360398	0.225	4631	tags=53%, list=34%, signal=80%	
LI_LUNG_CANCER	LI_LUNG_CANCER	Details ...	34	-0.48178017	-1.6548493	0.007194245	0.038679913	0.507	3279	tags=53%, list=24%, signal=69%	
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_DN	GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_DN	Details ...	32	-0.47465077	-1.6368066	0.0049261083	0.04464543	0.582	3701	tags=53%, list=27%, signal=73%	
KYNG_RESPONSE_TO_H2O2_VIA_ERCC6	KYNG_RESPONSE_TO_H2O2_VIA_ERCC6	Details ...	15	-0.5767939	-1.6366411	0.0118733505	0.042308472	0.582	4128	tags=73%, list=30%, signal=105%	
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	Details ...	36	-0.45766446	-1.6069003	0.0060096155	0.058093324	0.731	3079	tags=50%, list=22%, signal=64%	
BLALOCK_ALZHEIMERS_DISEASE_DN	BLALOCK_ALZHEIMERS_DISEASE_DN	Details ...	929	-0.34012496	-1.601437	0.0	0.05828836	0.757	5481	tags=53%, list=40%, signal=83%	
BIOCARTA_NFAT_PATHWAY	BIOCARTA_NFAT_PATHWAY	Details ...	35	-0.45755753	-1.5961937	0.016568048	0.05833882	0.774	6061	tags=69%, list=44%, signal=123%	
JISON_SICKLE_CELL_DISEASE_UP	JISON_SICKLE_CELL_DISEASE_UP	Details ...	156	-0.36319742	-1.5951228	0.0	0.056113355	0.774	4731	tags=50%, list=35%, signal=76%	
WONG_PROTEASOME_GENE_MODULE	WONG_PROTEASOME_GENE_MODULE	Details ...	41	-0.44743946	-1.5932311	0.0094451	0.054760747	0.782	5616	tags=71%, list=41%, signal=120%	
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP	NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP		200	-0.35795084	-1.5732018	0.0	0.06625117	0.844	5379	tags=55%, list=39%, signal=89%	
CROMER_TUMORIGENESIS_DN	CROMER_TUMORIGENESIS_DN		40	-0.44668573	-1.5704812	0.009456265	0.06583337	0.85	4776	tags=58%, list=35%, signal=88%	
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN	ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN		48	-0.4231025	-1.5694972	0.008168028	0.06379574	0.851	5988	tags=69%, list=44%, signal=122%	
FAELT_B_CLL_WITH_VH3_21_DN	FAELT_B_CLL_WITH_VH3_21_DN		38	-0.4378691	-1.556789	0.021201413	0.06964698	0.886	5871	tags=63%, list=43%, signal=110%	
HECKER_IFNB1_TARGETS	HECKER_IFNB1_TARGETS		78	-0.3885495	-1.5531243	0.0077691455	0.070331916	0.897	5661	tags=53%, list=41%, signal=89%	
FAELT_B_CLL_WITH_VH_REARRANGEMENTS_DN	FAELT_B_CLL_WITH_VH_REARRANGEMENTS_DN		32	-0.45469505	-1.5477742	0.015815085	0.071048096	0.907	5059	tags=59%, list=37%, signal=94%	
OSMAN_BLADDER_CANCER_DN	OSMAN_BLADDER_CANCER_DN		264	-0.33616996	-1.5285907	0.0	0.08303174	0.946	4629	tags=44%, list=34%, signal=65%	
