NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	9	3.0505549907684326	0.028004011	Yes	
row_1	MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	15	2.9524118900299072	0.055379897	Yes	
row_2	MT-CO1	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	47	2.5795059204101562	0.07733986	Yes	
row_3	PLN	phospholamban [Source:HGNC Symbol;Acc:HGNC:9080]	83	2.3830180168151855	0.097159326	Yes	
row_4	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	120	2.27553391456604	0.11589524	Yes	
row_5	MT-CO3	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	264	2.05464506149292	0.12468784	Yes	
row_6	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	285	2.0264439582824707	0.14225955	Yes	
row_7	MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	290	2.0234739780426025	0.16097984	Yes	
row_8	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	481	1.8801020383834839	0.16467638	Yes	
row_9	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	483	1.8791639804840088	0.18226118	Yes	
row_10	DOLK	dolichol kinase [Source:HGNC Symbol;Acc:HGNC:23406]	577	1.8010350465774536	0.1923471	Yes	
row_11	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	826	1.5866420269012451	0.18902133	Yes	
row_12	DPM3	dolichyl-phosphate mannosyltransferase subunit 3, regulatory [Source:HGNC Symbol;Acc:HGNC:3007]	854	1.5557589530944824	0.20165536	Yes	
row_13	MT-CO2	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]	1049	1.3753210306167603	0.20031442	Yes	
row_14	XK	X-linked Kx blood group [Source:HGNC Symbol;Acc:HGNC:12811]	1119	1.3121349811553955	0.2075709	Yes	
row_15	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	1389	1.1023809909820557	0.19815046	Yes	
row_16	HACD1	3-hydroxyacyl-CoA dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:9639]	1402	1.091480016708374	0.20752463	Yes	
row_17	SLC2A10	solute carrier family 2 member 10 [Source:HGNC Symbol;Acc:HGNC:13444]	1460	1.047145962715149	0.21317339	Yes	
row_18	POMT2	protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]	1478	1.0354210138320923	0.22165315	Yes	
