NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OPN1MW2	opsin 1, medium wave sensitive 2 [Source:HGNC Symbol;Acc:HGNC:26952]	751	2.8327879905700684	0.07350751	Yes	
row_1	CLEC2A	C-type lectin domain family 2 member A [Source:HGNC Symbol;Acc:HGNC:24191]	2132	1.4168059825897217	0.036566027	Yes	
row_2	IGFL3	IGF like family member 3 [Source:HGNC Symbol;Acc:HGNC:32930]	2405	1.008978009223938	0.062416855	Yes	
row_3	CST6	cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478]	2409	1.008978009223938	0.10800791	Yes	
row_4	KRTAP19-1	keratin associated protein 19-1 [Source:HGNC Symbol;Acc:HGNC:18936]	2637	0.710303008556366	0.123600096	Yes	
row_5	KRTAP12-2	keratin associated protein 12-2 [Source:HGNC Symbol;Acc:HGNC:20530]	2643	0.6967179775238037	0.15486667	Yes	
row_6	KRTAP4-8	keratin associated protein 4-8 [Source:HGNC Symbol;Acc:HGNC:17230]	2884	0.46377599239349365	0.15831165	Yes	
row_7	KRTAP4-5	keratin associated protein 4-5 [Source:HGNC Symbol;Acc:HGNC:18899]	2885	0.46377599239349365	0.17936873	Yes	
row_8	KRT35	keratin 35 [Source:HGNC Symbol;Acc:HGNC:6453]	3086	0.45469799637794495	0.1853369	Yes	
row_9	KRT82	keratin 82 [Source:HGNC Symbol;Acc:HGNC:6459]	3090	0.45469799637794495	0.20576167	Yes	
row_10	KRTAP16-1	keratin associated protein 16-1 [Source:HGNC Symbol;Acc:HGNC:18916]	3284	0.35970398783683777	0.20793045	Yes	
row_11	KRT27	keratin 27 [Source:HGNC Symbol;Acc:HGNC:30841]	3390	0.35970398783683777	0.21655701	Yes	
row_12	KRT38	keratin 38 [Source:HGNC Symbol;Acc:HGNC:6456]	3392	0.35970398783683777	0.23281546	Yes	
row_13	KRT37	keratin 37 [Source:HGNC Symbol;Acc:HGNC:6455]	3393	0.35970398783683777	0.24914731	Yes	
row_14	KRT83	keratin 83 [Source:HGNC Symbol;Acc:HGNC:6460]	3412	0.35970398783683777	0.26415825	Yes	
row_15	NKPD1	NTPase KAP family P-loop domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24739]	3415	0.35970398783683777	0.28034332	Yes	
row_16	KRTAP4-7	keratin associated protein 4-7 [Source:HGNC Symbol;Acc:HGNC:18898]	3452	0.3487350046634674	0.29353532	Yes	
row_17	KRT25	keratin 25 [Source:HGNC Symbol;Acc:HGNC:30839]	3635	0.3242790102958679	0.29490292	Yes	
row_18	KRT39	keratin 39 [Source:HGNC Symbol;Acc:HGNC:32971]	3636	0.3242790102958679	0.30962634	Yes	
row_19	KRT77	keratin 77 [Source:HGNC Symbol;Acc:HGNC:20411]	3640	0.3242790102958679	0.3241296	Yes	
row_20	KRTAP10-4	keratin associated protein 10-4 [Source:HGNC Symbol;Acc:HGNC:20521]	3698	0.30325499176979065	0.3337156	Yes	
row_21	KRTAP9-7	keratin associated protein 9-7 [Source:HGNC Symbol;Acc:HGNC:18915]	3785	0.2695389986038208	0.3396426	Yes	
row_22	KRTAP9-3	keratin associated protein 9-3 [Source:HGNC Symbol;Acc:HGNC:16927]	3786	0.2695389986038208	0.35188067	Yes	
row_23	KRTAP4-4	keratin associated protein 4-4 [Source:HGNC Symbol;Acc:HGNC:16928]	3810	0.2695389986038208	0.36243087	Yes	
row_24	KRTAP10-9	keratin associated protein 10-9 [Source:HGNC Symbol;Acc:HGNC:22971]	3823	0.2695389986038208	0.3737883	Yes	
row_25	KRTAP10-10	keratin associated protein 10-10 [Source:HGNC Symbol;Acc:HGNC:22972]	3835	0.2695389986038208	0.3852191	Yes	
row_26	KRTAP10-8	keratin associated protein 10-8 [Source:HGNC Symbol;Acc:HGNC:20525]	4078	0.2255460023880005	0.37770084	Yes	
row_27	KRTAP4-2	keratin associated protein 4-2 [Source:HGNC Symbol;Acc:HGNC:18900]	4130	0.18986499309539795	0.38257882	Yes	
row_28	KRTAP8-1	keratin associated protein 8-1 [Source:HGNC Symbol;Acc:HGNC:18935]	4173	0.17905600368976593	0.38762647	Yes	
row_29	KRTAP6-1	keratin associated protein 6-1 [Source:HGNC Symbol;Acc:HGNC:18931]	4175	0.17905600368976593	0.39568287	Yes	
row_30	KRTAP19-4	keratin associated protein 19-4 [Source:HGNC Symbol;Acc:HGNC:18939]	4180	0.17905600368976593	0.40351912	Yes	
row_31	KRTAP19-7	keratin associated protein 19-7 [Source:HGNC Symbol;Acc:HGNC:18942]	4181	0.17905600368976593	0.4116489	Yes	
row_32	KRTAP12-1	keratin associated protein 12-1 [Source:HGNC Symbol;Acc:HGNC:20529]	4199	0.17283600568771362	0.41824877	Yes	
row_33	KRTAP20-2	keratin associated protein 20-2 [Source:HGNC Symbol;Acc:HGNC:18944]	4278	0.14962099492549896	0.41931817	Yes	
row_34	KRTAP19-5	keratin associated protein 19-5 [Source:HGNC Symbol;Acc:HGNC:18940]	4282	0.14962099492549896	0.42589134	Yes	
row_35	KRTAP9-2	keratin associated protein 9-2 [Source:HGNC Symbol;Acc:HGNC:16926]	4354	0.1298699975013733	0.42657766	Yes	
