NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	139	2.371638059616089	0.045807112	Yes	
row_1	CLCC1	chloride channel CLIC like 1 [Source:HGNC Symbol;Acc:HGNC:29675]	168	2.293623924255371	0.097907744	Yes	
row_2	ZDHHC14	zinc finger DHHC-type palmitoyltransferase 14 [Source:HGNC Symbol;Acc:HGNC:20341]	419	1.6871240139007568	0.11941793	Yes	
row_3	NRXN3	neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]	758	1.2976789474487305	0.12528354	Yes	
row_4	TEX28	testis expressed 28 [Source:HGNC Symbol;Acc:HGNC:2563]	766	1.2906969785690308	0.15524405	Yes	
row_5	SLC2A14	solute carrier family 2 member 14 [Source:HGNC Symbol;Acc:HGNC:18301]	839	1.2321159839630127	0.17905745	Yes	
row_6	ZDHHC11	zinc finger DHHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:19158]	903	1.1782089471817017	0.20225774	Yes	
row_7	MTA2	metastasis associated 1 family member 2 [Source:HGNC Symbol;Acc:HGNC:7411]	1068	1.0632859468460083	0.21534215	Yes	
row_8	RHD	Rh blood group D antigen [Source:HGNC Symbol;Acc:HGNC:10009]	1182	0.9831339716911316	0.23027205	Yes	
row_9	GPSM2	G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29501]	1215	0.9615880250930786	0.25062996	Yes	
row_10	PDXDC1	pyridoxal dependent decarboxylase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28995]	1914	0.6312779784202576	0.2143765	No	
row_11	OR4P4	olfactory receptor family 4 subfamily P member 4 [Source:HGNC Symbol;Acc:HGNC:15180]	2011	0.592523992061615	0.22133002	No	
row_12	ZNF630	zinc finger protein 630 [Source:HGNC Symbol;Acc:HGNC:28855]	2370	0.47464999556541443	0.20629793	No	
row_13	OR4N4	olfactory receptor family 4 subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:15375]	2531	0.4290359914302826	0.20470078	No	
row_14	CFHR4	complement factor H related 4 [Source:HGNC Symbol;Acc:HGNC:16979]	2615	0.4034689962863922	0.20814349	No	
row_15	OR51A4	olfactory receptor family 51 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:14795]	2714	0.3820509910583496	0.20998113	No	
