NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDC1	NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:25525]	26	3.1700849533081055	0.00224902	No	
row_1	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate [Source:HGNC Symbol;Acc:HGNC:4897]	50	2.8872408866882324	0.0043495027	No	
row_2	RXFP2	relaxin family peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:17318]	96	2.552454948425293	0.004316096	No	
row_3	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	139	2.371638059616089	0.0042706626	No	
row_4	PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	166	2.297837018966675	0.005352632	No	
row_5	SV2A	synaptic vesicle glycoprotein 2A [Source:HGNC Symbol;Acc:HGNC:20566]	195	2.176060914993286	0.0061184	No	
row_6	RXFP1	relaxin family peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:19718]	224	2.0765209197998047	0.0067509846	No	
row_7	GPR176	G protein-coupled receptor 176 [Source:HGNC Symbol;Acc:HGNC:32370]	230	2.067138910293579	0.009133603	No	
row_8	SV2C	synaptic vesicle glycoprotein 2C [Source:HGNC Symbol;Acc:HGNC:30670]	257	1.9915720224380493	0.009805798	No	
row_9	PTH2R	parathyroid hormone 2 receptor [Source:HGNC Symbol;Acc:HGNC:9609]	297	1.9193710088729858	0.0093851425	No	
row_10	FSHR	follicle stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:3969]	328	1.8428089618682861	0.009551757	No	
row_11	TSHR	thyroid stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:12373]	356	1.8019839525222778	0.009893651	No	
row_12	SV2B	synaptic vesicle glycoprotein 2B [Source:HGNC Symbol;Acc:HGNC:16874]	461	1.6315850019454956	0.0041067195	No	
row_13	LHCGR	luteinizing hormone/choriogonadotropin receptor [Source:HGNC Symbol;Acc:HGNC:6585]	486	1.5935510396957397	0.004399637	No	
row_14	CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	489	1.5905909538269043	0.0063745473	No	
row_15	UBAP1	ubiquitin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:12461]	549	1.527642011642456	0.0038970823	No	
row_16	GLP2R	glucagon like peptide 2 receptor [Source:HGNC Symbol;Acc:HGNC:4325]	550	1.5261930227279663	0.005939098	No	
row_17	MEFV	MEFV innate immuity regulator, pyrin [Source:HGNC Symbol;Acc:HGNC:6998]	627	1.432284951210022	0.002031265	No	
