NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GGCX	gamma-glutamyl carboxylase [Source:HGNC Symbol;Acc:HGNC:4247]	79	2.6183269023895264	0.010414701	No	
row_1	SLCO1B1	solute carrier organic anion transporter family member 1B1 [Source:HGNC Symbol;Acc:HGNC:10959]	137	2.3736228942871094	0.020939592	No	
row_2	SLCO1B3	solute carrier organic anion transporter family member 1B3 [Source:HGNC Symbol;Acc:HGNC:10961]	150	2.347299098968506	0.034636706	No	
row_3	SLC38A4	solute carrier family 38 member 4 [Source:HGNC Symbol;Acc:HGNC:14679]	423	1.6809509992599487	0.024919441	No	
row_4	SLC22A1	solute carrier family 22 member 1 [Source:HGNC Symbol;Acc:HGNC:10963]	462	1.6286890506744385	0.032223593	No	
row_5	SLC38A3	solute carrier family 38 member 3 [Source:HGNC Symbol;Acc:HGNC:18044]	622	1.4361399412155151	0.029361589	No	
row_6	SLC22A9	solute carrier family 22 member 9 [Source:HGNC Symbol;Acc:HGNC:16261]	690	1.3595470190048218	0.03284349	No	
row_7	SLC22A25	solute carrier family 22 member 25 [Source:HGNC Symbol;Acc:HGNC:32935]	787	1.275607943534851	0.03365403	No	
row_8	SLC22A7	solute carrier family 22 member 7 [Source:HGNC Symbol;Acc:HGNC:10971]	963	1.1345560550689697	0.027731853	No	
row_9	PROX1	prospero homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9459]	994	1.1163870096206665	0.03244547	No	
row_10	SLC30A10	solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355]	1079	1.054805040359497	0.03277344	No	
row_11	SLC17A2	solute carrier family 17 member 2 [Source:HGNC Symbol;Acc:HGNC:10930]	1097	1.0389690399169922	0.03796964	No	
row_12	GCGR	glucagon receptor [Source:HGNC Symbol;Acc:HGNC:4192]	1143	1.0096650123596191	0.04090813	No	
row_13	SLC22A10	solute carrier family 22 member 10 [Source:HGNC Symbol;Acc:HGNC:18057]	1281	0.9237499833106995	0.036492858	No	
row_14	F13B	coagulation factor XIII B chain [Source:HGNC Symbol;Acc:HGNC:3534]	1417	0.8423449993133545	0.03171997	No	
row_15	HGFAC	HGF activator [Source:HGNC Symbol;Acc:HGNC:4894]	1609	0.7525380253791809	0.022237781	No	
row_16	G6PC	glucose-6-phosphatase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4056]	1777	0.6802989840507507	0.014085776	No	
row_17	SLC27A5	solute carrier family 27 member 5 [Source:HGNC Symbol;Acc:HGNC:10999]	1883	0.6411150097846985	0.010286271	No	
row_18	C8B	complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]	1951	0.6143929958343506	0.009137609	No	
row_19	SLC16A13	solute carrier family 16 member 13 [Source:HGNC Symbol;Acc:HGNC:31037]	1991	0.6016899943351746	0.00998562	No	
row_20	C4BPA	complement component 4 binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1325]	2097	0.5599449872970581	0.0056817047	No	
row_21	KNG1	kininogen 1 [Source:HGNC Symbol;Acc:HGNC:6383]	2305	0.49351000785827637	-0.0065962095	No	
row_22	CFHR5	complement factor H related 5 [Source:HGNC Symbol;Acc:HGNC:24668]	2578	0.4142960011959076	-0.024184762	No	
row_23	CFHR4	complement factor H related 4 [Source:HGNC Symbol;Acc:HGNC:16979]	2615	0.4034689962863922	-0.024346154	No	
row_24	SLC10A1	solute carrier family 10 member 1 [Source:HGNC Symbol;Acc:HGNC:10905]	2811	0.36095699667930603	-0.036558237	No	
row_25	F12	coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]	2869	0.347476989030838	-0.038624287	No	
row_26	C8A	complement C8 alpha chain [Source:HGNC Symbol;Acc:HGNC:1352]	3175	0.2755729854106903	-0.05952115	No	
row_27	OR10J5	olfactory receptor family 10 subfamily J member 5 [Source:HGNC Symbol;Acc:HGNC:14993]	3207	0.2681620121002197	-0.060152728	No	
row_28	C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	3249	0.2575500011444092	-0.061591543	No	
row_29	FGB	fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]	3410	0.21664400398731232	-0.0721059	No	
row_30	GYS2	glycogen synthase 2 [Source:HGNC Symbol;Acc:HGNC:4707]	3475	0.2023009955883026	-0.07559301	No	
row_31	UGT1A3	UDP glucuronosyltransferase family 1 member A3 [Source:HGNC Symbol;Acc:HGNC:12535]	3673	0.15022599697113037	-0.08926288	No	
row_32	ANGPTL3	angiopoietin like 3 [Source:HGNC Symbol;Acc:HGNC:491]	3704	0.1417270004749298	-0.09060603	No	
row_33	MASP2	mannan binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902]	3787	0.12162899971008301	-0.09592877	No	
row_34	KLKB1	kallikrein B1 [Source:HGNC Symbol;Acc:HGNC:6371]	3935	0.08246300369501114	-0.10631329	No	
row_35	UGT2B10	UDP glucuronosyltransferase family 2 member B10 [Source:HGNC Symbol;Acc:HGNC:12544]	3951	0.07740999758243561	-0.10694418	No	
row_36	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	3952	0.0771780014038086	-0.10646458	No	
row_37	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	3998	0.06414499878883362	-0.10940177	No	
row_38	GBP7	guanylate binding protein 7 [Source:HGNC Symbol;Acc:HGNC:29606]	3999	0.06377200037240982	-0.10900548	No	
row_39	CYP4F3	cytochrome P450 family 4 subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:2646]	4035	0.05581900104880333	-0.11125312	No	
row_40	MST1	macrophage stimulating 1 [Source:HGNC Symbol;Acc:HGNC:7380]	4036	0.05559000000357628	-0.110907674	No	
row_41	UGT1A4	UDP glucuronosyltransferase family 1 member A4 [Source:HGNC Symbol;Acc:HGNC:12536]	4056	0.0493599995970726	-0.112009384	No	
row_42	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	4136	0.029776999726891518	-0.117680535	No	
row_43	A1BG	alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]	4166	0.02285199984908104	-0.11968827	No	
row_44	PGLYRP2	peptidoglycan recognition protein 2 [Source:HGNC Symbol;Acc:HGNC:30013]	4198	0.016246000304818153	-0.121885315	No	
row_45	ANGPTL6	angiopoietin like 6 [Source:HGNC Symbol;Acc:HGNC:23140]	4210	0.014248999767005444	-0.122612186	No	
row_46	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	4336	-0.019718000665307045	-0.13175577	No	
row_47	ACOT12	acyl-CoA thioesterase 12 [Source:HGNC Symbol;Acc:HGNC:24436]	4349	-0.022957999259233475	-0.13250266	No	
row_48	OIT3	oncoprotein induced transcript 3 [Source:HGNC Symbol;Acc:HGNC:29953]	4435	-0.043209999799728394	-0.1385351	No	
row_49	UGT2B4	UDP glucuronosyltransferase family 2 member B4 [Source:HGNC Symbol;Acc:HGNC:12553]	4459	-0.05092800036072731	-0.13992359	No	
row_50	F11	coagulation factor XI [Source:HGNC Symbol;Acc:HGNC:3529]	4560	-0.08088699728250504	-0.14683384	No	
