Uniprot_ID,Gene_ID,THSA,RHSA,LHPSA,length,Gene,Tissue,NX,Median_NX,rows,Expression
A8MUK1,USP17L5,7343.846317315102,0.2245701716229989,1015.9811433131842,530,ENSG00000227140,lung,0.0,0.0,0,A
Q13046,PSG7,6177.999308222533,0.25486657420879577,1247.199980222698,419,ENSG00000221878,placenta,23.1,0.0,1,A
O95678,KRT75,11749.324992027878,0.2816674443917385,2237.9974092415273,551,ENSG00000170454,skin,22.9,0.0,2,A
A0A1B0GTH6,CSNKA2IP,8824.009779590371,0.19672396043970208,882.6186463269493,734,ENSG00000283434,testis,22.9,0.0,3,A
Q86XT4,TRIM50,7922.913119059794,0.26706829743248045,1545.8444197709186,487,ENSG00000146755,stomach,22.8,0.0,4,A
A0A1B0GU71,CFAP97D2,2972.2716892510653,0.29928390193098964,1457.4130348785516,98,ENSG00000283361,fallopian tube,22.4,0.0,5,A
A6NI03,TRIM64B,6845.7380593627695,0.2596922084759081,1247.199980222698,449,ENSG00000189253,granulocytes,22.3,0.0,6,A
Q8IXL9,IQCF2,5722.845258691906,0.42860332249607935,4274.076666666666,164,ENSG00000184345,testis,22.3,0.0,7,A
Q9Y581,INSL6,4919.316548264028,0.2980937561009785,1719.856273640681,213,ENSG00000120210,testis,22.3,0.0,8,A
O75469,NR1I2,5374.614692574738,0.2276402543620521,1015.9811433131842,434,ENSG00000144852,liver,22.2,0.0,9,A
Q8N104,DEFB106A,2792.364307740331,0.4667969629020766,1863.7230113636365,65,ENSG00000186579,epididymis,22.0,0.0,10,A
Q3C1V0,MS4A18,10072.497150775784,0.38621345153989495,5373.887662187801,400,ENSG00000214782,duodenum,21.9,0.0,11,A
Q8NDZ0,BEND2,12833.578881037229,0.2446715628041972,1247.199980222698,799,ENSG00000177324,testis,23.2,0.0,12,A
Q86SG3,DAZ4,8178.915722805261,0.2710020357619153,1622.3038753629178,579,ENSG00000205916,stomach,21.9,0.0,13,A
P81133,SIM1,11269.286356088513,0.2436068420387272,1247.199980222698,766,ENSG00000112246,kidney,21.6,0.0,14,A
A6NLE4,SMIM23,3537.1925936907533,0.29806756729378275,1719.856273640681,172,ENSG00000185662,testis,21.6,0.0,15,A
A6NF36,CCDC182,3764.115421482921,0.3042574544911265,1719.856273640681,153,ENSG00000166329,testis,21.5,0.0,16,A
Q6ZQW0,IDO2,4722.257983443139,0.2290256691667595,1099.636679319052,420,ENSG00000188676,placenta,21.5,0.0,17,A
Q8N7B1,HORMAD2,4351.025909340383,0.23517771174749064,1247.199980222698,307,ENSG00000176635,testis,21.3,0.0,18,A
Q9Y345,SLC6A5,19341.130712017424,0.4378724424637063,6773.703427960926,797,ENSG00000165970,pons and medulla,21.3,0.0,19,A
P07438,MT1B,1438.018543428183,0.3230408070496508,1145.4725026576502,61,ENSG00000169688,liver,21.2,0.0,20,A
Q8N695,SLC5A8,15534.285012841223,0.4997971819368001,6773.703427960926,610,ENSG00000256870,thyroid gland,21.2,0.0,21,A
P0DN79,CBSL,5454.287535306809,0.19813161624323228,882.6186463269493,551,ENSG00000274276,liver,21.2,0.0,22,A
P0DTE4,UGT2A1,7546.517152890559,0.3015949060940536,1719.856273640681,527,ENSG00000173610,pituitary gland,21.2,0.0,23,A
Q96MR9,ZNF560,11127.140883830183,0.2323470921994729,1131.7224879498244,790,ENSG00000198028,testis,21.1,0.0,24,A
Q7Z3H0,ANKRD33,6434.52893137932,0.2493326867323941,1247.199980222698,452,ENSG00000167612,placenta,21.9,0.0,25,A
Q3B8N2,LGALS9B,4070.748575228452,0.23756136782033874,1247.199980222698,356,ENSG00000170298,stomach,23.2,0.0,26,A
P0C7W6,CCDC172,4956.437544140221,0.2507069422798871,1247.199980222698,258,ENSG00000182645,testis,23.4,0.0,27,A
A6NGA9,TMEM202,9569.048629468676,0.4362803363887065,6773.703427960926,273,ENSG00000187806,testis,23.5,0.0,28,A
Q9NY30,BTG4,4029.3341580629353,0.2530817609489591,1247.199980222698,223,ENSG00000137707,testis,24.8,0.0,29,A
P60673,PFN3,2191.6148559480907,0.28445492812774004,1112.135810938609,137,ENSG00000196570,testis,24.8,0.0,30,A
P10767,FGF6,5736.481007510422,0.4117672735826396,4612.669743589743,208,ENSG00000111241,skeletal muscle,24.6,0.0,31,A
Q6UX39,AMTN,4421.960328158736,0.2902498554758149,1719.856273640681,209,ENSG00000187689,tonsil,24.6,0.0,32,A
Q5VZQ5,TEX36,3743.448113948106,0.26562683349046023,1247.199980222698,186,ENSG00000175018,testis,24.6,0.0,33,A
P43361,MAGEA8,6489.892781022194,0.27428173487662644,1656.4306363857788,318,ENSG00000156009,placenta,24.6,0.0,34,A
Q6P1W5,C1orf94,10226.536793401836,0.2653653462147884,1247.199980222698,598,ENSG00000142698,testis,24.6,0.0,35,A
Q96P09,BIRC8,3589.1163489162927,0.2439385739657502,1247.199980222698,236,ENSG00000163098,testis,24.5,0.0,36,A
Q4QY38,DEFB134,2798.0619540125126,0.5282365213003657,1977.9922077922079,66,ENSG00000205882,epididymis,24.4,0.0,37,A
P56750,CLDN17,7369.060133486989,0.5196172744068295,5792.624170829171,224,ENSG00000156282,tongue,24.4,0.0,38,A
Q9BXG8,SPZ1,6099.845439365504,0.20647849135375915,882.6186463269493,430,ENSG00000164299,testis,24.4,0.0,39,A
