id,monomer
4af8,True
2ziv,False
6c62,False
5jkv,True
5zkt,False
3bos,False
1s2x,True
4nog,False
1wer,True
3wo6,True
4dnh,True
6hvn,False
6gv5,True
3ffd,False
6i8m,True
2pbe,True
1n57,True
5imu,True
3tjr,False
4n74,True
5dlb,True
1ga6,False
4mak,False
4i3m,True
2gup,False
1tu1,False
3umh,True
1y14,False
1qor,False
3ism,False
5ep9,False
5hj9,True
4msx,True
4rk2,False
1bvy,False
4kty,False
5e7t,False
2opk,False
2nut,False
4i66,True
5xrj,True
6g7b,False
5oqq,False
4cgc,False
2p61,True
2cs7,False
3eip,False
3feg,True
5y4z,True
3tuf,False
1d8w,False
1kgd,True
5a1i,True
6fop,True
2hdz,True
3n0u,False
5je2,False
5fd4,False
1vki,False
5aig,False
6d4g,False
4mlz,False
3cnc,False
1z9l,True
1mkk,False
3d03,False
2o34,False
3ig5,True
4bwd,False
4xk8,False
5y9z,False
5l16,True
5zyq,True
1vkf,False
3au4,False
3fot,True
3n4j,True
4fpw,False
3m4a,False
2pu3,True
6r59,False
2e1f,True
1d0q,False
1q8b,True
6fwv,False
3ovk,False
2a6h,False
3e9k,True
5de3,True
3bhq,False
4j8s,False
4efa,False
5jbl,False
1hdo,True
6n9m,True
4iqn,False
6dzg,False
4hbz,True
3qy7,True
6qqh,True
6a51,False
4i0x,False
6n71,False
4r1d,False
3c96,True
6s2m,True
3bex,False
5wri,False
5g1w,False
1h97,False
1cxq,True
3m9q,False
3vr0,False
2pg3,True
6e4n,True
6qts,False
4h22,False
4zbo,False
5u4s,False
4n0r,False
3ig2,False
1a9x,False
3csl,False
5cos,False
4pn0,False
1o6o,False
3uip,False
2oml,True
4fuv,True
6rnk,False
5jrc,False
5yf6,True
5zi2,False
4yzz,False
2rg4,False
3npd,True
6cxg,False
5ydn,True
5ngl,False
4iej,True
3h75,True
2v6x,False
6hxm,False
3fh3,False
3weu,False
5dmd,False
6hik,False
3mtk,False
3vgi,True
6f5c,False
4txr,False
6h6o,False
4irv,False
1yn3,False
4hei,False
5d3k,True
1zsq,True
4ie5,True
5cg5,True
6mdw,True
3er9,False
3giu,False
5gpy,False
3fs8,False
3fs3,True
2rdc,False
3dk9,True
3p0y,False
2aj9,False
4rd8,False
3wtt,False
2onf,False
3c3p,False
1jql,False
2w39,False
1qd1,False
3txn,True
3nyb,False
3zho,False
3a02,True
5umh,False
2ane,False
4mes,False
5xft,True
6oze,True
1cy5,True
3e56,True
3aj1,False
3gff,False
1nzn,True
3er7,False
4a6d,True
6h7d,True
4di9,True
3hj4,False
3kp1,False
4kq9,True
4zas,False
4uds,True
4u8f,False
3cet,False
1ezj,True
3l0a,True
1o7d,False
2xpi,False
2fq3,True
4q7q,False
2gpe,False
3czx,False
3lfk,False
3h49,False
3nmd,False
2hfs,False
1qst,True
3l3s,False
4n7v,False
5wzf,False
2g6v,False
3sbt,False
6eji,False
4g92,False
3s4e,True
1pdk,False
3gxv,False
3ip0,True
4htp,False
2qzq,True
2aus,False
4uwm,False
3id1,True
6hig,False
5ic7,True
5mdu,True
1oaa,True
6k16,True
4ped,True
5jig,True
2qee,False
1usu,False
4g3h,False
4ct0,False
6q8j,True
3p9z,True
5d2e,True
3kdr,False
4xtl,True
4kqp,True
3cgx,True
1dun,True
6fgc,True
3kyj,False
1scf,False
2g5g,True
4l8j,True
4xjx,False
5a8j,True
5wa2,True
2zme,False
3hsl,True
6r4k,False
5swu,False
3jzy,True
5jno,False
3f9x,False
1iap,True
3tvt,False
6dex,False
3ie4,False
6fm7,True
4jr6,False
3qwm,True
5a71,False
6hbb,False
4q4g,True
5lyp,True
5nsl,False
2c35,False
6f9g,False
6h4d,True
3mmh,False
4rth,False
5x93,True
3zhe,False
5w8x,True
1xmk,True
4c89,False
5kht,False
1z3e,False
6f04,True
2wp0,False
3fso,False
2nx9,False
4mn4,False
5y24,False
2cov,False
3e0k,True
6mtz,False
2xov,True
2eq5,False
3rde,False
6a5d,False
3hyn,True
2fvy,True
3mfn,False
5ydv,True
6inr,False
1a62,True
1q87,False
4py9,True
3vcf,False
5wkr,False
2wb7,False
3mzk,False
4pi8,False
5zzj,False
3bm1,False
3tix,False
2qik,True
5c8w,False
5x3g,True
1lj8,True
3mko,True
2fno,False
1nfp,True
5dwy,False
3d34,False
1miw,False
3go9,True
1l8w,False
5xyf,False
4koa,True
5mlp,True
3mxn,False
4rl1,True
1u9k,False
4lzx,False
4zr7,False
4z3g,False
1fc3,False
5vit,False
3dmm,False
3e8s,True
4z47,False
6eyx,False
5a12,False
3htr,False
4fle,True
5nyp,True
5uzg,False
2igs,False
5ixg,False
1lf6,False
3vii,True
4ypc,True
1oj5,False
3r3p,False
5izw,False
6cn8,False
3vgp,True
1ypx,True
4djb,False
2dul,True
2v0o,False
5i0f,False
2ckk,True
3cs5,False
2qec,True
4mgq,True
3jsj,False
1pby,False
1pv5,True
5vhg,True
1i5p,True
4hls,False
2vc8,True
6hfg,True
1yht,True
5ywr,False
4n1i,True
5n3u,False
4m3p,False
3ebt,True
6mas,False
1q67,False
5wai,False
5elh,False
4pn6,False
6gvd,True
6a32,True
4f8b,False
4eyy,False
2ree,False
6h24,False
4d2k,False
6gh3,False
4u3e,False
1qq5,False
1tiq,False
3bdr,True
3gia,True
5kko,False
3d6w,False
3bk3,False
6ita,True
3b2y,False
6h4l,True
4upi,True
5vym,False
6ild,False
4e15,False
5tsz,False
4bfg,True
4dlq,False
1mtz,True
3ifu,True
4iao,False
3qvs,True
4l9b,True
3qao,True
2sak,True
3cu2,False
4ymr,False
4do7,False
3hoi,True
4hs1,True
4ov8,True
5vkd,False
2zf9,False
3snk,True
6hur,False
5uaz,False
1zd0,True
4hrs,True
5cuo,False
1poi,False
3nqi,False
3s2r,False
4hbd,True
4axg,False
3qf7,False
4j4h,False
4nhb,False
6n8r,True
1pm4,False
4w9w,True
2ey4,False
3e7q,False
2ywv,False
3jy6,False
2zou,False
5tgq,True
4dzo,False
3jqh,True
5t76,True
4xi8,False
2p06,False
5yrh,False
1xf5,False
6rfk,False
1uw4,False
1h8u,False
6ggr,False
4dx8,False
4z24,False
3dmg,True
1fvi,True
3gfs,False
3uaf,True
5yq5,False
3jtw,False
5dfy,True
4glk,True
2bkx,False
4o5a,True
6qg9,False
3mcs,False
1qou,False
5x89,True
4yk8,False
3njn,False
5wzj,False
2dcl,False
4l6u,False
4a57,False
1rif,False
3c4n,False
3gla,False
2hp0,False
1m56,False
1cja,False
6r3z,True
5ziq,False
5hiu,False
6dop,False
2z3h,False
1vhq,False
5boi,True
4c0f,False
6cxt,False
6e85,False
2c5l,False
4qxl,True
5af3,False
5knh,False
4oev,False
2aq6,False
3pn3,False
5yxg,False
5osi,False
4aff,True
4mt2,True
5vtg,False
3d37,False
1nnx,True
4a69,False
5ngj,False
1ohu,False
6csu,False
5cg9,False
4m0m,True
6a3t,True
4s1a,False
2hth,False
4dmu,False
1l2p,True
4xpx,True
2xu6,False
4bou,True
5hdw,True
1y25,False
5ui9,False
3wpc,False
4w78,False
2ev1,False
1h2e,True
6a80,False
4egv,False
6qgg,True
3ifn,False
2z0r,False
2z98,True
4rdr,True
2oix,True
2rau,True
3r8j,False
3oa8,False
5z2v,False
4r9o,False
3mw6,False
3evy,False
