NAME	TITLE	SCORE	
STRIT1	small transmembrane regulator of ion transport 1 [Source:HGNC Symbol;Acc:HGNC:52297]	3.849702	
KRTAP20-1	keratin associated protein 20-1 [Source:HGNC Symbol;Acc:HGNC:18943]	3.58245	
SPTSSA	serine palmitoyltransferase small subunit A [Source:HGNC Symbol;Acc:HGNC:20361]	3.582233	
TMEM218	transmembrane protein 218 [Source:HGNC Symbol;Acc:HGNC:27344]	3.509968	
CNIH1	cornichon family AMPA receptor auxiliary protein 1 [Source:HGNC Symbol;Acc:HGNC:19431]	3.482552	
MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]	3.432245	
KRTAP19-8	keratin associated protein 19-8 [Source:HGNC Symbol;Acc:HGNC:33898]	3.30917	
TMEM258	transmembrane protein 258 [Source:HGNC Symbol;Acc:HGNC:1164]	3.254579	
SLN	sarcolipin [Source:HGNC Symbol;Acc:HGNC:11089]	3.233513	
MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	3.050555	
KRTAP20-2	keratin associated protein 20-2 [Source:HGNC Symbol;Acc:HGNC:18944]	3.048673	
SMIM3	small integral membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:30248]	3.02285	
ATP6V0E1	ATPase H+ transporting V0 subunit e1 [Source:HGNC Symbol;Acc:HGNC:863]	3.016928	
TMEM244	transmembrane protein 244 [Source:HGNC Symbol;Acc:HGNC:21571]	2.979166	
TMEM216	transmembrane protein 216 [Source:HGNC Symbol;Acc:HGNC:25018]	2.959837	
MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	2.952412	
CNIH4	cornichon family AMPA receptor auxiliary protein 4 [Source:HGNC Symbol;Acc:HGNC:25013]	2.942261	
KRTAP19-3	keratin associated protein 19-3 [Source:HGNC Symbol;Acc:HGNC:18938]	2.931813	
CNIH2	cornichon family AMPA receptor auxiliary protein 2 [Source:HGNC Symbol;Acc:HGNC:28744]	2.897759	
MALL	mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]	2.889326	
ATP6V0E2	ATPase H+ transporting V0 subunit e2 [Source:HGNC Symbol;Acc:HGNC:21723]	2.885363	
DEXI	Dexi homolog [Source:HGNC Symbol;Acc:HGNC:13267]	2.879287	
GOLT1A	golgi transport 1A [Source:HGNC Symbol;Acc:HGNC:24766]	2.873061	
SPTSSB	serine palmitoyltransferase small subunit B [Source:HGNC Symbol;Acc:HGNC:24045]	2.85016	
TMEM147	transmembrane protein 147 [Source:HGNC Symbol;Acc:HGNC:30414]	2.835437	
KRTAP20-3	keratin associated protein 20-3 [Source:HGNC Symbol;Acc:HGNC:34001]	2.831717	
TMEM167B	transmembrane protein 167B [Source:HGNC Symbol;Acc:HGNC:30187]	2.822967	
LEPROTL1	leptin receptor overlapping transcript like 1 [Source:HGNC Symbol;Acc:HGNC:6555]	2.807977	
CNIH3	cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802]	2.802589	
EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	2.7976	
MAL	mal, T cell differentiation protein [Source:HGNC Symbol;Acc:HGNC:6817]	2.785021	
LEPROT	leptin receptor overlapping transcript [Source:HGNC Symbol;Acc:HGNC:29477]	2.762764	
KRTAP8-1	keratin associated protein 8-1 [Source:HGNC Symbol;Acc:HGNC:18935]	2.756509	
SLC48A1	solute carrier family 48 member 1 [Source:HGNC Symbol;Acc:HGNC:26035]	2.74453	
LITAFD	LITAF domain containing [Source:HGNC Symbol;Acc:HGNC:53927]	2.722687	
DPM2	dolichyl-phosphate mannosyltransferase subunit 2, regulatory [Source:HGNC Symbol;Acc:HGNC:3006]	2.699629	
HACD4	3-hydroxyacyl-CoA dehydratase 4 [Source:HGNC Symbol;Acc:HGNC:20920]	2.683735	
SMIM30	small integral membrane protein 30 [Source:HGNC Symbol;Acc:HGNC:48953]	2.669027	
TAS2R1	taste 2 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14909]	2.632975	
BLCAP	BLCAP apoptosis inducing factor [Source:HGNC Symbol;Acc:HGNC:1055]	2.628173	
TMEM167A	transmembrane protein 167A [Source:HGNC Symbol;Acc:HGNC:28330]	2.626748	
PIGU	phosphatidylinositol glycan anchor biosynthesis class U [Source:HGNC Symbol;Acc:HGNC:15791]	2.62465	
TMEM86A	transmembrane protein 86A [Source:HGNC Symbol;Acc:HGNC:26890]	2.622053	
SLC66A3	solute carrier family 66 member 3 [Source:HGNC Symbol;Acc:HGNC:28503]	2.62099	
PIGY	phosphatidylinositol glycan anchor biosynthesis class Y [Source:HGNC Symbol;Acc:HGNC:28213]	2.612122	
IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	2.603854	
GOLT1B	golgi transport 1B [Source:HGNC Symbol;Acc:HGNC:20175]	2.582632	
MT-CO1	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	2.579506	
TMEM262	transmembrane protein 262 [Source:HGNC Symbol;Acc:HGNC:49389]	2.573617	
KDELR2	KDEL endoplasmic reticulum protein retention receptor 2 [Source:HGNC Symbol;Acc:HGNC:6305]	2.552725	
