NAME	TITLE	SCORE	
CTAGE1	cutaneous T cell lymphoma-associated antigen 1 [Source:HGNC Symbol;Acc:HGNC:24346]	4.165404	
TPX2	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	3.915298	
SLC30A5	solute carrier family 30 member 5 [Source:HGNC Symbol;Acc:HGNC:19089]	3.897469	
TPCN2	two pore segment channel 2 [Source:HGNC Symbol;Acc:HGNC:20820]	3.834922	
SLC12A8	solute carrier family 12 member 8 [Source:HGNC Symbol;Acc:HGNC:15595]	3.806914	
TMC7	transmembrane channel like 7 [Source:HGNC Symbol;Acc:HGNC:23000]	3.783734	
SLC9A4	solute carrier family 9 member A4 [Source:HGNC Symbol;Acc:HGNC:11077]	3.657378	
PHTF1	putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]	3.652385	
SLC7A14	solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]	3.629789	
SLC6A5	solute carrier family 6 member 5 [Source:HGNC Symbol;Acc:HGNC:11051]	3.589958	
CTAGE9	CTAGE family member 9 [Source:HGNC Symbol;Acc:HGNC:37275]	3.413889	
RNF139	ring finger protein 139 [Source:HGNC Symbol;Acc:HGNC:17023]	3.401601	
KCNQ1	potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:6294]	3.390575	
CTAGE6	CTAGE family member 6 [Source:HGNC Symbol;Acc:HGNC:28644]	3.377343	
DCST2	DC-STAMP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26562]	3.368753	
CTAGE15	CTAGE family member 15 [Source:HGNC Symbol;Acc:HGNC:37295]	3.344327	
RNF145	ring finger protein 145 [Source:HGNC Symbol;Acc:HGNC:20853]	3.324143	
PHTF2	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]	3.322881	
CTAGE8	CTAGE family member 8 [Source:HGNC Symbol;Acc:HGNC:37294]	3.311867	
CTAGE4	CTAGE family member 4 [Source:HGNC Symbol;Acc:HGNC:24772]	3.304861	
TMC8	transmembrane channel like 8 [Source:HGNC Symbol;Acc:HGNC:20474]	3.297319	
TMC1	transmembrane channel like 1 [Source:HGNC Symbol;Acc:HGNC:16513]	3.27696	
SLC9A7	solute carrier family 9 member A7 [Source:HGNC Symbol;Acc:HGNC:17123]	3.225413	
POC5	POC5 centriolar protein [Source:HGNC Symbol;Acc:HGNC:26658]	3.187934	
DPY19L4	dpy-19 like 4 [Source:HGNC Symbol;Acc:HGNC:27829]	3.175842	
KCNQ4	potassium voltage-gated channel subfamily Q member 4 [Source:HGNC Symbol;Acc:HGNC:6298]	3.174441	
NDC1	NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:25525]	3.170085	
HCN3	hyperpolarization activated cyclic nucleotide gated potassium channel 3 [Source:HGNC Symbol;Acc:HGNC:19183]	3.150828	
HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:26527]	3.150069	
SLC6A16	solute carrier family 6 member 16 [Source:HGNC Symbol;Acc:HGNC:13622]	3.129138	
LMBRD2	LMBR1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25287]	3.113102	
DPY19L2	dpy-19 like 2 [Source:HGNC Symbol;Acc:HGNC:19414]	3.097731	
TMEM168	transmembrane protein 168 [Source:HGNC Symbol;Acc:HGNC:25826]	3.074998	
XKR4	XK related 4 [Source:HGNC Symbol;Acc:HGNC:29394]	3.053185	
ABCB9	ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50]	3.035889	
XKR5	XK related 5 [Source:HGNC Symbol;Acc:HGNC:20782]	3.007556	
DPY19L3	dpy-19 like C-mannosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:27120]	2.988653	
SLC6A15	solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621]	2.988224	
MFSD6	major facilitator superfamily domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24711]	2.98483	
SYVN1	synoviolin 1 [Source:HGNC Symbol;Acc:HGNC:20738]	2.96873	
LRRFIP2	LRR binding FLII interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6703]	2.962575	
APLP2	amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]	2.962283	
AMFR	autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]	2.961559	
POMT2	protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]	2.959158	
SLC44A4	solute carrier family 44 member 4 [Source:HGNC Symbol;Acc:HGNC:13941]	2.949337	
POMT1	protein O-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:9202]	2.92068	
SLC44A2	solute carrier family 44 member 2 [Source:HGNC Symbol;Acc:HGNC:17292]	2.91346	
FAM161A	FAM161 centrosomal protein A [Source:HGNC Symbol;Acc:HGNC:25808]	2.905451	
KCNN3	potassium calcium-activated channel subfamily N member 3 [Source:HGNC Symbol;Acc:HGNC:6292]	2.896782	
SLC44A5	solute carrier family 44 member 5 [Source:HGNC Symbol;Acc:HGNC:28524]	2.888248	
HGS	hepatocyte growth factor-regulated tyrosine kinase substrate [Source:HGNC Symbol;Acc:HGNC:4897]	2.887241	
KCNC3	potassium voltage-gated channel subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:6235]	2.884311	
SLC6A9	solute carrier family 6 member 9 [Source:HGNC Symbol;Acc:HGNC:11056]	2.88111	
TMEM259	transmembrane protein 259 [Source:HGNC Symbol;Acc:HGNC:17039]	2.870662	
SLC6A17	solute carrier family 6 member 17 [Source:HGNC Symbol;Acc:HGNC:31399]	2.867413	
SLC45A4	solute carrier family 45 member 4 [Source:HGNC Symbol;Acc:HGNC:29196]	2.864789	
SLC26A9	solute carrier family 26 member 9 [Source:HGNC Symbol;Acc:HGNC:14469]	2.860996	
SLC5A11	solute carrier family 5 member 11 [Source:HGNC Symbol;Acc:HGNC:23091]	2.860315	
SPPL2C	signal peptide peptidase like 2C [Source:HGNC Symbol;Acc:HGNC:28902]	2.844366	
ARMH4	armadillo like helical domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19846]	2.837262	
XKR6	XK related 6 [Source:HGNC Symbol;Acc:HGNC:27806]	2.817393	
MACO1	macoilin 1 [Source:HGNC Symbol;Acc:HGNC:25572]	2.812755	
SLC9A6	solute carrier family 9 member A6 [Source:HGNC Symbol;Acc:HGNC:11079]	2.80911	
SLC45A1	solute carrier family 45 member 1 [Source:HGNC Symbol;Acc:HGNC:17939]	2.786306	
PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]	2.782347	
SLC39A6	solute carrier family 39 member 6 [Source:HGNC Symbol;Acc:HGNC:18607]	2.782207	
CASD1	CAS1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16014]	2.779419	
CLCN4	chloride voltage-gated channel 4 [Source:HGNC Symbol;Acc:HGNC:2022]	2.777549	
CLPTM1	CLPTM1 regulator of GABA type A receptor forward trafficking [Source:HGNC Symbol;Acc:HGNC:2087]	2.748322	
SLC5A9	solute carrier family 5 member 9 [Source:HGNC Symbol;Acc:HGNC:22146]	2.73621	
TMC4	transmembrane channel like 4 [Source:HGNC Symbol;Acc:HGNC:22998]	2.721186	
SLC5A2	solute carrier family 5 member 2 [Source:HGNC Symbol;Acc:HGNC:11037]	2.703989	
SLC44A3	solute carrier family 44 member 3 [Source:HGNC Symbol;Acc:HGNC:28689]	2.695625	
SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	2.693211	
PASD1	PAS domain containing repressor 1 [Source:HGNC Symbol;Acc:HGNC:20686]	2.660782	
LMF2	lipase maturation factor 2 [Source:HGNC Symbol;Acc:HGNC:25096]	2.656033	
DRC1	dynein regulatory complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24245]	2.650983	
CHRNA4	cholinergic receptor nicotinic alpha 4 subunit [Source:HGNC Symbol;Acc:HGNC:1958]	2.635923	
LRFN2	leucine rich repeat and fibronectin type III domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21226]	2.627882	
GGCX	gamma-glutamyl carboxylase [Source:HGNC Symbol;Acc:HGNC:4247]	2.618327	
RNF103	ring finger protein 103 [Source:HGNC Symbol;Acc:HGNC:12859]	2.609259	
SLC44A1	solute carrier family 44 member 1 [Source:HGNC Symbol;Acc:HGNC:18798]	2.59725	
TMTC4	transmembrane O-mannosyltransferase targeting cadherins 4 [Source:HGNC Symbol;Acc:HGNC:25904]	2.596919	
FAM189B	family with sequence similarity 189 member B [Source:HGNC Symbol;Acc:HGNC:1233]	2.590672	
GPR153	G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618]	2.589947	
SLCO4C1	solute carrier organic anion transporter family member 4C1 [Source:HGNC Symbol;Acc:HGNC:23612]	2.589502	
GDPD4	glycerophosphodiester phosphodiesterase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24849]	2.588702	
TMEM87B	transmembrane protein 87B [Source:HGNC Symbol;Acc:HGNC:25913]	2.585296	
CDH10	cadherin 10 [Source:HGNC Symbol;Acc:HGNC:1749]	2.580122	
HNRNPM	heterogeneous nuclear ribonucleoprotein M [Source:HGNC Symbol;Acc:HGNC:5046]	2.576591	
FZD6	frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]	2.575883	
SLCO3A1	solute carrier organic anion transporter family member 3A1 [Source:HGNC Symbol;Acc:HGNC:10952]	2.572429	
DCST1	DC-STAMP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26539]	2.570259	
DPY19L1	dpy-19 like C-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:22205]	2.566674	
OTOP3	otopetrin 3 [Source:HGNC Symbol;Acc:HGNC:19658]	2.557504	
PATL1	PAT1 homolog 1, processing body mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:26721]	2.555833	
RXFP2	relaxin family peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:17318]	2.552455	
SLC5A1	solute carrier family 5 member 1 [Source:HGNC Symbol;Acc:HGNC:11036]	2.551253	
LRFN1	leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29290]	2.536845	
STRA6	signaling receptor and transporter of retinol STRA6 [Source:HGNC Symbol;Acc:HGNC:30650]	2.533934	
GPR149	G protein-coupled receptor 149 [Source:HGNC Symbol;Acc:HGNC:23627]	2.516629	
SLC5A5	solute carrier family 5 member 5 [Source:HGNC Symbol;Acc:HGNC:11040]	2.506268	
SMO	smoothened, frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]	2.502305	
