NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	139	2.371638059616089	0.005396302	No	
row_1	MT-CO1	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	288	1.9450910091400146	0.007315823	No	
row_2	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	570	1.496377944946289	-0.0035281328	No	
row_3	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	571	1.4947789907455444	0.0063309134	No	
row_4	MT-CYB	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]	909	1.173138976097107	-0.010772983	No	
row_5	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	1067	1.0634499788284302	-0.015331884	No	
row_6	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	2218	0.5187770128250122	-0.09668096	No	
row_7	BACE1	beta-secretase 1 [Source:HGNC Symbol;Acc:HGNC:933]	3832	0.10955700278282166	-0.21485855	No	
row_8	MME	membrane metalloendopeptidase [Source:HGNC Symbol;Acc:HGNC:7154]	3856	0.10382899641990662	-0.21586914	No	
row_9	NCSTN	nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]	3875	0.10022100061178207	-0.21653497	No	
row_10	BACE2	beta-secretase 2 [Source:HGNC Symbol;Acc:HGNC:934]	3972	0.07100699841976166	-0.22314315	No	
row_11	MT-CO3	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	4089	0.04091599956154823	-0.23142406	No	
row_12	ATP5F1B	ATP synthase F1 subunit beta [Source:HGNC Symbol;Acc:HGNC:830]	4532	-0.07465600222349167	-0.26351312	No	
row_13	APH1A	aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]	4584	-0.08609700202941895	-0.26670465	No	
row_14	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]	4618	-0.09280700236558914	-0.26852506	No	
row_15	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	4863	-0.1487939953804016	-0.28552982	No	
row_16	CAPN1	calpain 1 [Source:HGNC Symbol;Acc:HGNC:1476]	4877	-0.15342600643634796	-0.28547615	No	
row_17	ATP5F1C	ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833]	4937	-0.1662990003824234	-0.28872842	No	
row_18	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	4969	-0.17270900309085846	-0.2898744	No	
row_19	ATP5PB	ATP synthase peripheral stalk-membrane subunit b [Source:HGNC Symbol;Acc:HGNC:840]	5246	-0.23996900022029877	-0.30863664	No	
row_20	ATP5F1A	ATP synthase F1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:823]	5542	-0.300464004278183	-0.3284004	No	
row_21	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	5582	-0.3097589910030365	-0.3292322	No	
row_22	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	5955	-0.3883639872074127	-0.35409215	No	
row_23	MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	6032	-0.4026859998703003	-0.35703844	No	
row_24	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	6041	-0.4050459861755371	-0.3549566	No	
row_25	MT-CO2	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]	6117	-0.4200339913368225	-0.3577147	No	
row_26	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	6356	-0.46904098987579346	-0.37216493	No	
