NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT77	keratin 77 [Source:HGNC Symbol;Acc:HGNC:20411]	518	1.5587489604949951	-0.019108746	No	
row_1	KRT82	keratin 82 [Source:HGNC Symbol;Acc:HGNC:6459]	530	1.5452439785003662	-0.0011757276	No	
row_2	KRT1	keratin 1 [Source:HGNC Symbol;Acc:HGNC:6412]	737	1.3160029649734497	-3.3269945E-4	No	
row_3	KRT10	keratin 10 [Source:HGNC Symbol;Acc:HGNC:6413]	863	1.2129729986190796	0.0052048946	No	
row_4	KRT2	keratin 2 [Source:HGNC Symbol;Acc:HGNC:6439]	907	1.1763139963150024	0.016315365	No	
row_5	KRT35	keratin 35 [Source:HGNC Symbol;Acc:HGNC:6453]	1348	0.8800380229949951	-0.0053006457	No	
row_6	NKPD1	NTPase KAP family P-loop domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24739]	1769	0.6833279728889465	-0.02783462	No	
row_7	KRT27	keratin 27 [Source:HGNC Symbol;Acc:HGNC:30841]	1805	0.668707013130188	-0.02229318	No	
row_8	KRT83	keratin 83 [Source:HGNC Symbol;Acc:HGNC:6460]	1888	0.6392109990119934	-0.020558493	No	
row_9	KRT37	keratin 37 [Source:HGNC Symbol;Acc:HGNC:6455]	2358	0.4785189926624298	-0.04917213	No	
row_10	KRT25	keratin 25 [Source:HGNC Symbol;Acc:HGNC:30839]	2587	0.4115540087223053	-0.06091242	No	
row_11	KRT39	keratin 39 [Source:HGNC Symbol;Acc:HGNC:32971]	2681	0.38896799087524414	-0.06301982	No	
row_12	OPN1MW2	opsin 1, medium wave sensitive 2 [Source:HGNC Symbol;Acc:HGNC:26952]	2734	0.37605899572372437	-0.06227505	No	
row_13	KRTAP16-1	keratin associated protein 16-1 [Source:HGNC Symbol;Acc:HGNC:18916]	2919	0.3360249996185303	-0.07170244	No	
row_14	KRT38	keratin 38 [Source:HGNC Symbol;Acc:HGNC:6456]	2920	0.3359929919242859	-0.06762763	No	
row_15	KRTAP10-4	keratin associated protein 10-4 [Source:HGNC Symbol;Acc:HGNC:20521]	3888	0.09599100053310394	-0.13742554	No	
row_16	KRT33B	keratin 33B [Source:HGNC Symbol;Acc:HGNC:6451]	4068	0.04592499881982803	-0.15000427	No	
row_17	KRT33A	keratin 33A [Source:HGNC Symbol;Acc:HGNC:6450]	5022	-0.18302999436855316	-0.21771921	No	
row_18	ALOXE3	arachidonate lipoxygenase 3 [Source:HGNC Symbol;Acc:HGNC:13743]	5024	-0.18409700691699982	-0.21555993	No	
row_19	ASPRV1	aspartic peptidase retroviral like 1 [Source:HGNC Symbol;Acc:HGNC:26321]	6096	-0.41523799300193787	-0.28911802	No	
row_20	LIPM	lipase family member M [Source:HGNC Symbol;Acc:HGNC:23455]	6629	-0.5185859799385071	-0.3218689	No	
row_21	GAN	gigaxonin [Source:HGNC Symbol;Acc:HGNC:4137]	6952	-0.5835520029067993	-0.33842134	No	
row_22	KRTAP10-9	keratin associated protein 10-9 [Source:HGNC Symbol;Acc:HGNC:22971]	7098	-0.6123009920120239	-0.34163618	No	
row_23	LIPK	lipase family member K [Source:HGNC Symbol;Acc:HGNC:23444]	7480	-0.6796730160713196	-0.3613525	No	
row_24	SERPINA12	serpin family A member 12 [Source:HGNC Symbol;Acc:HGNC:18359]	8233	-0.8265439867973328	-0.406513	No	
row_25	KRTAP10-10	keratin associated protein 10-10 [Source:HGNC Symbol;Acc:HGNC:22972]	8934	-0.9565330147743225	-0.44628108	No	
row_26	KRTAP10-12	keratin associated protein 10-12 [Source:HGNC Symbol;Acc:HGNC:20533]	8970	-0.9620699882507324	-0.43718183	No	
row_27	CLEC2A	C-type lectin domain family 2 member A [Source:HGNC Symbol;Acc:HGNC:24191]	9094	-0.9821239709854126	-0.4342971	No	
row_28	KRTAP4-7	keratin associated protein 4-7 [Source:HGNC Symbol;Acc:HGNC:18898]	9222	-1.0087000131607056	-0.43138364	No	
row_29	WFDC5	WAP four-disulfide core domain 5 [Source:HGNC Symbol;Acc:HGNC:20477]	9364	-1.0355850458145142	-0.4291715	No	
