NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OR1F1	olfactory receptor family 1 subfamily F member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:8194]	191	2.136807918548584	-0.007486006	No	
row_1	PAQR4	progestin and adipoQ receptor family member 4 [Source:HGNC Symbol;Acc:HGNC:26386]	294	2.0202889442443848	-0.008695319	No	
row_2	TMEM254	transmembrane protein 254 [Source:HGNC Symbol;Acc:HGNC:25804]	455	1.8963489532470703	-0.014629	No	
row_3	SLC35A3	solute carrier family 35 member A3 [Source:HGNC Symbol;Acc:HGNC:11023]	465	1.8894740343093872	-0.009308255	No	
row_4	GPR12	G protein-coupled receptor 12 [Source:HGNC Symbol;Acc:HGNC:4466]	611	1.777438998222351	-0.014498928	No	
row_5	SMIM27	small integral membrane protein 27 [Source:HGNC Symbol;Acc:HGNC:31420]	665	1.7236599922180176	-0.012989883	No	
row_6	ALOX5AP	arachidonate 5-lipoxygenase activating protein [Source:HGNC Symbol;Acc:HGNC:436]	675	1.7164549827575684	-0.008217903	No	
row_7	LMBR1L	limb development membrane protein 1 like [Source:HGNC Symbol;Acc:HGNC:18268]	786	1.6208449602127075	-0.011291548	No	
row_8	TSPAN5	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]	930	1.4825090169906616	-0.017268293	No	
row_9	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	1070	1.3559470176696777	-0.023347748	No	
row_10	SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	1104	1.3298779726028442	-0.02159412	No	
row_11	CLDN10	claudin 10 [Source:HGNC Symbol;Acc:HGNC:2033]	1115	1.3186759948730469	-0.01815845	No	
row_12	SLC7A8	solute carrier family 7 member 8 [Source:HGNC Symbol;Acc:HGNC:11066]	1175	1.2764970064163208	-0.018515734	No	
row_13	TBXA2R	thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]	1343	1.1378870010375977	-0.027377766	No	
row_14	HTR4	5-hydroxytryptamine receptor 4 [Source:HGNC Symbol;Acc:HGNC:5299]	1457	1.0489749908447266	-0.03248924	No	
row_15	TMEM160	transmembrane protein 160 [Source:HGNC Symbol;Acc:HGNC:26042]	1517	1.0116829872131348	-0.033686433	No	
row_16	GLP1R	glucagon like peptide 1 receptor [Source:HGNC Symbol;Acc:HGNC:4324]	1617	0.9358829855918884	-0.03811112	No	
row_17	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	1657	0.9076229929924011	-0.03814482	No	
row_18	MS4A2	membrane spanning 4-domains A2 [Source:HGNC Symbol;Acc:HGNC:7316]	1761	0.8174830079078674	-0.043243743	No	
row_19	TMEM8B	transmembrane protein 8B [Source:HGNC Symbol;Acc:HGNC:21427]	1920	0.707381010055542	-0.052799117	No	
row_20	ORAI2	ORAI calcium release-activated calcium modulator 2 [Source:HGNC Symbol;Acc:HGNC:21667]	2005	0.6506929993629456	-0.05700819	No	
row_21	MAGT1	magnesium transporter 1 [Source:HGNC Symbol;Acc:HGNC:28880]	2181	0.5342879891395569	-0.06838207	No	
row_22	PTH2R	parathyroid hormone 2 receptor [Source:HGNC Symbol;Acc:HGNC:9609]	2201	0.5239599943161011	-0.06813909	No	
row_23	TMEM120B	transmembrane protein 120B [Source:HGNC Symbol;Acc:HGNC:32008]	2286	0.46815699338912964	-0.07292711	No	
row_24	C1orf54	chromosome 1 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:26258]	2415	0.38674798607826233	-0.08125912	No	
row_25	SLC24A3	solute carrier family 24 member 3 [Source:HGNC Symbol;Acc:HGNC:10977]	2462	0.3545069992542267	-0.08356987	No	
row_26	TMEM134	transmembrane protein 134 [Source:HGNC Symbol;Acc:HGNC:26142]	2485	0.3359439969062805	-0.08414725	No	
row_27	ZDHHC18	zinc finger DHHC-type palmitoyltransferase 18 [Source:HGNC Symbol;Acc:HGNC:20712]	2611	0.2617270052433014	-0.09265176	No	
row_28	IL10RB	interleukin 10 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:5965]	2622	0.2522830069065094	-0.09259837	No	
row_29	GPR153	G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618]	2668	0.23163999617099762	-0.09522414	No	
row_30	SLC39A4	solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129]	2805	0.15949399769306183	-0.10487435	No	
row_31	TNFRSF25	TNF receptor superfamily member 25 [Source:HGNC Symbol;Acc:HGNC:11910]	2853	0.13916200399398804	-0.10794279	No	
row_32	EFNA5	ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]	2891	0.12370499968528748	-0.11031349	No	
row_33	FKBP11	FKBP prolyl isomerase 11 [Source:HGNC Symbol;Acc:HGNC:18624]	2939	0.1013220027089119	-0.11350194	No	
row_34	SIVA1	SIVA1 apoptosis inducing factor [Source:HGNC Symbol;Acc:HGNC:17712]	2964	0.0887020006775856	-0.11501286	No	
row_35	NMU	neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]	3114	0.02920299954712391	-0.1260471	No	
row_36	CLEC1B	C-type lectin domain family 1 member B [Source:HGNC Symbol;Acc:HGNC:24356]	3123	0.02418000064790249	-0.12656784	No	
row_37	ENDOD1	endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129]	3133	0.020403999835252762	-0.12717521	No	
row_38	LAMTOR2	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 [Source:HGNC Symbol;Acc:HGNC:29796]	3232	-0.02914999984204769	-0.13440111	No	
row_39	KCNN1	potassium calcium-activated channel subfamily N member 1 [Source:HGNC Symbol;Acc:HGNC:6290]	3385	-0.09435799717903137	-0.14545274	No	
row_40	MR1	major histocompatibility complex, class I-related [Source:HGNC Symbol;Acc:HGNC:4975]	3428	-0.10653900355100632	-0.14825127	No	
row_41	IL27RA	interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290]	3442	-0.1152070015668869	-0.14885667	No	
row_42	PAM16	presequence translocase associated motor 16 [Source:HGNC Symbol;Acc:HGNC:29679]	3449	-0.11660599708557129	-0.14893489	No	
row_43	C1orf50	chromosome 1 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:28795]	3461	-0.1195169985294342	-0.14937727	No	
row_44	AP4S1	adaptor related protein complex 4 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:575]	3483	-0.12700100243091583	-0.15054268	No	
row_45	APOLD1	apolipoprotein L domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25268]	3497	-0.13324500620365143	-0.15109086	No	
row_46	APOM	apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916]	3576	-0.16189299523830414	-0.1564022	No	
row_47	HFE	homeostatic iron regulator [Source:HGNC Symbol;Acc:HGNC:4886]	3680	-0.20213499665260315	-0.16345282	No	
row_48	C9orf16	chromosome 9 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:17823]	3686	-0.20503300428390503	-0.1631759	No	
row_49	MXRA8	matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]	3699	-0.2087090015411377	-0.16341007	No	
row_50	USE1	unconventional SNARE in the ER 1 [Source:HGNC Symbol;Acc:HGNC:30882]	3707	-0.2111160010099411	-0.1632632	No	
row_51	DCTN3	dynactin subunit 3 [Source:HGNC Symbol;Acc:HGNC:2713]	3740	-0.22190800309181213	-0.16494904	No	
row_52	REG3A	regenerating family member 3 alpha [Source:HGNC Symbol;Acc:HGNC:8601]	3801	-0.23881100118160248	-0.16867223	No	
row_53	PPBP	pro-platelet basic protein [Source:HGNC Symbol;Acc:HGNC:9240]	3837	-0.24927300214767456	-0.1704953	No	
row_54	CST7	cystatin F [Source:HGNC Symbol;Acc:HGNC:2479]	3864	-0.2562809884548187	-0.17162406	No	
row_55	ZNRD2	zinc ribbon domain containing 2 [Source:HGNC Symbol;Acc:HGNC:11328]	3902	-0.2654480040073395	-0.1735452	No	
