Entry	Status	Gene names	Organism
Q9UL52	reviewed	TMPRSS11E DESC1 TMPRSS11E2 UNQ742/PRO1461	Homo sapiens (Human)
O15393	reviewed	TMPRSS2 PRSS10	Homo sapiens (Human)
P49755	reviewed	TMED10 TMP21	Homo sapiens (Human)
Q9HC07	reviewed	TMEM165 TPARL	Homo sapiens (Human)
Q9Y3P8	reviewed	SIT1 SIT	Homo sapiens (Human)
O60235	reviewed	TMPRSS11D HAT	Homo sapiens (Human)
Q9HCN3	reviewed	PGAP6 TMEM6 TMEM8 TMEM8A	Homo sapiens (Human)
Q9H295	reviewed	DCSTAMP TM7SF4	Homo sapiens (Human)
Q6IWH7	reviewed	ANO7 NGEP PCANAP5 TMEM16G	Homo sapiens (Human)
Q9H3N1	reviewed	TMX1 TMX TXNDC TXNDC1 PSEC0085 UNQ235/PRO268	Homo sapiens (Human)
Q9BXJ8	reviewed	TMEM120A TACAN TMPIT	Homo sapiens (Human)
O43155	reviewed	FLRT2 KIAA0405 UNQ232/PRO265	Homo sapiens (Human)
Q9NWQ8	reviewed	PAG1 CBP PAG	Homo sapiens (Human)
Q9NZU0	reviewed	FLRT3 KIAA1469 UNQ856/PRO1865	Homo sapiens (Human)
Q9NZU1	reviewed	FLRT1 UNQ752/PRO1483	Homo sapiens (Human)
O14894	reviewed	TM4SF5	Homo sapiens (Human)
Q9UM00	reviewed	TMCO1 TMCC4 PNAS-10 PNAS-136 UNQ151/PRO177	Homo sapiens (Human)
Q86VI4	reviewed	LAPTM4B PSEC0001	Homo sapiens (Human)
Q969W9	reviewed	PMEPA1 STAG1 TMEPAI	Homo sapiens (Human)
Q86TG1	reviewed	TMEM150A TMEM150	Homo sapiens (Human)
Q8N131	reviewed	TMEM123 KCT3 PSEC0111 UNQ641/PRO1271	Homo sapiens (Human)
A6NI61	reviewed	MYMK TMEM226 TMEM8C	Homo sapiens (Human)
Q6ZMR5	reviewed	TMPRSS11A ECRG1 HATL1 HESP	Homo sapiens (Human)
Q8TDI7	reviewed	TMC2 C20orf145 UNQ907/PRO1928	Homo sapiens (Human)
P13569	reviewed	CFTR ABCC7	Homo sapiens (Human)
Q53R12	reviewed	TM4SF20 UNQ518/PRO994	Homo sapiens (Human)
Q92667	reviewed	AKAP1 AKAP149 PRKA1	Homo sapiens (Human)
Q9H553	reviewed	ALG2 UNQ666/PRO1298	Homo sapiens (Human)
Q75V66	reviewed	ANO5 GDD1 TMEM16E	Homo sapiens (Human)
O75882	reviewed	ATRN KIAA0548 MGCA	Homo sapiens (Human)
P56385	reviewed	ATP5ME ATP5I ATP5K	Homo sapiens (Human)
P56945	reviewed	BCAR1 CAS CASS1 CRKAS	Homo sapiens (Human)
P04920	reviewed	SLC4A2 AE2 EPB3L1 HKB3 MPB3L	Homo sapiens (Human)
O43286	reviewed	B4GALT5	Homo sapiens (Human)
O60512	reviewed	B4GALT3	Homo sapiens (Human)
P31415	reviewed	CASQ1 CASQ	Homo sapiens (Human)
O60911	reviewed	CTSV CATL2 CTSL2 CTSU UNQ268/PRO305	Homo sapiens (Human)
Q16581	reviewed	C3AR1 AZ3B C3R1 HNFAG09	Homo sapiens (Human)
P51790	reviewed	CLCN3	Homo sapiens (Human)
P78369	reviewed	CLDN10	Homo sapiens (Human)
Q8NCH0	reviewed	CHST14 D4ST1 UNQ1925/PRO4400	Homo sapiens (Human)
Q9NQW8	reviewed	CNGB3	Homo sapiens (Human)
Q8TBE1	reviewed	CNIH3	Homo sapiens (Human)
Q9HBJ8	reviewed	CLTRN TMEM27 UNQ679/PRO1312	Homo sapiens (Human)
Q6P4Q7	reviewed	CNNM4 ACDP4 KIAA1592	Homo sapiens (Human)
P14060	reviewed	HSD3B1 3BH HSDB3A	Homo sapiens (Human)
P22760	reviewed	AADAC DAC	Homo sapiens (Human)
A5X5Y0	reviewed	HTR3E	Homo sapiens (Human)
P33897	reviewed	ABCD1 ALD	Homo sapiens (Human)
Q15758	reviewed	SLC1A5 ASCT2 M7V1 RDR RDRC	Homo sapiens (Human)
Q8NFM4	reviewed	ADCY4	Homo sapiens (Human)
Q5BKT4	reviewed	ALG10 ALG10A	Homo sapiens (Human)
O14791	reviewed	APOL1 APOL	Homo sapiens (Human)
P17342	reviewed	NPR3 ANPRC C5orf23 NPRC	Homo sapiens (Human)
Q9Y426	reviewed	C2CD2 C21orf25 C21orf258 TMEM24L	Homo sapiens (Human)
A8MXV6	reviewed	CDRT15L2	Homo sapiens (Human)
P15813	reviewed	CD1D	Homo sapiens (Human)
P10747	reviewed	CD28	Homo sapiens (Human)
Q9UJ71	reviewed	CD207 CLEC4K	Homo sapiens (Human)
P27348	reviewed	YWHAQ	Homo sapiens (Human)
Q8IZF2	reviewed	ADGRF5 GPR116 KIAA0758	Homo sapiens (Human)
Q6UXC1	reviewed	MAMDC4 AEGP UNQ3001/PRO9742	Homo sapiens (Human)
Q6UXH0	reviewed	ANGPTL8 C19orf80 RIFL UNQ599/PRO1185	Homo sapiens (Human)
P01160	reviewed	NPPA ANP PND	Homo sapiens (Human)
Q7Z5J8	reviewed	ANKAR	Homo sapiens (Human)
Q07812	reviewed	BAX BCL2L4	Homo sapiens (Human)
Q9Y276	reviewed	BCS1L BCS1	Homo sapiens (Human)
Q96Q91	reviewed	SLC4A9 AE4 SBC5	Homo sapiens (Human)
P0DN25	reviewed	C1GALT1C1L	Homo sapiens (Human)
O14958	reviewed	CASQ2	Homo sapiens (Human)
Q07021	reviewed	C1QBP GC1QBP HABP1 SF2P32	Homo sapiens (Human)
Q8IZS8	reviewed	CACNA2D3	Homo sapiens (Human)
P60827	reviewed	C1QTNF8 UNQ5829/PRO19648	Homo sapiens (Human)
Q9NPY3	reviewed	CD93 C1QR1 MXRA4	Homo sapiens (Human)
Q9NYQ6	reviewed	CELSR1 CDHF9 FMI2	Homo sapiens (Human)
