NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANO10	anoctamin 10 [Source:HGNC Symbol;Acc:HGNC:25519]	164	2.857642889022827	0.072533876	Yes	
row_1	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	196	2.857642889022827	0.1548092	Yes	
row_2	SLC52A2	solute carrier family 52 member 2 [Source:HGNC Symbol;Acc:HGNC:30224]	296	2.857642889022827	0.23210393	Yes	
row_3	SLC52A3	solute carrier family 52 member 3 [Source:HGNC Symbol;Acc:HGNC:16187]	297	2.857642889022827	0.31664982	Yes	
row_4	SLC6A5	solute carrier family 6 member 5 [Source:HGNC Symbol;Acc:HGNC:11051]	555	2.857642889022827	0.38237202	Yes	
row_5	ELOVL4	ELOVL fatty acid elongase 4 [Source:HGNC Symbol;Acc:HGNC:14415]	786	2.8327879905700684	0.44933644	Yes	
row_6	KCNK9	potassium two pore domain channel subfamily K member 9 [Source:HGNC Symbol;Acc:HGNC:6283]	1433	2.497051954269409	0.4758983	Yes	
row_7	SLC25A21	solute carrier family 25 member 21 [Source:HGNC Symbol;Acc:HGNC:14411]	1480	2.3458058834075928	0.5419318	Yes	
row_8	GLRA1	glycine receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4326]	1595	2.315268039703369	0.60208124	Yes	
row_9	GLRB	glycine receptor beta [Source:HGNC Symbol;Acc:HGNC:4329]	2157	1.4030380249023438	0.6025015	Yes	
row_10	GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	3505	0.3242790102958679	0.51343596	No	
row_11	TMEM106B	transmembrane protein 106B [Source:HGNC Symbol;Acc:HGNC:22407]	3947	0.2695389986038208	0.4891099	No	
row_12	HEXB	hexosaminidase subunit beta [Source:HGNC Symbol;Acc:HGNC:4879]	4242	0.16358700394630432	0.47241604	No	
row_13	VAPB	VAMP associated protein B and C [Source:HGNC Symbol;Acc:HGNC:12649]	4982	0.034876998513936996	0.4193206	No	
